,0
1007,"I don't know what you have planned now,"
1008,but maybe I can buy you a drink?
1010,"Uh. I, uh."
1012,I gotta make sure
1013,Brother Kwame is all squared away.
1015, What?
1016, .and he gets to his hotel safely.
1018,I can dig it.
1020,"But, you know, um,"
1021,"if it's not too late,"
1023,maybe I can meet you
1024,at the Red Lantern?
1026,You know where that is?
1028,Mmm-hmm.
1030,So I'll see you then.
1032,Damn right. Yes. Cool.
1034,All power
1035,to all the people.
1037,Hey. How you doing?
1039, Sorry I'm late.
1040, Hey.
1042,You won't believe
1043,what happened.
1045,What are you having?
1047,"Bro Pope,"
1048,"7 and 7, please."
1050,Pigs pulled us over.
1052,Say what?
1054,I don't want to see nothing
1055,but black asses and black elbows.
1057,Spread 'em!
1059,You that so-called big-shot
1060,"Panther nigger, aren't you?"
1062,I heard you was
1063,"in town, Stokely."
1065,My name is Kwame Ture.
1067,I don't give two shits
1068,what your nigger name is!
1070,"Black bitch,"
1071,you get this Black Panther
1073,out of Colorado Springs
1074,"before sunrise, you hear me?"
1076, Or you'll all go to jail.
1077, We were born in jail.
1079,Ooh.
1081,Don't touch me!
1083, Don't touch her!
1084, Get your fucking hands off of me!
1086, Get your hands off of her!
1087, Get your white hands off!
1089,Keep your hands off of her!
1090,"Come on, get your hands off of her!"
1092,Get off of me!
1093,Get off of me!
1095, Wait!
1096," Let her go, man!"
1098,You see the officers' names?
1100,"I know I should have, but."
1102,The whole thing
1103,"was so frightening,"
1105,I didn't.
1107,Come on.
1109, Let's dance. Follow me.
1110, Mmm.
1112,"Come on. Come on,"
1113,"come on, come on."
1115,What?
1117,No.
1119," Come on, you know it, you know it."
1120, Uh-huh.
1122,What was the room like?
1124,Folks were hanging
1125,on every word.
1127,Like a Baptist church
1128,on Christmas Sunday morning.
1130, Huh.
1131, Mmm-hmm.
1133,Sounds like he had them
1134,pretty riled up.
1136,But I don't think that means black folks were
1137,"ready to start the revolution, Chief."
1139,What makes you say that?
1141,Nobody in there
1142,was talking about that.
1144,That wasn't the vibe.
1145,Everybody was cool.
1147,Let me get this straight.
1149,He told a room of black folk
1150,to get ready for a race war.
1152,That they were going to have to
1153,arm themselves and kill cops.
1155,"I mean, what about that?"
1157,"Yeah, he said that, but,"
1158,"Chief, I think it was just talk, you know?"
1160,Rhetoric.
1162,"That's what I thought, too."
1164, Jimmy?
1165, Like my partner said.
1167,"All right, well, thank goodness"
1168,Carmichael has left Colorado Springs.
1170, Kwame Ture.
1171, What?
1173,He changed his name
1174,from Stokely Carmichael to Kwame Ture.
1176,I don't care if he changed his name to
1177,"that draft dodger, Muhammad Ali."
1179,All right? He's still dangerous.
1181, Did you hear the story Patrice told me?
1182," No, I didn't."
1184,About how the CSPD
1185,pulled over her and Ture?
1187,"Patrice, she's the one"
1188,"from the Black Student Union,"
1190,the group
1191,that brought in Ture?
1193,"Kwame Ture. Correct, sir."
1195,Getting pretty chummy
1196,"with her, huh?"
1198,"No, just doing my job, Chief. Undercover."
1200,Let's just make sure it ain't
1201,under the cover of the sheets.
1203,I would never jeopardize
1204,"a case, sir."
1206,He doesn't know
1207,what he'd do.
1209,You're new.
1211,You guys sit tight.
1212,"Ron, come with me."
1214,"Ron, I'm transferring you"
1215,to Intelligence.
1217,What will I be
1218,doing there?
1220,Intelligence.
1222,Against my
1223,better judgment.
1225,"Five, four,"
1226,"three, two, one."
1228,Swish!
1230,Police department.
1232,He is at lunch.
1234,"Excuse me? Yes, yes."
1236,You have reached
1238,the Colorado Springs chapter
1239,of the Ku Klux Klan.
1241,Please leave a message.
1243,And God bless white America.
1245,Hello. This is
1246,Ron Stallworth calling.
1248,I saw your advertisement in
1249,the Colorado Springs Gazette.
1251,I'm interested in receiving
1252,some reading materials from you.
1254,My phone number is 103-9994.
1256,I'm very much looking forward
1257,to you returning my call.
1259," Yeah, who's this?"
1260, Ron Stallworth here.
1262,This is Walter
1263,returning your call.
1265,From the Organization.
1267,The Organization?
1269,That's right.
1271,We appreciate your interest.
1273,What's your story?
1275,"Well, since you asked."
1277,"Since you asked,"
1278,I hate niggers.
1280, I hate Jews.
1281, Huh?
1283,Spics and Micks.
1285,Dagos and Chinks.
1287,"But my mouth to God's ears,"
1288,I really hate those nigger rats.
1290,"And anyone else, really,"
1291,that doesn't have
1293,pure white Aryan blood
1294,running through their veins.
1296,"My sister, Pamela,"
1298,she was just recently accosted
1299,by one of those black coons.
1301,Is that so?
1303,Yeah.
1305,Every time I think about
1306,that black baboon
1308,putting his filthy black hands
1310,on her
1311,pure-as-white-driven-snow body.
1313,"I mean pure, Walter."
1314,She's a saint. She's an angel.
1316,It makes me want to puke.
1318,You are just the kind of guy
1319,that we are looking for.
1321,"Listen, uh, when can you meet?"
1323,How about Friday night
1324,after I get off work?
1326,"That's a deal, buddy boy."
1328,We'll get right back to you
1329,with the details.
1331,"Take care, now."
1333,God bless white America.
1335,Did I just hear you use
1336,your real name?
1338,"Oh, motherfucker."
1340,"Yeah, motherfucker amateur hour."
1342,"That's your real name,"
1343,right? Isn't.
1345,Isn't it Ron Stallworth?
1346,"Right, isn't that his real name?"
1348,Can't believe
1349,he just said that.
1351,"Well, good luck, Ron,"
1352,with your new redneck friends.
1354,They want you
1355,to join the Klan?
1357,They want to meet me first.
1359, They want to meet you?
1360, Mmm-hmm.
1362,"Yeah, well, you probably"
1363,shouldn't go to that meeting.
1365,"Good call, Sarge."
1367,So you're a crazy
1368,"son of a bitch, huh?"
1370,We'd have to go
1371,"to Narcotics,"
1373,meaning we'd have to deal
1374,with Chief Bridges.
1376,"Yeah, I can't spare the men."
1378,"Well, I've looked over the logs,"
1379,"Chief, and it seems you can spare them."
1381,"Sergeant Trapp,"
1382,Ron spoke to the man on the phone.
1384,"All right, when they hear"
1385,"the voice of one of my guys,"
1387,they're gonna know
1388,the difference.
1390,"How so, Chief?"
1392,You want me
1393,to spell it out for you?
1395,They're going to know
1396,the difference
1398,between how a white man
1399,talks and a Negro.
1401,How exactly does
1402,a black man talk?
1404,"Okay, Ron, what I think"
1405,the Chief is trying to say.
1407,"If you don't mind,"
1408,I'd like to speak for myself.
1410," Thank you, Sarge."
1411, Sure.
1413,You know what
1414,I'm trying to say.
1416,"Chief, some of us"
1417,can speak King's English.
1419,Others speak jive.
1421,Ron Stallworth here
1422,happens to be fluent in both.
1424,"Okay, Ron, how do you propose"
1425,to make this investigation?
1427,"Well, I've established contact"
1428,and created some familiarity
1430,with the Klansman
1431,over the phone.
1433,"I'll continue in that role,"
1434,"but I'll need another officer,"
1436,"surprise, surprise,"
1437,"a white officer,"
1439,to play me when they meet
1440,face-to-face.
1442,"See, that's my point exactly."
1444,"Chief, black Ron Stallworth"
1445,"over the phone,"
1447,white Ron Stallworth
1448,"face-to-face,"
1450,so there becomes
1451,a combined Ron Stallworth.
1453, Can you do that?
1454, I believe we can.
1456,"With the right white man,"
1457,we can do anything.
1459,Anything happens
1460,"to one of my men,"
1462,there won't be
1463,two Ron Stallworths.
1465,There'll be none.
1467,You're late.
1469,Sorry. It'll never
1470,happen again.
1472,Seems like I heard
1473,that one before.
1475,"Jimmy, when's the last time"
1476,they let a rookie lead an investigation?
1478,"Oh, that's right. Never."
1480,"Okay, all right, let's move on."
1482,"Let's, uh."
1483,Let's go to our bio.
1485,Okay. Ron Stallworth.
1486,I do wholesale manufacturing.
1488, Whereabout?
1489, Pueblo.
1491, What's that commute like?
1492," Jimmy, I'm glad you asked."
1494,It's a straight shot
1495,down I-25.
1497," Hour, tops."
1498, It's a long ride.
1500,What do we listen to?
1502,"KWYD, Christian talk"
1503,"in the morning,"
1505,although the signal starts
1506,to cut out near Pueblo.
1508,"On the way back,"
1509,I like to turn it to 102.7
1511,to get my
1512,Allman Brothers fix.
1514,Only I have to change it
1515,"every time that British fag,"
1517,"David Bowie, pipes on."
1519,Whoa! I love Bowie.
1521,"I mean, who"
1522,"doesn't, right?"
1524,"Remember,"
1525,you have to retain
1527,all the information
1528,you share with these guys
1530,so I can be
1531,white Ron Stallworth.
1533,"Jimmy, I always"
1534,wanted to be black.
1536,All my heroes
1537,were black guys.
1539,Willie Mays.
1541, Basket catch.
1542, Wilt the Stilt.
1544,Record 100 points
1545,in one game.
1547,But you know
1548,my absolute favorite?
1550,O.J.
1552,Heisman pose!
1554, The Juice!
1555, I love fucking O.J.
1557,Orenthal James Simpson.
1559, Bet you didn't know that.
1560, Of course I did.
1562,We as a Negro people
1563,"appreciate your love,"
1565,but don't share that love
1566,with these guys.
1568,"For you, it's the fucking"
1569,"Osmonds, right?"
1571,"Hey, I love Marie Osmond."
1573,"I get to play you,"
1574,but you don't get to play me?
1576," Jimmy, does that sound fair?"
1577, Fair?
1579, Not to me.
1580," Now, what else?"
1582, Who are you meeting with?
1583, Walter Breachway.
1585,Become his friend.
1586,Let's get invited back.
1588,"Well, look at you."
1590,"Okay. Anything else, sir?"
1592,I'm on the phone
1593,with the Klan.
1595,You meet
1596,with them in person.
1598,And?
1600,And you need to try
1601,and sound like my voice.
1603,"Oh, boy."
1605,All right. Here.
1607," Me, too?"
1608," Yeah. You, too, Jimmy."
1610, Godfather.
1611, That's right.
1613,"You wanted to be black,"
1614,here's your chance.
1616,Lookie here.
1618,Some people say
1619,we've got a lot of malice.
1621,Some say it's a lot of nerve.
1623,Lookie here.
1625,Some people say we got a lot of malice.
1627, Some.
1628," Come on, come on."
1630,This is life and death here.
1631,Come on.
1633," Oh, is it?"
1634, Come on.
1636,Some say it's a lot
1637,of nerve. Nerve!
1639, You want me to do this now?
1640," Please, now."
1642,"For all our sakes,"
1643,"do it now, please."
1645,Some say it's
1646,a lot of nerve.
1648,"Let it flow, though."
1649,Let it flow.
1651, I'm flowing.
1652, Okay.
1654,I say we won't quit moving
1655,till we get what we deserve.
1657,I say we won't quit moving
1659,until we get
1660,what we deserve.
1662,"We've been buked,"
1663,and we've been scorned.
1665, We've been buke.
1666," ""Buked."" Say that."
1668," What does ""buked"" mean?"
1669, Disrespected.
1671,You've been
1672,"disrespected, Flip."
1674, You.
1675, Why doesn't he just say that?
1677,"We've been buked,"
1678,and we've been scorned.
1680,"This has got to flow,"
1681,from the.
1683,"We've been treated bad,"
1684,talked about.
1686,We've been buked.
1687,We've been scorned.
1689," All right, get that shit out."
1690," We've been treated bad, talked about."
1692,"Just as sure as you're born,"
1693,but just as sure as it take.
1695,Two eyes
1696,to make a pair. Huh!
1698, Two eyes to make a pair.
1699, Huh!
1701,Hah!
1703, Hah!
1704, Hah!
1706, Hah!
1707, Huh!
1709, Hah!
1710," Brother, we can't quit till we get our share."
1712,"Brother, we can't quit"
1713,till we get our share.
1715,"Doesn't make grammatical sense,"
1716,but okay.
1718,"Say it loud. I'm black,"
1719,and I'm proud.
1721,"Say it for O.J., Jimmy."
1722,"You, too."
1724,Say it loud.
1725,"I'm black, and I'm proud."
1727,Say it loud.
1728,"I'm black, and I'm proud."
1730,That's right. There it is.
1732,I believed you.
1734,Lose that Jewish necklace
1735,around your neck.
1737,"Jimmy, it's not a Jewish necklace."
1738,It's a Star of David.
1740,Okay.
1742,"Flip, you're Jewish?"
1744,I don't know. Am I?
1746,Ron Stallworth?
1748,That's me.
1750, You must be Walter.
1751, Name's Felix.
1753,"Well, I was told I'd be meeting"
1754,a Walter Breachway.
1756,"Change of plans, Mac."
1758,I'm gonna need you
1759,to hop in the truck.
1761,"Okay, well, how about"
1762,I just follow you in my.
1764,No can do.
1766,You come with me.
1768,Security.
1770,I'll drive you back.
1772,"Come on, let's roll."
1774,"You for the white race, Ron?"
1776,"Oh, hell yeah."
1778,Been having trouble lately
1779,with these local niggers.
1781,"Ugh. Since the Civil War,"
1782,it's always trouble with niggers.
1784,Uh-huh.
1786,Walter said something
1787,about your sister.
1789,Makes me sick.
1791,What are they saying?
1792,They saying where they're going?
1794,"But it's also,"
1795,"you know, camaraderie,"
1797,I'm looking for
1798,with the Klan.
1800,What the fuck
1801,did you say?
1803, Camaraderie?
1804," No, the other word."
1806, The Klan?
1807," Not ""the Klan."""
1809,"It's ""the Organization."""
1811,The Invisible Empire has managed to stay
1812,invisible for a reason.
1814,Do not ever
1815,use that word.
1817,You understand?
1819,"Hey, I over-stand."
1821,Right. You got it.
1823,The Organization.
1825,Check this shit out.
1826,You're never gonna believe this.
1828,What?
1830,A fucking jig
1831,on our bumper.
1833," Ron, he sees us. Back off."
1834, Damn!
1836,Let's get ready.
1837,Look under your seat.
1839, Yeah.
1840, What?
1842,Pull it out.
1844,Load 'er up.
1846,Put two in the chamber.
1848,"Come on, load it up."
1850,"Come on, load it."
1852,Don't be messing with us.
1854,The Organization.
1856,"Not so fast, buddy boy."
1858,Hold your horses.
1860,Mmm!
1862,"Ron, glad you"
1863,could make it.
1865,"Walter Breachway,"
1866,chapter president.
1868,Ron Stallworth.
1869,I appreciate you inviting me out.
1871,Absolutely. I've been impressed with our
1872,conversations over the phone.
1874,I think you have a lot of fine ideas that
1875,could really help the cause.
1877,"Well, I meant"
1878,every word I said.
1880,"You know, I've had my own share"
1881,of run-ins with niggers.
1883,"Matter of fact, it's what"
1884,led me to the Organization.
1886, Is that right?
1887, It's become my salvation.
1889,"See, I was, uh,"
1891,shot and wounded
1892,by a couple niggers.
1894,Then my wife was savagely raped
1895,by a whole pack of 'em.
1897, God.
1898," That's right,"
1900, and not a one of them went to jail.
1901, Huh.
1903,Tell you what.
1905,They're taking over.
1907,"Hell, it's all you see"
1908,on TV anymore.
1910,Niggers selling soap.
1912,Niggers selling toothpaste.
1914,Niggers selling
1915,automobiles.
1917,"Everywhere you look,"
1918,"it's niggers, niggers, niggers."
1920,"Yeah, wasn't long ago"
1921,them sum bitches wasn't on no TV.
1923,You're forgetting about
1924,Uncle Ben and Aunt Jemima.
1926,Oh! Dang.
1928,I kind of like them niggers.
1930,Rice and pancakes.
1932,"Hey, uh, my name's Ivanhoe,"
1933,by the way.
1935,Hey. Ron.
1937,"Hey, all you get now is how we gotta"
1938,cater to them.
1940,"Now, watch your mouth. Yeah."
1942,Don't say this.
1943,Don't say that.
1945,Be nice.
1947,"Hell, they ain't even"
1948,colored no more.
1950,Negroes. Blacks.
1952, Afro-Americans now.
1953," Yeah, fuck it."
1955,Just call them fucking niggers.
1956,Make it fucking simple.
1958, Niggers.
1959, Niggers.
1961,That's the right idea.
1963,I've been saying
1964,this stuff for years.
1966,"Well, you ain't"
1967,the only one.
1969,It's good to know
1970,someone else gets it.
1972,"So, what kind of stuff"
1973,you guys do?
1975,What kind of stuff we do?
1977,"We, uh. Cross burnings"
1979,and marches and stuff
1980,so people don't fuck with us.
1982,I'm tired of niggers
1983,fucking with me.
1985,"Well, then you come"
1986,to the right place.
1988,Nobody fucks with us.
1990,"Now, how much you know"
1991,about the history?
1993,Some. I could know more.
1995,We will teach you.
1997,"Yeah, this is fixing"
1998,to be a big year for us.
2000,How so?
2002, Boom!
