,utterance,bool
89,"Sergeant Trapp, Chief Bridges, I'll get right to it.",0.0
90,I'd like to be an undercover detective.,0.0
91,"What, like Narcotics?",0.0
92,"Whichever department works, sir.",0.0
93,"You just joined the force, rookie.",0.0
94,I think I can do some real good there.,0.0
95, Is that right?,0.0
96, I'm young.,0.0
97,There's a real niche for me.,0.0
98,Get in where I fit in.,0.0
99,"You think a lot of yourself, don't you?",0.0
100,I'll do whatever it takes.,0.0
101,And I hate the records room.,0.0
102,Well.,0.0
103,"I think records is a good place for you to start, rookie.",0.0
104,"Chief, do you want me clean-shaven?",0.0
105,I can even chop down the natural.,0.0
106,"No, no, no. You keep it.",0.0
107,I like the look.,0.0
108,I need a file on a toad.,0.0
109,You deaf?,0.0
110,I said I need a file on a toad.,0.0
111, No toads here.,0.0
112, Excuse me?,0.0
113,I said I don't have any toads.,0.0
114,I do have human beings.,0.0
115,"You give me their names, I'll get you the file.",0.0
116,"I heard you think you're hot shit, but you ain't nothing but a cold fart.",0.0
117,The name is Steven Wilson.,0.0
118,"Was that respectful enough for you, Officer Toad?",0.0
119, Hello.,0.0
120, It's Bridges.,0.0
121,You sleeping?,0.0
122,"Uh, yeah, Chief.",0.0
123,Um.,0.0
124,Worked an all-night shift.,0.0
125,I've changed my mind.,0.0
126,You're coming in a little early today.,0.0
127,I got an assignment for you.,0.0
128,12:00 noon sharp.,0.0
129,Narcotics division.,0.0
130," Yes, sir.",0.0
131, Wear street clothes.,0.0
132,Thank you.,0.0
133,CP time?,0.0
134,"Jimmy, the rookie's late.",0.0
135," You're late, rookie.",0.0
136, Sorry. Won't happen again.,0.0
137,"We have limited time, so I'll be quick.",0.0
138,"The black radical, Stokely Carmichael, is giving a speech tonight at Bell's Nightingale.",0.0
139, Yep.,0.0
140, Carmichael is a former high-muckety-muck with the Black Panthers.,0.0
141,"And as far as I'm concerned, FBI Director J. Edgar Hoover was dead right when he said the Black Panthers are the greatest internal threat to the security of these United States.",0.0
142,"This Carmichael joker, former Panther or not, well, they say he is a damn good speaker, and so we don't want this Carmichael getting into the minds of the good black people here in Colorado Springs and stirring them up.",0.0
143,"Ron, your assignment is to go to this speech tonight, infiltrate this bunch of subversives and just monitor the audience reaction to Carmichael's speech.",0.0
144, You ready?,0.0
145, Born ready.,0.0
146,I'm not ready.,0.0
147,Any chance this thing fucks up?,0.0
148,"Oh, fuck yeah.",0.0
149,Then what?,0.0
150, Just stick to the game plan.,0.0
151, Which is?,0.0
152,"Eh, improvise.",0.0
153, Like jazz.,0.0
154, Like bebop.,0.0
155,This isn't some big bust.,0.0
156,We just want some intel.,0.0
157,That's it.,0.0
158,And what if someone offers you a marijuana cigarette?,0.0
159, You mean a joint?,0.0
160, Yeah.,0.0
161,Mary Jane.,0.0
162,Excuse me.,0.0
163,"Soul brother, I'm already high on life. Can you dig it?",0.0
164, It's dug.,0.0
165, My man.,0.0
166,And if someone pulls a gun on you?,0.0
167,Will that happen?,0.0
168, Barrel of a.45 in your face.,0.0
169, Shit.,0.0
170,Finger on the trigger.,0.0
171,Now what?,0.0
172,"Blood, get that gun out of my face.",0.0
173,"Peace, love and soul.",0.0
174,Gun is still in your face.,0.0
175,"I de-escalate, talk calmly, firmly.",0.0
176,Find a way out of there ASAP.,0.0
177,Relax. We'll be outside listening in.,0.0
178, Okay.,0.0
179, Got it?,0.0
180,I got it. I'm gone.,0.0
181,Here we go.,0.0
182, We need to take action.,0.0
183, I can't believe he's here.,0.0
184,I just have so many questions to ask him.,0.0
185,"But, um.",0.0
186,"How are you, uh.",0.0
187,"How are you doing this evening, my sister?",0.0
188,Can we help you?,0.0
189,"I'm doing fine, my brother.",0.0
190,What? We don't know him.,0.0
191,"What? Hakeem, why you dragging me?",0.0
192,It's going to be an amazing night.,0.0
193,"Indeed, it is.",0.0
194,Have you heard Brother Kwame speak before?,0.0
195,Who?,0.0
196,Kwame Ture.,0.0
197,"Oh! Well, actually, I haven't, but.",0.0
198, Okay.,0.0
199, I didn't realize he changed his name.,0.0
200,"Yes, after he moved to Africa.",1.0
201,"He took the names of Kwame Nkrumah of Ghana and his mentor, Sékou Touré of Guinea, to honor the great leaders.",0.0
202," Well, that is heavy.",0.0
203, Mmm-hmm.,0.0
204,You know how he got to Colorado Springs?,0.0
205,"Yeah, yeah.",0.0
206,The Colorado College Black Student Union invited him.,0.0
207," Oh, I can dig it. I can dig it.",0.0
208, Mmm-hmm.,0.0
209,Are you.,0.0
210,Are you part of the Union?,0.0
211,I'm the president.,0.0
212,Really? I'm talking to the president right now?,0.0
213,"Yes, you are.",0.0
214,"Right on, sister.",0.0
215,"Well, I bought a ticket.",0.0
216,May I skip the line since I'm talking to the president?,0.0
217,There's no cutting in line.,0.0
218,To the back.,0.0
219,See you inside?,0.0
220,"I'll see you inside, my brother.",0.0
221, Mrs. President.,0.0
222, Right on.,0.0
223,"Ungawa, Black Power!",0.0
224,The Black Student Union of Colorado College is honored to bring the vanguard of revolutionaries fighting for the rights of black people all over the world.,0.0
225,"Let's show some black love to the one and only, the brother man with a plan  who is sticking it to the man.",0.0
226," Right on, right on.",0.0
227,"Put your hands together, my people, for our Kwame Ture.",0.0
228,"Thank you, Sister Patrice.",0.0
229, Thank you.,0.0
230, And the Black Student Union.,0.0
231,"I want to thank all of you, my beloved sisters and brothers, for coming out tonight.",0.0
232,Okay!,0.0
233,But I'm here tonight to tell you that it is time for you to stop running away from being black.,0.0
234,Boom-shaka-laka!,0.0
235,It is time for you to stop running away from being black.,0.0
236,"You're college students, right?",0.0
237, Right on.,0.0
238, That's right.,0.0
239,You should think.,0.0
240,"It is time for you to understand that you, as the growing intellectuals of this country, that you must define beauty for black people.",0.0
241, Okay!,0.0
242," Now, that's Black Power.",0.0
243,Let me ask you something.,0.0
244,Is beauty defined as someone with a narrow nose?,0.0
245, No!,0.0
246, Thin lips?,0.0
247,No!,0.0
248,White skin?,0.0
249,Hell no!,0.0
250, Hell no.,0.0
251, Hell no!,0.0
252,'Cause you ain't got none of that.,0.0
253,No. Okay.,0.0
254,Our lips are thick.,0.0
255, Yes.,0.0
256," Yes, they are!",0.0
257,Our noses broad.,0.0
258, Our hair is nappy.,0.0
259, Yes!,0.0
260,"We are black, and we are beautiful!",0.0
261, Yes!,0.0
262, Boom-shaka-laka!,0.0
263,"You see, we want to be so much like the white people who oppress us in this country.",0.0
264, Nope!,0.0
265," And because they hate us, and because we are ashamed of our African heritage, we then hate ourselves.",1.0
266,Preach.,0.0
267,Y'all don't hear me tonight.,0.0
268,We hear you.,0.0
269,Y'all dig Tarzan?,0.0
270,Tarzan. I'm gonna be honest.,0.0
271,"When I was a boy, I used to go to the Saturday matinees and watch Tarzan all the time.",0.0
272, Okay.,0.0
273," Yeah, yeah.",0.0
274,And white Tarzan used to beat up the black natives.,0.0
275,"And I would sit there, yelling, ""Kill the beasts!",0.0
276,"""Kill the savages.",1.0
277,"""Kill them.",0.0
278,"""Kill them! Kill them!",0.0
279,"Kill them!"" But what I was saying was, ""Kill me."" That's right.",0.0
280,It was as if a young Jewish boy saw Nazis taking Jews off to concentration camps and cheered them on.,0.0
281,"Today, I want those chiefs to beat the hell out of Tarzan and send his lily-white ass on back to the caves of Europe.",1.0
282,Boom-shaka-laka!,0.0
283, Right on.,0.0
284,Right on.,0.0
285,But it takes time.,0.0
286,It takes time to become free of the lies and their shaming effects on the black mind.,0.0
287, Okay.,0.0
288," It takes time to reject the most important lie, that black people can't do the same things  that white people do.",0.0
289, That's a lie.,0.0
290,.unless a white person helps them.,1.0
292,Talk about it.,0.0
293,Black Power also means that we must unite.,0.0
294,"We must unite, and we must organize to form a base to fight racism.",0.0
295, Okay!,0.0
296, Yes. Yes.,0.0
297,To fight our oppressors.,0.0
298,"The vast majority of Negroes around this country, they live in captive communities.",0.0
299,"And they must endure their oppression and their conditions, because and only because  they are black and powerless.",0.0
300, Educate. Educate.,0.0
301,And now.,0.0
302,Now we are being shot down like dogs in the streets by white racist cops.,0.0
303,Speak the truth.,0.0
304,I said we are being shot down in the streets by white racist cops!,0.0
305,Fuck the police.,0.0
306,We can no longer endure this kind of oppression without retribution.,0.0
307,Hell no!,0.0
308,No more.,0.0
309,"That war in Vietnam, it is not only illegal, it is immoral.",0.0
310, That's right.,0.0
311, Talk about it.,0.0
312,And you know what I tell them?,0.0
313,"Hell no, we won't go!",0.0
314,"Hell no, we won't go!",0.0
315,"Hell no, we won't go!",0.0
316,We ain't going!,0.0
317,I'd rather see a brother kill a white racist cop than kill a Vietnamese.,0.0
318,"Me, too.",0.0
319,"Because at least, if he kills a racist cop he is doing it for a reason, because they are shooting black people.",0.0
320, That's right.,0.0
321," .in the backs, in these streets, right here in this very country.",0.0
322, They're killing us like dogs!,0.0
323, Boom-shaka-laka!,0.0
324,Right here!,0.0
325,Right here!,0.0
326,"I just want to leave you, uh, in closing 'cause I know it's getting late and y'all gotta go party.",0.0
327,"I'm sorry, study.",0.0
328,We love you!,0.0
329,"I just want to leave you, sisters and brothers, with these last words.",0.0
330,"If I am not for myself, who will be?",0.0
331,"If I am for myself alone, who am I?",0.0
332, Right.,0.0
333," Hear, hear.",0.0
334," If not now, when?",0.0
335, When?,0.0
336,"And if not you, who?",0.0
337,Who? Who?,0.0
338,Who? Who?,0.0
339,"We need an undying love for black people, wherever we may be.",0.0
340,All power to all the people.,0.0
341,All power to all the people!,0.0
342,All power to all the people!,0.0
343,All power to all the people!,0.0
344,"""All power to all the people."" Pretty powerful stuff.",0.0
345,"Incredible words, Brother Kwame.",0.0
346, Thank you so much.,0.0
347, Thank you.,0.0
348,"Thank you, brother.",0.0
349,Appreciate it.,0.0
350,Brother.,0.0
351,I gotta ask you something.,0.0
352,Do you really think war between the black race and the white race is inevitable?,0.0
353,Let me tell you.,0.0
354,"Arm yourself, brother.",0.0
355,"Get ready, 'cause the revolution is coming.",0.0
356,"Pick up a gun and arm yourself, because trust me, it's coming.",0.0
357, Thank you for coming tonight.,0.0
358, God bless you.,0.0
359,You looked great on that stage tonight.,0.0
360," Thank you, my brother.",0.0
361, All right.,0.0
362,"I don't know what you have planned now, but maybe I can buy you a drink?",0.0
363,"Uh. I, uh.",0.0
364,I gotta make sure Brother Kwame is all squared away.,0.0
365, What?,0.0
366, .and he gets to his hotel safely.,0.0
367,I can dig it.,0.0
368,"But, you know, um, if it's not too late, maybe I can meet you at the Red Lantern?",0.0
369,You know where that is?,0.0
370,Mmm-hmm.,0.0
371,So I'll see you then.,0.0
372,Damn right. Yes. Cool.,0.0
373,All power to all the people.,0.0
374,Hey. How you doing?,0.0
375, Sorry I'm late.,0.0
376, Hey.,0.0
377,You won't believe what happened.,0.0
378,What are you having?,0.0
379,"Bro Pope, 7 and 7, please.",0.0
380,Pigs pulled us over.,0.0
381,Say what?,0.0
382,I don't want to see nothing but black asses and black elbows.,0.0
383,Spread 'em!,0.0
384,"You that so-called big-shot Panther nigger, aren't you?",1.0
385,"I heard you was in town, Stokely.",0.0
386,My name is Kwame Ture.,0.0
387,I don't give two shits what your nigger name is!,1.0
389,"Black bitch, you get this Black Panther out of Colorado Springs before sunrise, you hear me?",0.0
390, Or you'll all go to jail.,0.0
391, We were born in jail.,0.0
392,Ooh.,0.0
393,Don't touch me!,0.0
394, Don't touch her!,0.0
395, Get your fucking hands off of me!,0.0
396, Get your hands off of her!,0.0
397, Get your white hands off!,0.0
398,Keep your hands off of her!,0.0
399,"Come on, get your hands off of her!",0.0
400,Get off of me!,0.0
401,Get off of me!,0.0
402, Wait!,0.0
403," Let her go, man!",0.0
404,You see the officers' names?,0.0
405,"I know I should have, but.",0.0
406,"The whole thing was so frightening, I didn't.",0.0
407,Come on.,0.0
408, Let's dance. Follow me.,0.0
409, Mmm.,0.0
410,"Come on. Come on, come on, come on.",0.0
411,What?,0.0
412,No.,0.0
413," Come on, you know it, you know it.",0.0
414, Uh-huh.,0.0
415,What was the room like?,0.0
416,Folks were hanging on every word.,0.0
417,Like a Baptist church on Christmas Sunday morning.,0.0
418, Huh.,0.0
419, Mmm-hmm.,0.0
420,Sounds like he had them pretty riled up.,0.0
421,"But I don't think that means black folks were ready to start the revolution, Chief.",0.0
422,What makes you say that?,0.0
423,Nobody in there was talking about that.,0.0
424,That wasn't the vibe.,0.0
425,Everybody was cool.,0.0
426,Let me get this straight.,0.0
427,He told a room of black folk to get ready for a race war.,0.0
428,That they were going to have to arm themselves and kill cops.,0.0
429,"I mean, what about that?",0.0
430,"Yeah, he said that, but, Chief, I think it was just talk, you know?",0.0
431,Rhetoric.,0.0
432,"That's what I thought, too.",0.0
433, Jimmy?,0.0
434, Like my partner said.,0.0
435,"All right, well, thank goodness Carmichael has left Colorado Springs.",0.0
436, Kwame Ture.,0.0
437, What?,0.0
438,He changed his name from Stokely Carmichael to Kwame Ture.,0.0
439,"I don't care if he changed his name to that draft dodger, Muhammad Ali.",0.0
440,All right? He's still dangerous.,0.0
441, Did you hear the story Patrice told me?,0.0
442," No, I didn't.",0.0
443,About how the CSPD pulled over her and Ture?,0.0
444,"Patrice, she's the one from the Black Student Union, the group that brought in Ture?",0.0
445,"Kwame Ture. Correct, sir.",0.0
446,"Getting pretty chummy with her, huh?",0.0
447,"No, just doing my job, Chief. Undercover.",0.0
448,Let's just make sure it ain't under the cover of the sheets.,0.0
449,"I would never jeopardize a case, sir.",0.0
450,He doesn't know what he'd do.,0.0
451,You're new.,0.0
452,You guys sit tight.,0.0
453,"Ron, come with me.",0.0
454,"Ron, I'm transferring you to Intelligence.",0.0
455,What will I be doing there?,0.0
456,Intelligence.,0.0
457,Against my better judgment.,0.0
458,"Five, four, three, two, one.",0.0
459,Swish!,0.0
460,Police department.,0.0
461,He is at lunch.,0.0
462,"Excuse me? Yes, yes.",0.0
463,You have reached the Colorado Springs chapter of the Ku Klux Klan.,0.0
464,Please leave a message.,0.0
465,And God bless white America.,0.0
466,Hello. This is Ron Stallworth calling.,0.0
467,I saw your advertisement in the Colorado Springs Gazette.,0.0
468,I'm interested in receiving some reading materials from you.,0.0
469,My phone number is 103-9994.,0.0
470,I'm very much looking forward to you returning my call.,0.0
471," Yeah, who's this?",0.0
472, Ron Stallworth here.,0.0
473,This is Walter returning your call.,0.0
474,From the Organization.,0.0
475,The Organization?,0.0
476,That's right.,0.0
477,We appreciate your interest.,0.0
478,What's your story?,0.0
479,"Well, since you asked.",0.0
480,"Since you asked, I hate niggers.",1.0
482, I hate Jews.,0.0
483, Huh?,0.0
484,Spics and Micks.,0.0
485,Dagos and Chinks.,0.0
486,"But my mouth to God's ears, I really hate those nigger rats.",1.0
487,"And anyone else, really, that doesn't have pure white Aryan blood running through their veins.",0.0
488,"My sister, Pamela, she was just recently accosted by one of those black coons.",1.0
489,Is that so?,0.0
490,Yeah.,0.0
491,Every time I think about that black baboon putting his filthy black hands on her pure-as-white-driven-snow body.,0.0
492,"I mean pure, Walter.",0.0
493,She's a saint. She's an angel.,0.0
494,It makes me want to puke.,0.0
495,You are just the kind of guy that we are looking for.,0.0
496,"Listen, uh, when can you meet?",0.0
497,How about Friday night after I get off work?,0.0
498,"That's a deal, buddy boy.",0.0
499,We'll get right back to you with the details.,0.0
500,"Take care, now.",0.0
501,God bless white America.,0.0
502,Did I just hear you use your real name?,0.0
503,"Oh, motherfucker.",0.0
504,"Yeah, motherfucker amateur hour.",0.0
505,"That's your real name, right? Isn't.",0.0
506,Isn't it Ron Stallworth?,0.0
507,"Right, isn't that his real name?",0.0
508,Can't believe he just said that.,0.0
509,"Well, good luck, Ron, with your new redneck friends.",1.0
510,They want you to join the Klan?,0.0
511,They want to meet me first.,0.0
512, They want to meet you?,0.0
513, Mmm-hmm.,0.0
514,"Yeah, well, you probably shouldn't go to that meeting.",0.0
515,"Good call, Sarge.",0.0
516,"So you're a crazy son of a bitch, huh?",0.0
517,"We'd have to go to Narcotics, meaning we'd have to deal with Chief Bridges.",0.0
518,"Yeah, I can't spare the men.",0.0
519,"Well, I've looked over the logs, Chief, and it seems you can spare them.",0.0
520,"Sergeant Trapp, Ron spoke to the man on the phone.",0.0
521,"All right, when they hear the voice of one of my guys, they're gonna know the difference.",0.0
522,"How so, Chief?",0.0
523,You want me to spell it out for you?,0.0
524,They're going to know the difference between how a white man talks and a Negro.,0.0
525,How exactly does a black man talk?,0.0
526,"Okay, Ron, what I think the Chief is trying to say.",0.0
527,"If you don't mind, I'd like to speak for myself.",0.0
528," Thank you, Sarge.",0.0
529, Sure.,0.0
530,You know what I'm trying to say.,0.0
531,"Chief, some of us can speak King's English.",0.0
532,Others speak jive.,0.0
533,Ron Stallworth here happens to be fluent in both.,0.0
534,"Okay, Ron, how do you propose to make this investigation?",0.0
535,"Well, I've established contact and created some familiarity with the Klansman over the phone.",0.0
536,"I'll continue in that role, but I'll need another officer, surprise, surprise, a white officer, to play me when they meet face-to-face.",0.0
537,"See, that's my point exactly.",0.0
538,"Chief, black Ron Stallworth over the phone, white Ron Stallworth face-to-face, so there becomes a combined Ron Stallworth.",0.0
539, Can you do that?,0.0
540, I believe we can.,0.0
541,"With the right white man, we can do anything.",0.0
542,"Anything happens to one of my men, there won't be two Ron Stallworths.",0.0
543,There'll be none.,0.0
544,You're late.,0.0
545,Sorry. It'll never happen again.,0.0
546,Seems like I heard that one before.,0.0
547,"Jimmy, when's the last time they let a rookie lead an investigation?",0.0
548,"Oh, that's right. Never.",0.0
549,"Okay, all right, let's move on.",0.0
550,"Let's, uh.",0.0
551,Let's go to our bio.,0.0
552,Okay. Ron Stallworth.,0.0
553,I do wholesale manufacturing.,0.0
554, Whereabout?,0.0
555, Pueblo.,0.0
556, What's that commute like?,0.0
557," Jimmy, I'm glad you asked.",0.0
558,It's a straight shot down I-25.,0.0
559," Hour, tops.",0.0
560, It's a long ride.,0.0
561,What do we listen to?,0.0
562,"KWYD, Christian talk in the morning, although the signal starts to cut out near Pueblo.",0.0
563,"On the way back, I like to turn it to 102.7 to get my Allman Brothers fix.",0.0
564,"Only I have to change it every time that British fag, David Bowie, pipes on.",1.0
565,Whoa! I love Bowie.,0.0
566,"I mean, who doesn't, right?",0.0
567,"Remember, you have to retain all the information you share with these guys so I can be white Ron Stallworth.",0.0
568,"Jimmy, I always wanted to be black.",0.0
569,All my heroes were black guys.,0.0
570,Willie Mays.,0.0
571, Basket catch.,0.0
572, Wilt the Stilt.,0.0
573,Record 100 points in one game.,0.0
574,But you know my absolute favorite?,0.0
575,O.J.,0.0
576,Heisman pose!,0.0
577, The Juice!,0.0
578, I love fucking O.J.,0.0
579,Orenthal James Simpson.,0.0
580, Bet you didn't know that.,0.0
581, Of course I did.,0.0
582,"We as a Negro people appreciate your love, but don't share that love with these guys.",0.0
583,"For you, it's the fucking Osmonds, right?",0.0
584,"Hey, I love Marie Osmond.",0.0
585,"I get to play you, but you don't get to play me?",0.0
586," Jimmy, does that sound fair?",0.0
587, Fair?,0.0
588, Not to me.,0.0
589," Now, what else?",0.0
590, Who are you meeting with?,0.0
591, Walter Breachway.,0.0
592,Become his friend.,0.0
593,Let's get invited back.,0.0
594,"Well, look at you.",0.0
595,"Okay. Anything else, sir?",0.0
596,I'm on the phone with the Klan.,0.0
597,You meet with them in person.,0.0
598,And?,0.0
599,And you need to try and sound like my voice.,0.0
600,"Oh, boy.",0.0
601,All right. Here.,0.0
602," Me, too?",0.0
603," Yeah. You, too, Jimmy.",0.0
604, Godfather.,0.0
605, That's right.,0.0
606,"You wanted to be black, here's your chance.",0.0
607,Lookie here.,0.0
608,Some people say we've got a lot of malice.,0.0
609,Some say it's a lot of nerve.,0.0
610,Lookie here.,0.0
611,Some people say we got a lot of malice.,0.0
612, Some.,0.0
613," Come on, come on.",0.0
614,This is life and death here.,0.0
615,Come on.,0.0
616," Oh, is it?",0.0
617, Come on.,0.0
618,Some say it's a lot of nerve. Nerve!,0.0
619, You want me to do this now?,0.0
620," Please, now.",0.0
621,"For all our sakes, do it now, please.",0.0
622,Some say it's a lot of nerve.,0.0
623,"Let it flow, though.",0.0
624,Let it flow.,0.0
625, I'm flowing.,0.0
626, Okay.,0.0
627,I say we won't quit moving till we get what we deserve.,0.0
628,I say we won't quit moving until we get what we deserve.,0.0
629,"We've been buked, and we've been scorned.",0.0
630, We've been buke.,0.0
631," ""Buked."" Say that.",0.0
632," What does ""buked"" mean?",0.0
633, Disrespected.,0.0
634,"You've been disrespected, Flip.",0.0
635, You.,0.0
636, Why doesn't he just say that?,0.0
637,"We've been buked, and we've been scorned.",0.0
638,"This has got to flow, from the.",0.0
639,"We've been treated bad, talked about.",0.0
640,We've been buked.,0.0
641,We've been scorned.,0.0
642," All right, get that shit out.",0.0
643," We've been treated bad, talked about.",0.0
644,"Just as sure as you're born, but just as sure as it take.",0.0
645,Two eyes to make a pair. Huh!,0.0
646, Two eyes to make a pair.,0.0
647, Huh!,0.0
648,Hah!,0.0
649, Hah!,0.0
650, Hah!,0.0
651, Hah!,0.0
652, Huh!,0.0
653, Hah!,0.0
654," Brother, we can't quit till we get our share.",0.0
655,"Brother, we can't quit till we get our share.",0.0
656,"Doesn't make grammatical sense, but okay.",0.0
657,"Say it loud. I'm black, and I'm proud.",0.0
658,"Say it for O.J., Jimmy.",0.0
659,"You, too.",0.0
660,Say it loud.,0.0
661,"I'm black, and I'm proud.",0.0
662,Say it loud.,0.0
663,"I'm black, and I'm proud.",0.0
664,That's right. There it is.,0.0
665,I believed you.,0.0
666,Lose that Jewish necklace around your neck.,0.0
667,"Jimmy, it's not a Jewish necklace.",0.0
668,It's a Star of David.,0.0
669,Okay.,0.0
670,"Flip, you're Jewish?",0.0
671,I don't know. Am I?,0.0
672,Ron Stallworth?,0.0
673,That's me.,0.0
674, You must be Walter.,0.0
675, Name's Felix.,0.0
676,"Well, I was told I'd be meeting a Walter Breachway.",0.0
677,"Change of plans, Mac.",0.0
678,I'm gonna need you to hop in the truck.,0.0
679,"Okay, well, how about I just follow you in my.",0.0
680,No can do.,0.0
681,You come with me.,0.0
682,Security.,0.0
683,I'll drive you back.,0.0
684,"Come on, let's roll.",0.0
685,"You for the white race, Ron?",0.0
686,"Oh, hell yeah.",0.0
687,Been having trouble lately with these local niggers.,1.0
689,"Ugh. Since the Civil War, it's always trouble with niggers.",1.0
691,Uh-huh.,0.0
692,Walter said something about your sister.,0.0
693,Makes me sick.,0.0
694,What are they saying?,0.0
695,They saying where they're going?,0.0
696,"But it's also, you know, camaraderie, I'm looking for with the Klan.",0.0
697,What the fuck did you say?,0.0
698, Camaraderie?,0.0
699," No, the other word.",0.0
700, The Klan?,0.0
701," Not ""the Klan."" It's ""the Organization."" The Invisible Empire has managed to stay invisible for a reason.",0.0
702,Do not ever use that word.,0.0
703,You understand?,0.0
704,"Hey, I over-stand.",0.0
705,Right. You got it.,0.0
706,The Organization.,0.0
707,Check this shit out.,0.0
708,You're never gonna believe this.,0.0
709,What?,0.0
710,A fucking jig on our bumper.,0.0
711," Ron, he sees us. Back off.",0.0
712, Damn!,0.0
713,Let's get ready.,0.0
714,Look under your seat.,0.0
715, Yeah.,0.0
716, What?,0.0
717,Pull it out.,0.0
718,Load 'er up.,0.0
719,Put two in the chamber.,0.0
720,"Come on, load it up.",0.0
721,"Come on, load it.",0.0
722,Don't be messing with us.,0.0
723,The Organization.,0.0
724,"Not so fast, buddy boy.",0.0
725,Hold your horses.,0.0
726,Mmm!,0.0
727,"Ron, glad you could make it.",0.0
728,"Walter Breachway, chapter president.",0.0
729,Ron Stallworth.,0.0
730,I appreciate you inviting me out.,0.0
731,Absolutely. I've been impressed with our conversations over the phone.,0.0
732,I think you have a lot of fine ideas that could really help the cause.,0.0
733,"Well, I meant every word I said.",0.0
734,"You know, I've had my own share of run-ins with niggers.",1.0
736,"Matter of fact, it's what led me to the Organization.",0.0
737, Is that right?,0.0
738, It's become my salvation.,0.0
739,"See, I was, uh, shot and wounded by a couple niggers.",1.0
