,0
122,"If you want a paycheck, stick to the script."
124,"If you want to play Gandhi,"
125,then do it on somebody else's time.
127,
128,Then I've got to do what I've got to do.
130,That's very funny.
131,Where the hell are you goin'?
133,"If you leave, you're not comin' back in."
135,"I'm not takin' any crap from you, pal."
137,"Well, in the words of Porky Pig:"
139,"P-P-P-P-P-P-Piss off, Lou."
141,- So what about that history test?
142,- Don't ask.
144,- Did you have fun in school?
145,- I painted a picture of a rainbow.
147,
149,
150,Dad? - Daddy!
152,Daddy!
154,- I thought you couldn't pick us up.
155,"- Well, I got off early."
157,- You mean you got fired?
158,"- No, I quit... for reasons of conscience."
160,Actors.
162,"(California drawl) Dude, congratulations"
163,on your 12th birthday. Got a surprise for ya.
165,- A stripper?
166,"- Ooh, please!"
168,- Two strippers?
169,"- Hoo-hah, boy!"
171,- A party?
172,- Yes!
174,No. No parties.
176,Mom said you couldn't have one
177,because of your report card.
179,(as Jack Nicholson) Mom's not gonna be
180,"home for another four hours, is she?"
182,Prepare yourself... for the wild kingdom.
184,
186,Coming up toward the very end.
187,There she goes. And she wins that race.
189,Come on off now. Here we go.
191,You want to feed him?
193,See if this guy will.
195,Oops. Sorry.
197,Shoo! Get out!
199,Shoo! Shoo!
201,"- Gregory, Henderson and Hillard."
202,"- Miranda Hillard, please."
204,I know what you're going for with these
205,"murals, but perhaps if they weren't so large."
207,"- And let's do steel windows, not wood."
208,- Uh-huh.
210,Eliminate the oriental rug.
211,Let's try an Aubusson carpet.
213,- More pink than red.
214,- Good idea.
216,Union Square lnn. This is better.
218,"More Arts and Crafts. A Dirk Van Erp lamp,"
219,a Stickley chair. Don't be seduced by chintz.
221,"Excuse me. Miranda,"
222,can I speak to you for a minute?
224,- Yes. Excuse me.
225,- Certainly.
227,Just be one minute.
229,I just got off the phone
230,with a Stuart Dunmeyer.
232,- Stuart Dunmeyer?
233,- Mm-hm. He said you were acquaintances.
235,Stuart Dunmeyer?
237,He's putting millions into restoring
238,the old Wellman mansion on Nob Hill.
240,- He wants to make it into a $500-a-night B&B.
241,"- Yes, I read about it."
243,- He's been doing very well.
244,"- Mm-hm, that's him."
246,"And he specifically asked for you, Miranda."
248,He did?
250,- I told him you'd call first thing tomorrow.
251,"- Yes, I will."
253,Miss Hillard? The operator
254,has a Gloria Chaney on hold.
256,- She says it's an emergency.
257,- Excuse me.
259,Gloria?
261,
263,"- Oh, my God!"
264,"- Is this your residence, ma'am?"
266,"Yes, I'm sorry to say it is."
268,Are you aware it's illegal to possess
269,barnyard animals in a residential area?
271,- What if you're married to one?
272,- We're also responding to a noise violation.
274,I'm going to respond myself.
275,I'm awfully sorry about this. I'll...
277,You ate my begonias! God!
279,Get out of my way!
281,
283,Jump around
285,Jump around
287,Jump around
289,"Jump up, jump up and get down"
291,"Everybody jump, jump, jump, jump, jump"
293,Oh... Shoo! Get! Get!
295,I'm the cream of the crop
296,I rise to the top
298,"I never eat a pig, cos a pig is a cop"
300,Or better yet a Terminator
301,like Arnold Schwarzenegger
303,"Try to play me out, like"
304,as if my name was Sega
306,"I'm comin' to get ya, I'm comin' to get ya"
308,"Spittin' out lyrics, homey I'll wet ya"
310,"I came to get down, I came to get down..."
312,Hah!
314,Miranda! Whassup?
316,"You're home early, girlfriend."
318,Havin' a birthday in the house.
320,What the hell is going on around here?
322,"Don't get mad, honey. Listen."
324,You're home a little early. I was gonna
325,clean it all up before you got home.
327,"Jump, jump, jump, jump, jump..."
329,Honey... What are you looking for?
331,I'd be careful. That pony had a lot of water.
333,
335,Party's over.
337,(Daniel) She called you
338,and you bust the birthday party. Great(!)
340,(Miranda) Don't you dare
341,"make me out to be the monster here, Daniel!"
343,You have all the fun
344,and I get whatever's left over.
346,- You chose the career.
347,- I have no choices here. I have no choices!
349,"Even when I try to do something fun,"
350,you do it ten times bigger!
352,I bring home a cake and gifts.
353,You bring the goddamn San Diego Zoo!
355,- And I have to clean up!
356,"- It's not toxic waste, just a few party plates!"
358,Why am I the only one
359,that feels there has to be rules?
361,Why do you always
362,make me out to be the heavy?
364,I don't. You do it yourself quite naturally.
366,- You set me up every time to be the bad guy.
367,"- Oh, lighten up, will ya?"
369,You spend too much time with
370,those corporate clones you used to despise.
372,"I spend too much time with you, Daniel."
373,It's over!
375,It's over.
377,"Come on, Miranda. We've got problems,"
378,but who doesn't? We could work 'em out.
380,We've been trying to work them out
381,for 14 years.
383,"Come on, please. Listen."
384,"Maybe we need some help, OK?"
386,Maybe a family therapist
387,will help us do this together.
389,It's too late for that.
391,"Well, let's take a vacation with the kids,"
392,as a family. Get you away from work.
394,You're a different person.
395,You really are. You're great.
397,Our problems would be waiting for us
398,when we got back.
400,"We'll move, and hopefully"
401,our problems won't follow us.
403,"Daniel, please don't joke."
405,OK.
407,Yeah. We've just grown apart. We're different.
409,- We have nothing in common.
410,"- Oh, sure we do. We love each other."
412,"Come on, Miranda. We love each other."
414,Don't we?
416,I want a divorce.
418,
419,No.
421,We can't. We're a family. You know?
423,I'm so sorry.
425,"Yeah, Ma, he told me all about it."
427,"Yeah, Ma. I heard, I heard."
429,"- Well, yeah, he's here."
430,- No.
432,"Ma, he's not really in the mood to talk."
434,"Yeah, depressed."
435,"I mean, his marriage is ending."
437,My marriage is not ending. It's just on hiatus.
439,"Ma, I think he's in a little bit of denial."
441,"No, we're taking good care of your little boy."
442,"Don't worry, Mom."
444,"- Hi, Evelyn. Thanks for the jam."
445,- She says you're welcome.
447,That beige concealer.
448,When are we gettin' more of it?
450,- Next week.
451,"- You hear that, Ma? Next week."
453,"Wait, hang on."
455,- Enough already. It's a man.
456,- How would you know?
458,Bitch.
460,"No, Ma, not you. I was talkin' about the dog."
462,"Ma, listen. We got people"
463,waitin' for us on the set.
465,"Oh, yeah. It's a busy life, Ma."
466,"Places to go, faces to paint."
468,"Yeah, I'll tell him, Ma."
470,"Don't worry, I'll tell him."
472,"Yeah. Hold on, Ma."
474,She wants to know
475,if you want to come stay with her.
477,- No way.
478,"- He says he'll think about it, Ma."
480,"I will. All right. I love you, too."
482,"Bye, Ma."
484,"Hey, listen, you know you can always"
485,stay with us just as long as you want.
487,"Thank you, but I'm OK, really."
488,"I mean, this is just a temporary thing."
490,I know Miranda. It's gonna blow over.
492,"Mr and Mrs Hillard, although these custody"
493,"proceedings tend to favour the mother,..."
495,"..we also realise, perhaps now more than"
496,"ever, that it is not in a child's best interest..."
498,..to deprive him or her
499,of an obviously loving father.
501,"However, since at the present time Mr Hillard"
502,"has no place to live and no employment,..."
504,..it is the court's ruling
505,to award sole custody to Mrs Hillard.
507,- (whispers) Congratulations.
508,- No.
510,Mr Hillard will have visitation rights
511,every Saturday.
513,- Can't you do something?
514,- He's made his decision.
516,Isn't it traditional
517,"to say ""I object"" or something?"
519,"Your Honour, please."
521,Every Saturday? That's one day a week.
523,That's not enough.
525,I have to be with my children. It's not
526,"a question. I have to be with them, sir. Please."
528,"I know it seems like a lot,"
529,but for me it's not enough. Really.
531,I haven't been away from 'em for more than
532,one day since the day they were born.
534,"- Mr Hillard, this ruling is only temporary."
535,"- Oh, good."
537,I will assign a court liaison
538,to oversee your case.
540,There will be a continuance
541,of these proceedings in 90 days.
543,"- I'm giving you three months, Mr Hillard."
544,- Thank you.
546,"Three months in which to get ajob,"
547,keep it and create a suitable home.
549,"If this proves to be a possibility for you,..."
551,..I will consider ajoint-custody arrangement
552,when we reconvene. We're adjourned.
554,"Well, it looks like there is"
555,a little light at the end of our tunnel.
557,- That's all my stuff.
558,- This is all my fault.
560,"God, no. Why would you think that?"
562,"I should have never had a birthday, Dad."
564,- This never would have happened.
565,"- Yes, it would."
567,"It was an accident waiting to happen, OK?"
569,You did nothing wrong. You got that?
571,"OK, gimme five."
573,You're the man of the house now.
575,Don't be messy.
577,- You can't go now.
578,"- Honey, I have to."
580,We're in the middle of 'Charlotte's Web'.
581,Who's gonna finish it?
583,"Well, Grandma will finish it for you."
585,"She's not as good. She always skips parts,"
586,and she never does the voices.
588,"She smells funny, too."
590,That's the formaldehyde.
591,That's why Granny's so well preserved.
593,"Hey, come here."
595,Hey! It's the same as always.
596,"We just have a really big backyard, OK?"
598,- (whispers) I love you.
599,- (whispers) I love you.
601,I'll miss you. Saturday comes real quick.
603,- I'll miss you.
604,- Ditto.
606,"Oh, Dad..."
608,- Take care of her.
609,- OK.
611,Goodbye.
613,"Thanks for the time, warden."
615,"Bye, Dad."
617,"As your court liaison,"
618,I will be looking at two things.
620,- Your living environment...
621,"- It's more like a habitat, really."
623,And I will be coming by on Monday
624,and Friday evenings to inspect it.
626,"Well, I'll put on a chicken."
628,And there's always the job issue.
630,This is the nearest employment office. I took
631,the liberty of making an appointment for you.
633,- Thank you.
634,"- By the way, do you have any special skills?"
636,"Oh, yes. I do."
638,I do voices.
640,"What do you mean, you do voices?"
642,
643,"Vell, I do voices."
645,Yes!
647,(as alien) We're looking for intelligent life.
648,"Oops, mistake!"
650,(as immigrant) Happy to be in America.
651,Don't ask for a green card.
653,
654,I want you in the worst way.
656,(as Groucho Marx) This meeting
657,is certainly not going well for me.
659,"(as Chico) Hey, boss, give her a chance."
660,She's gonna loosen up any moment.
662,"(as James Bond) Moneypenny,"
663,I want to undo that bow and get to know you.
665,
666,I'm crazy to make a deal with you!
668,(as Ronald Reagan) Nancy and I are
669,looking for the other half of my head.
671,(as Walter Huston) They're doin' it!
672,I'm sittin' on a gold mine!
674,
675,"Don't make me smack you, sweetheart."
677,Figaro!
679,I do a great impression of a hot dog.
681,"Mr Hillard, do you"
682,consider yourself humorous?
684,I used to.
686,There was a time when I found myself funny.
688,But today you have proven me wrong.
689,Thank you.
691,"Listen, bottom line..."
693,"I need to be with my children,"
694,and I'll do anything to do that.
696,You just tell me what to do.
698,- Excuse me. You Tony?
699,- That's me.
701,"Hi. I'm Daniel Hillard, the actor."
703,Follow me.
705,"Oh, films! Will I be"
706,introducing these movies on air?
708,- Not exactly.
709,- What do I do?
711,You take all these cans.
712,You box 'em and you ship 'em.
714,Then you box those cans over there.
715,Ship them. Then more will come in.
717,"You box those, you ship those."
719,Any questions?
721,After you box 'em...?
723,You ship 'em.
725,"Lots of luck, smartass."
727,I think I made a friend.
729,- Miranda.
730,- Stu!
732,"Hello, Miranda."
734,- It's been a long time.
735,- Yes.
737,Mr Dunmeyer's come by
738,to look over your sketches.
740,Um...
742,Let me show you to the conference room.
744,"As you probably know,"
745,the estate was built in 1876.
747,These sketches are meant to reflect
748,your desire to have it completely restored.
750,You look better than ever.
752,The lobby will resemble a music salon with
753,inspiration from the French Second Empire.
755,I was thinking a 17th-century grand piano...
757,I've been following your career
758,these past couple of years.
760,"A tufted sofa, a Flemish tapestry,"
761,a brass-bound Regency-style table...
763,I'd love to get reacquainted. Catch up.
765,"Mantel clocks,..."
767,"..fringed, upholstered chairs, heavy drapes."
769,"Can we talk? Over dinner, maybe?"
771,"Stuart, thank you. I... I..."
773,I... I'm at the beginning of a divorce.
775,It just didn't work out.
777,"- Oh, Miranda, I'm sorry."
778,- You don't have to say that.
780,"No, really. I mean, I never"
781,held any grudges or anything. I just...
783,"Well, I always hoped you'd find happiness."
785,"Oh, God, that's so nice."
787,I was just worried my coming in here
788,might scare you off the project.
790,"No, no. Of course not. l..."
792,I'm a professional. I'm...
794,I was flattered that you thought of me
795,after all these years and everything.
797,"Yeah, everything."
799,Well... Ancient history.
801,Yeah.
803,Yeah.
805,- I'm late. I've got a meeting at the bank.
806,- Oh.
808,Can we talk maybe later in the week?
810,- Sure.
811,- Good.
813,It's good to see you again.
815,
816,"Mmm, good, huh?"
818,I know the place
819,"doesn't look like much now, but..."
821,..it'll be OK. How do you like it?
823,- Nice.
824,- It's OK.
826,Detestable.
828,"Hey, just give me some time."
830,I'm not too comfortable
831,with this new lifestyle.
833,Neither are we.
835,"I know it's hard, sweetie."
837,Can't you just tell Mom you're sorry?
839,Wish I could.
841,"You know, grown-up problems..."
843,"They're a little more complicated, Nattie."
845,How is the old battle-axe?
847,- Your mom.
848,- She's fine.
850,Oh. I'm glad to hear that.
852,I'd hate to think that she came down
853,with amoebic dysentery or piles.
855,What's amoebic dysentery?
857,It's an infection in your tummy
858,where you get diarrhoea for ever.
860,- Diarrhoea for ever?
861,- And your body dries up and you die.
863,- You die?
864,- You don't have to be so graphic with her.
866,- I read about it in a science book.
867,- Why would you want Mommy to die?
869,"Oh, honey, I don't want Mommy to die."
871,Then why did you say that?
873,"Look, Dad, you're not trying very hard."
875,We only get to come here once a week.
876,That's not very much.
878,You're right. I'm sorry. I'll try harder.
880,"Nattie, I'll think good thoughts, OK?"
882,- About Mommy?
883,- I'll try. I really will.
885,- And call her a princess.
886,"- Oh... Oh, yes."
888,And right now I feel like a toad. (croaks)
890,
891,Daddy's a toad.
893,
895,- That's Mom.
896,- Can't be. She's an hour early.
898,"Come on, Nattie, we gotta go."
900,"No, no! Come on, sit down, sit down."
902,Sit down!
904,You don't have to run off
905,when she honks the horn.
907,"Come on, you're on my time now."
909,"You're my goddamn kids, too!"
911,Come on. Hey.
913,Hi.
915,"Oh, Daniel... Charming."
917,"Thank you, Miranda."
918,I was going for a refugee motif.
920,Fleeing-my-homeland kind of thing.
922,But look at you!
924,This lovely 'Dances with Wolves' motif.
925,What's your lndian name: Shops With A Fist?
927,- Are my children ready yet?
928,"- No, our children are not ready yet..."
930,..because you are an hour early
931,and you were late dropping them off.
933,"Daniel, I don't have time for this. I have to"
934,drop something off at the newspaper office.
936,Newspaper? Are you taking out
937,one of those personal ads?
939,"""DWF seeks WWWM with BMW,"
940,"into light B&D""?"
942,I'm placing an ad for a housekeeper.
944,Housekeeper?
945,Why do you need a housekeeper?
947,I need someone to be there when the children
948,"get home from school, to clean, start dinner..."
950,- How much are you gonna pay?
951,- $300 a week. Is that all right?
953,300...
955,- May I see the ad?
956,
958,- I have a right as their father. Please?
959,- All right. Anything else you wanna see?
961,- Are you offering?
962,- Not any more.
964,What's the change?
966,- Are you guys all right?
967,"- Yeah, Mommy. We're fine."
969,Ugh!
971,"Miranda, why not let me"
972,take care of the kids?
974,"I'll pick 'em up after school, be with them,"
975,then drop them off at your house after work.
977,- That'd be great!
978,- Please!
980,- Look. The kids love it.
981,"- Mommy, please!"
983,I'll think about it.
985,"We're his goddamn kids, too."
987,Kids say the darndest things.
989,Thank you. Any other choice phrases
990,"you'd like to teach our five-year-old, Daniel?"
992,"Oh...! Come on,"
993,everybody get their coats. Come on.
995,- Put them on and let's get out of here.
996,"- OK, Mom."
998,"I would say go to the bathroom before we go,"
999,but I don't think that's a good idea.
1001,Don't forget anything.
1002,I don't wanna come back.
1004,"Come on, let's go."
1006,- See you Saturday.
1007,- Say goodbye to your father.
1009,"Goodbye, Daddy."
1011,- Here's your ad.
1012,- I'll get my purse.
1014,"Yeah, you'd better."
1016,
1018,(Miranda) Hello. Are you calling
1019,in response to the ad?
1021,Uh-huh.
1023,- Who was your previous employer?
1024,- I was in a band. Severe Tyre Damage.
1026,- In a band?
1027,- I just wanna know one thing.
1029,"Are your kids well-behaved, or do they need,"
1030,"like, a few light slams every now and then?"
1032,- Um... I'll have to get back to you.
1033,-Wow!
1035,
1036,My name is Ilsa Himmelman.
1038,How many children do you have?
1040,- I have two girls and a boy.
1041,"- Oh, a boy!"
1043,(Swedish accent) I don't work with the males
1044,cos I used to be one.
1046,Yikes.
1048,
1050,- Hello.
1051,
1053,"(Southern US accent) Leyla, get back"
1054,in your cell! Don't make me get the hose!
1056,Hello?
1058,
1059,I... am... job.
1061,- Do you speak English?
1062,- I... am... job.
1064,I'm sorry. The position has been filled.
1066,"Oh, what a nightmare!"
1068,Let's go in for the kill.
1070,
1072,- Hello?
1073,- (as Scottish woman) Hello.
1075,I'm calling in regards
1076,to the ad I read in the paper.
1078,"Yes... Well, would you tell me"
1079,a little bit about yourself?
1081,"Oh, certainly, dear."
1083,For the past 15 years I've worked for
1084,"the Smythe family of Elbourne, England."
1086,"That's Smythe, not Smith, dear."
1088,"And for them, I did housecleaning, cooking,"
1089,and took care of their four glorious children.
1091,"Oh, I grew quite attached to them after 15"
1092,"years, but they grew up, as children tend to."
1094,"Oh, but listen to me. I am going on when you"
1095,should be telling me about your little ones.
1097,"- Well, I have two girls..."
1098,"- Oh, two precious gems."
1100,No doubt the jewel of your eye.
1102,- And one boy.
1103,"- Oh, the little prince. How wonderful."
1105,"I must tell you,"
1106,a little light cooking is required.
1108,"Oh, I don't mind that, dear."
1109,I'd love some heavy cooking.
1111,But I do have one rule: they'll only eat
1112,"good, nutritious food with me."
1114,"And if there's any dispute, it's either"
1115,"good, wholesome food or empty tummies."
1117,That's my rule.
1118,"I hope it's not too harsh for you, dear."
1120,No! Um...
1122,Would you mind coming on an interview?
1123,"Say, Monday night at 7.30?"
1125,"- Oh, I'd love to, dear."
1126,- Wonderful.
1128,I'm at 2640 Steiner Street.
1130,"Steiner. Oh, how lovely."
1132,- Could you tell me your name?
1133,- My name?
1135,"I thought I gave it to you, dear."
1137,- No.
1138,- Oh!
1140,- Doubtfire.
1141,- I beg your pardon?
1143,"Doubtfire, dear. Mrs Doubtfire."
1145,"- Well, I look forward to meeting you."
1146,"- Oh, lovely, dear. Me, too."
1148,- Bye-bye.
1149,- Ta-ta.
1151,Showtime.
1152,
1154,"- Daniel, hi."
1155,- Could you make me a woman?
1157,"Honey, I'm so happy!"
1159,"- Oh, come here."
1160,- I knew you'd understand.
1162,- Is this gonna hurt?
1163,- Don't whine. Just relax.
1165,- Are you sure?
1166,"- Just remember, pain is beauty."
1168,"- OK, take a deep breath... lnstant eye lift."
1169,- Whoa.
1171,And the strings are under the wig.
1173,- The man has five-o'clock shadow at 8.30am.
1174,"- All right, we'll start with make-up."
1176,- I'm not gonna wax.
1177,- Don't worry. We'll just lightly spackle.
1179,- I feel like Gloria Swanson.
1180,- You look like her mother.
1182,
1183,"I'm ready for my close-up, Mr DeMille."
1185,"OK, everyone... Let's pray."
1187,(Spanish accent) I hope you are using
1188,Jungle Red. That is the colour I love.
1190,- Matches your lips.
1191,- God bless you.
1193,I'm feeling fabulous
1194,because I met this beautiful Cuban.
1196,Every night is like the Bay of Pigs.
1198,I can't lie to you. It's beautiful with him.
1200,I don't know. This would scare the children.
1201,Maybe this is too much for them.
1203,I think we have to go to the next level.
1205,Latex.
1207,
1208,"Oy, it was such a shandeh."
1210,I should never buy gribbenes from a mohel.
1211,It's so chewy.
1213,"- No, I feel like Bubbee. This is not working."
1214,- Don't worry.
1216,It's a work in progress and you're my brother.
1217,I will never let you be embarrassed.
1219,- God bless you.
1220,- We'll have to do the entire face.
1222,But look at this nice thing we have here.
1224,"Matchmaker, matchmaker,"
1225,make me a match
1227,"Find me a find, catch me a catch"
1229,"Don't tell me not to live, just sit and putter"
1231,Life's candy and the sun's a ball of butter
1233,Don't bring around a cloud
1234,to rain on my parade
1236,It's not working. I need to go older.
1238,Older? Like Shelley Winters older
1239,or Shirley MacLaine older?
1241,- What's the difference?
1242,- Some Scotch tape and red hair dye.
1244,- What about Joan Collins?
1245,"- Oh, I don't think I have the strength."
1247,But I have some plaster.
1249,"( ""Luck Be a Lady Tonight"""
1250,by Frank Sinatra)
1252,"Luck, be a lady tonight"
1254,"Luck, be a lady tonight"
1256,"Luck, if you've ever"
1257,been a lady to begin with
1259,"Luck, be a lady tonight"
1261,"Luck, let a gentleman see"
1263,How nice a dame you can be
1265,I know the way you've treated
1266,other guys you've been with
1268,"Luck, be a lady with me"
1270,"Luck, be a lady"
1272,- Are we close?
1273,- Any closer...
1275,..and you'd be Mom.
1277,Tonight!
1279,
1280,That's disgusting!
1282,- The most revolting thing I've ever seen.
1283,- (doorbell)
1285,Awesome.
1287,"What is this? Turn it off, will you?"
1289,Come on. I want you
1290,to meet this lady with me.
1292,"I want you to be polite to her, then..."
1293,tell me what you think.
1295,Everybody stand over here
1296,and help me decide what to do.
1298,"Hello. Mrs Hillard, I presume."
1300,Yes. I'm Miranda Hillard.
1302,Euphegenia Doubtfire.
1304,Yes. Won't you please come in?
1306,"Thank you, dear."
1308,- And these must be the cherubs.
1309,- Yes.
1311,- This is Natalie.
1312,"- Oh, hello, Natalie."
1314,- Are you wearing bug spray?
1315,- Nattie!
1317,"It's quite all right, dear. No offence taken."
1318,I was a little liberal with the atomiser.
1320,"And at my age, it's like a good Stilton."
1321,Everything has its own aroma.
1323,"I admire that honesty, Nattie."
1324,"That's a noble quality. Never lose that,..."
1326,..because it often disappears with age
1327,or entering politics.
1329,Look at that face.
1330,"You remind me of Stuart Little,..."
1332,..one of the most honourable creatures
1333,in all of literature.
1335,"- Do you know that book, 'Stuart Little'?"
1336,- Yeah! It's one of my favourites.
1338,"Mine, too! Maybe I could read it to you -"
1339,if I get the position.
1341,- That would be wonderful.
1342,- And who is this strapping young lad?
1344,- This is Chris.
1345,"- Hello, Christopher."
1347,Hello.
1349,"Jeez, you're big for a lady."
1350,You could play for the 49ers.
1352,"Well, I was a fullback."
1353,"But that's European football, dear."
1355,- Soccer?
1356,"- Yes. You play soccer, too?"
1358,- Yeah!
1359,"- Oh, isn't that amazing?"
1361,"Yes, I was captain of the women's team."
1362,We won three university championships.
1364,"Oh, but that was decades ago!"
1366,But I was more disciplined then. I always
1367,put my studies ahead of my athletics.
1369,I'm sure you're the same
1370,and you've done all your homework already.
1372,"- Well, not exactly."
1373,- Really? Oh. That's a pity.
1375,Young men who don't do their studies
1376,often miss out on more amusing activities.
1378,- And who is this young lady?
1379,- This is Lydia.
1381,"Hello, Lydia."
1383,"This isn't fair, Mom."
1384,Why do we need a housekeeper anyway?
1386,- This is all I need.
1387,- Why can't Dad do it?
1389,"Dear, I don't think it's appropriate to argue"
1390,with your mother in front of a stranger.
1392,I just don't see why
1393,we can't spend the extra time with Dad.
1395,"Maybe she's right, dear. Maybe their father"
1396,would be a more appropriate person.
1398,"No, I don't think so."
1400,"It's not my fault, honey. If he would"
1401,get ajob and a decent apartment...
1403,"- You see, he's the kind..."
1404,"- Excuse me, dear."
1406,I'm sure you'd want the children
1407,to step out of the room...
1409,..before you verbally bash their father. Hm?
1411,"If I did that, I might never see them again."
1413,- I'm sorry. You're right.
1414,- No harm done.
1416,- You're absolutely right.
1417,- I'm not a therapist. I just see what I see.
1419,Why don't you guys go on upstairs?
1420,I'll be up in a minute.
1422,- It's lovely to meet you.
1423,"- Yeah, nice to meet you."
1425,"You too, Lydie."
1427,"- Oh, they're a spirited bunch."
1428,- Yes.
1430,- Especially Lydie. She's got daggers for you.
1431,- I know.
1433,- They're very upset with me right now.
1434,- Probably the divorce.
1436,How did you know?
1438,"You can sense it, dear -"
1439,the way she talks about her father.
1441,"I don't think he's in the Navy, the way she's"
1442,saying she misses him. It's like he's nearby.
1444,- Yes.
1445,"- Oh, that's so sad."
1447,- Would you care to have a cup of tea?
1448,- I'd love that.
1450,- It's right in here.
1451,- What a lovely home you have.
1453,- Did you decorate this yourself?
1454,"- Yes, I did."
1456,"Oh, it reeks of taste! Isn't this lovely, dear!"
1458,- Here's my ré'sumé'.
1459,- Oh. Thank you.
1461,- Let me start this tea.
1462,"- Oh, no, dear. Let me get that for you."
1464,You've had a hard day. You just sit yourself
1465,down on that stool and leave the tea to me.
1467,Thank you. That's very nice of you.
1469,"Oh, not at all, dear."
1471,- Oh. What a wonderful ré'sumé'.
1472,"- Thank you, dear."
1474,"""Expert in first aid and CPR."""
1476,"And Heimlich manoeuvre, dear."
1478,You can never be too prepared
1479,when little ones are around.
1481,They'll swallow anything.
1482,You've got to be ready to pop it out.
1484,"Oh, let's see."
1486,Oh! What a perfectly appointed little cubby!
1488,Look at this. Everything
1489,has its place and name tag.
1491,How precise! It's lovely.
1493,My husband never appreciated it.
1495,Oh. Poor dolt.
1497,That's not the reason
1498,"you divorced him, was it?"
1500,No.
1502,"It's so sad, because marriage"
1503,can be such a blessing.
1505,- So can divorce.
1506,- Oh.
1508,Daniel is a... very difficult man to live with.
1509,But the children are crazy about him.
1511,You don't have to be a psychic to sense that.
1513,"My, you certainly do know your way"
1514,around a kitchen!
1516,Oh! Uh...
1518,It's just because everything is so accessible.
1519,You designed it.
1521,I'm amazed there isn't a little label there
1522,"that says ""spoons""."
1524,You remind me of someone.
1526,Really? Who?
1528,I feel like I've known you for years.
1530,Maybe we knew each other in another life.
1531,
1533,I would love for you
1534,to come and work with us.
1536,- So would l.
1537,- Great!
1539,It would be an honour.
1541,To us.
1543,To us. The start of a business relationship.
1545,
1547,"Good evening, dear."
1549,"Evening, ma'am."
1551,"Cold night, isn't it?"
1553,"Yes, it is."
1555,Hope you have somethin' nice and warm
1556,to go home to.
1558,
1559,My back.
1561,Jesus! If I find the misogynistic bastard
1562,"that invented heels, I'll kill him."
1564,God...!
1566,Excuse me.
1568,Mrs Sellner!
1570,Have we met?
1572,No. But Danny's told me all about you.
1574,I'm his sister.
1576,His... much older sister.
1578,- You have his eyes.
1579,- Only if he fills out a donor card.
1581,
1583,- Is Mr Hillard in? I have an appointment.
1584,"- Do you? Oh, that's wonderful."
1586,Let me go up and get him
1587,and he'll be right down.
1589,- I'll come with you.
1590,- No.
1592,- Yes.
1593,- Why?
1595,Because I have an appointment on Monday
1596,and Friday evenings to check the apartment.
1598,I remember him saying something about that.
1600,"Are you sure, dear?"
1601,"It's three floors, hoofin' it all the way."
1603,"- If you can do it, I can."
1604,- I'll bet so!
1606,- Is your ticker all right?
1607,- Topnotch.
1609,"Oh, good! Cos I don't want"
1610,to jump-start ya. (chuckles)
1612,Damn door.
1614,"Come in, please, dear. Sorry about that."
1616,Here we are. Daniel's abode.
