,tweet,hate_speech_label
94,""" Leafs better win this damn game so I can go riot and shit "" you better start looting my nig",0
95,""" Going back to school sucks more dick than the hoes who attend it.""",0
96,""""" me as a 9 year old",0
97,"""  how come you never bring me food"" i dont have a car retard",0
98,""" If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",0
99,""" How bout them Cowboys"" Shutup pussy",0
100,""""" ;bitch want likes for some depressing shit..foh",0
101,"""  girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz",0
102,""" Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",0
103,""" Harlem shake is just an excuse to go full retard for 30 seconds.""",0
104,"""""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",0
105,""" having one loyal female is wayyyyy better than having hoes , idc """,0
106,"""""""""""

",0
107,""" Check out our 12th man. "" even with all those faggot ny fans in the stands",0
108,""" What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",0
109,"""  im the bitch okay nudes pat "" wow",0
110,"""",1
111,""" The fuck be wrong with these bitches?"" Nobody knows",0
112,"""p"" make me bitch",0
113,""" I hate a ""I'm pregnant"" type of bitch.""",0
114,""" Got bitches in the DM but I don't ever read'em"" which is y your top 3",0
115,""" Baseball season for the win. "" This is where the love started",0
116,""" Little stupid as bitch I don't fuck with yoooooouuuu..""",0
117,""" she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",0
118,""" I'm an early bird and I'm a night owl, so I'm wise and have worms.""",0
119,""" Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",0
120,"""

They *are* fairy tale creatures.",0
121,"""  Aw."" ...fag, don't tweet ""aw"" to me lol",0
122,"""  hahaha",0
123,"""  I didn't say anything tho"" kiss me then faggot",0
124,"""""  yup",0
125,""" I could go for a fat ass bitch on my lap"" same",0
126,""" 17 missed calls ""Das yo P.O bitch twitter finna be screamn ",0
127,""" Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao ",0
128,""""" fuck yeah",0
129,""" These hoes be thinking Meat won't slap they ass "" ainna bruh",0
130,""" Yall bitches wit no edges be doing the most talking """,0
131,""" Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",0
132,""" I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",0
133,""" If she kiss u with her eyes open watch that bitch""lmfao",0
134,""" You a woulda coulda shoulda ass hoe """,0
135,""" Happy Bday Bitch Ass Nigga ""preciate that bitch roll up",0
136,"""   used to send that bitch up""",0
137,""" Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses""",0
138,"""  nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",0
139,""" Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",0
140,""""" I'm doing this idc",0
141,""" I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",0
142,""" Being single isn't an excuse to be a hoe."" ",0
143,""" White boy power bitch"" black power bitch",0
144,""" Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes"" Bro white dudes have no chill.",0
145,"""  bitch where u been"" Around the world and back. Where you been?",0
146,"""  if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off "" *by  *",0
147,"""  is soooo cute. But he probably has hoes on him a lot.""",0
148,""""" lmao damn captain SaveAHoe",0
149,""""" hot sox and legs",0
150,""" I wish I was a bitch like my brother keezy "" ooooow I bet you do",0
151,""" If you dressed up as a cat for Halloween you are basic."" ...or a pussy",0
152,""" Can pornhub just get a gaming stream feature so these dumb bitches can gtfo""  get on it Katie;3",0
153,""" stop being scared to choke her during sex u bitch ass niggas. Shell like it."". Says the guy who hits women out of bed. FOH",0
154,"""  ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",0
155,"""  Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" ",0
156,""" You're not a man if you refer to every girl as a bitch""",0
157,""" Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?? MY NIGGA",0
158,""" Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash?",0
159,"""  io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",0
160,"""  naw it's my old tape. new cover . my upcoming mixtape is "" Yeah I'm waiting on that hoe Mayne",0
161,""" Ol dirty foot ass bitches.."" this was too funny to me.",0
162,"""  that's where I get my yellow flags for being amazing "" HELL YEAH NIGGY",0
163,""" Don't got time for bitches to be actin iffy.""",0
164,"""  come on stay alive knights nation"" This is still the early bird special. ",0
165,"""""

Smfh &amp; wonder why nobody decent wants them",0
166,""" Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE",0
167,""" dry pussy bitches always blame it on the condom""",0
168,""""" ",0
169,""" Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",0
170,""" You love these hoes more then money wats wrong these niggas""",0
171,""" A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",0
172,""" Easy cum, easy hoe"" That's a fact ",0
173,""""" major fucking respect for Charlie Sheen.",0
174,""" Wish I had a bae ""

You got all the hoes tho",0
175,""" Fuck twerking bitch can you cook ?""",0
176,"""",0
177,""" Shut up zoe"" fight me pussy for zoe? I'm good, man."" You are good ma'am. Move along now",0
178,""" Lmao fucking snake bitches"" @ em",0
179,""" Big booty hoes everywhere sheesh "" damn ",0
180,""" Stay tuned to  for an update on the report that  1B  will be out 8-10 weeks""  ",0
181,""" yes lmfao""",0
182,""" Oregon chokes every year get off the field trash ass program"" RFT",0
183,""" Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo",0
184,""""" This is why there's black people and niggers",1
185,"""   How could u do this to me bitch"" potent",0
186,""""" a pissed lad past out. I would lick his dirty soles while he slept.",0
187,""""" love frat boy w/ soft long soles",0
188,""""" sexy lad with hot soles and arches.",0
189,"""  nah fam I gotta cheat with the hoes"" depends on the female i feel",0
190,"""  "" I got hicks lol",0
191,""" This new twitter is confusing the shit out of me."" Go back to south america bitch",0
192,""" Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy",0
193,""" but what if he actually does choose the ugly bitch over you? ""Her ass must be fat",0
194,"""*",0
195,""" I'm tired of bitches saying I look mean.. "" nigga you big af, wear tight shirts, and grim everybody.",0
196,""""" ",0
197,""" ""Stay beautiful you bitch""""",0
198,""" 

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls",0
199,""" Money getting taller and bitches getting blurry""",0
200,""" I ain't never seen a bitch so obsessed with they nigga"" I'm obsessed with mine ",0
201,"""""  I meant to do this one. Smh.",0
202,"""""

Lmfao",1
203,""" People always asking me what I'm mixed with."" She a bad asian bitch lol",0
204,"""  Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",1
205,""" Fosters home for imaginary trash WHOA CHILL""

that show was everything tf",0
206,""" I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe",0
207,"""""",0
208,""" We don't love these hoes """,0
209,""" If yo girl cant have homeboys you a ol weak bitch ass nigga""",0
210,"""  I think worst advice I gave you was "" don't be a pussy and speed up"" lol""",0
211,""" Quote this tweet with your favorite animal.""pussy",0
212,""" I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER""",0
213,""" Poff has double vision after 2 beers
Poff: ... Double pussy "" smh",0
214,""" When bitches TWERK on the computer....

ME: ""In ya , in ya damn """"",0
215,""" nobody takin his bitch",0
216,""" 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now.""",0
217,""" These bitches don't care they just play that role.""",0
218,""" It took a while for you to find me, but I was hiding In the lime tree.""
 dis bitch in da wrong tree bro.",0
219,""""" ....dudes a fag",1
220,"""  inna di ghetto"" You alone lmaoo",0
221,"""   hoes Austin teach us Austin.""I teach u how to get curved? That's all I know",0
222,""" bitches can't cook but know how to suck dick .."" s/o to the ones that can do both",0
223,""" Fat hoes get chose"" lol",0
224,""" "" well they're hoes,no one expects them to be loyal",0
225,"""",0
226,""" Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo",0
227,""" Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you",0
228,""" Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me: *rolls on the floor, laughing*",0
229,""" ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot",0
230,""""" @ somebody, bitch if you don't",0
231,""" If ya bitch always bitching clearly she care"" Or just an annoying Bitch",0
232,""" These catfish hoes thinkin they slick.. But niggas catching on """,0
233,""" Can't worry about a bitch that ain't worried bout me"" ",0
234,""" Side hoes are for insecure niggas that can't handle a real one.""",0
235,""" Lmao This bitch come scooting in the tent like she about to fuck some shit up"" ",0
236,""" My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers """,0
237,""" i'm hungry but ionn wanna spend my money on food""Broke hoe problems ",0
238,""" Dese hoes be LYIN to all of us nigga""",0
239,""""" oh yeah fuck that bitch",0
240,""" Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash",0
241,""""" he's a bitch",0
242,""" Guess what? I also have zero time for your mansplaining Adios"" Stfu pussy",0
243,""""" sexy scally lad",0
244,""" I ain't sharing no bitch if you mines you mines """,0
245,""" money only impress the simple broke bitches""",0
246,"""  will never be anybody's bitch, they don't let people control or change them."" Rigghhht",0
247,"""   tuku ho idk blah blah blah"" ",0
248,"""   I'm not mad cuh hahaha"" suure.. tuku ho ita ",0
249,""" These hoes is crazy""",0
250,"""",0
251,""" Oomf so fuckin fine tho  dam"" @ her, don't be no bitch.",0
252,""" I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags",0
253,""" 
Yeah bitch, yeah bitch, call me _______:
a.) Maybe
b.) Steve-O
c.) Later
d.) Jesse Pinkman""
",0
254,""" Hickies in between her thighs right by her pussy ;;;"" Its only right",0
255,""" Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass.",0
256,"""   y'all come through the front.""bitch I ain't coming",0
257,"""",0
258,"""  yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up ""i work 2-5",0
259,""""" this scally lad would get it",0
260,""""" Halloween was yesterday stupid nigger",1
261,"""",0
262,""" I love eating pussy lol I never get full lol I can eat that shit forever lol"" and ever.",0
263,""" No slushes hoes nasty anyway fam""them hoes taste like meds""",0
264,""" No slushes hoes nasty anyway fam""",0
265,""" BOBBY BITCH-by  be getting me live as fuck"" hell yea i play that hoe before my workout",0
266,"""""",0
267,""" I can ride your bitch with no handle bars""",0
268,""" And if you ain't a hoe get up out my traphoussseeeee""",0
269,"""""ned stark was the man",0
270,""" These harbor bitches are all ""Party Bus hoes"""" Lol all?",0
271,"""  pussy"" love it",0
272,""""" 

bitchy promo",0
273,"""""

LMFAO KITTYCOPTER",0
274,"""""",0
275,""""" "" do I gotta get Ike avi on this bitch ?",0
276,""" Its simple, dont be a hoe=dont worry about being exposed "" fight me""why ?",0
277,"""""

Her size isn't exactly the most healthy tho",0
278,"""  bet not be no bitches ""  Kim bye",0
279,""" Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. Drive these bitches loco",0
280,""" I'm making marack my girlfriend .""  aye b you pullin hoes just like o taught you",0
281,""" Bruno fag boy"" you love me.",0
282,""" I must be a bitch you are  sike naw"" This why we always beefing ",0
283,""" Down 6-1,  look to rally in the bottom of the 9th."" ",0
284,""" Don't take advantage of a nice person@ hoes""@ everyjuan",0
285,""" Happy birthday bitch nigga "" Thanks pal",0
286,""" Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday",0
287,"""  cinco shit harder fucc nigga""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca",0
288,"""  ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs""",0
289,""" I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"" Strong Mush or Shake..",0
290,""" My pussy still fresh"" ;----- something stank girls say.",0
291,""" Ass slapping is one the greatest things. Haha. "" I slapped a girl on the ass. . She got mad I aint get pussy for a week",0
292,"""   yeah Texans are so much better you fucking retard"" I see that you're mad about this.",0
293,""" Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE"" ..looking like black&amp;milds out here",0
294,""" There's a lane some bitches need to stay in "" the left n get right the fuck outta our face ",0
295,""" I hate when boys deny that they have bitches "" smh",0
296,""" Ya nigs out there still saying y'all don't eat butt?"" WITH A STRAIGHT FACE",0
297,""" Im a boss ass bitch"" ...that needs to sit in a corner",0
298,""" He's a hoe , I can't""",0
299,""" Me And Paul Thinkin Bout Gettin Rentals For Da Weekend ""oooh shit bitches betta stay out da streets",0
300,""" bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. """,0
301,""" why do my friends hate me"" because you a ratchet hoe..",0
302,""" No love for these fuck niggas"" hoes*",0
303,""""" sexy as fuck scally lad. I would love to meet him and his trainers.",0
304,""""" perved up scally lad. fuck yeah.",0
305,""" These bitches love Sosa""",0
306,""" I legit watched it for about 30 or 40 seconds SO DID I WTF"" prob cause were retarded smh",0
307,""" What should I name my cat, ideas?"" Mr pussy",0
308,""""" woof woof. Sexy thug boy scally.",0
309,"""  u see the damn phone ringing? "" when you married bitches makes demands You haven't called me",0
310,""" Tevin is my favorite sophomore I think he's so funny"" Hes really not. Lmaoo hes a little hoe",0
311,"""""naw this what u call fucking the soul outta bitch ",0
312,"""  is bored supposed to be cute, you faggot?"" Sometimes",1
313,""" One mans trash  is another mans treasure """,0
314,""" I don't got no type. Bad bitches is the only thing I like"" *Iongotnotype",0
315,"""  lassen cc , the coach wants me"" i feel it youll get more my nig no doubt",1
316,""" god teeth , gold chain
white bitches , cocaine""",0
317,""" Its me hoe, its me hoe"" shhhhh",0
318,""" In D.C., we call them rollers, in Chiraq we call them thots."" All across America they have been known as a hoe.",0
319,""" I'm gonna miss that bitch of a bus driver...""no you won't. Don't lie",0
320,""" hate when bitches try and put you in the friendzone. bitch I'm tryin to score put me in the endzone "" ON. MY. SOUL",0
321,""""" hahaha",0
322,"""  yall both gimped up??"" Ain't tht a bitch huh lol",0
323,""""""" woof woof",0
324,""" oh my god I love Victoria Mitchell"" all my bitches love me",0
325,""" That long distance shit wack I knew the bitch was cheating""- uh oh",0
326,""""" no bitches smh",0
327,""" they BAN dat pussy for life &amp; he gotta pay 2.5 millon dollar fine""",0
328,""" Roses are red and violets are blue and niggers are black, you know that's true."" ",0
329,""" Sitting on my window sill, window open, bird tries to fly in. Smacked it. "" ",0
330,""" But a nigga gon be a nigga, be a nigga."" You sound fuckin retarded",0
331,""""" i am such a crybaby",0
332,""" Hi angelique 
Angelique: Smiles *Dips cracker in soup*",0
333,""" Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville. Smh."" ",0
334,""" Karma is a bitch   ""

*sips tea*",0
335,""""" fuck yeah",0
336,"""""",0
337,""" You can call me Fireman cause I turn the hoes on.""",0
338,""" I could never have a bby by a lil dick Thts y I got a abortion by the last bitch""- oh My God",0
339,""" Watch women try to argue with me like they have a dick and actually fucked some pussy before"" I hate when bitches do that",0
340,""" And smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run if they come"" are you retarded?",0
341,"""""",0
342,"""""

Thotermelon",0
343,"""""",0
344,""" loud bitches annoy me""",0
345,""" Eventually every bitch turns into that hoe."" # Truuu",0
346,""" I swear if oomf try talking to me tomorrow.."" @"" "" pussy",0
347,""" You bitches be pretending to be TF crazy.."" You ain't never lied...",0
348,"""  k bye hoe"" um bye ..",0
349,""" Jackies a retard "" At least I can make a grilled cheese",1
350,""" ima keep on giving these pussy ass niggas ah reason to hate """,0
351,""""" he is in sole heaven",0
352,""""" baddest bitch evaaaa",1
353,""" Side bitch Sunday "" ",0
354,"""""

Lmao ",0
355,""" Fuck wit us and then we tweakin hoe"" shmurda",0
356,"""""
spook",0
357,""" I'll break that lil bitch neck and won't even feel sorry about it"" Savage",0
358,""""" love me some kinky scallies",0
359,""" Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too.",0
360,""" I can turn yo bitch into a eaterrrrrrrrr""",0
361,""" I don't trust dese hoes Nikki told 51st where I stay at all my fans screen shot ASAP"" we finna come to Chiraq and shoot sumn",0
362,""" Aye yall ima tryout for the bowling team frfr tryouts passed tho"" no theres two more retard",0
363,""""" now this is a crazy party I would love to attend.",0
364,""" colored contacts in your eyes?
blinders on mine.
cause i can't see you at all."" Lmao",0
365,""" Only the dudes with hoes say they don't got hoes"" ",0
366,""" I'm rea start smacking bitches period "" Bluffin at its best",0
367,""" Lifes a bitch, and then you die 
Thats why we get high, cause you neva know when you're gonna go"" my sister is perfect (:",0
368,"""",0
369,""" I'm feeling pretty fuckin ghetto"" Smh",0
370,"""  swears I'm  man"" easily"" easily"" behind Austin"" nip?",0
371,""""" what the fuck hahahahah",0
372,"""""  ",0
373,""" All I see is Bruno's bitch ass on my twitter now. wtf"" Bruno's all that she sees (Drake voice)",0
374,"""  I'm about to cool faggot chill"" tf is cool nigga",0
375,"""  I'm so sure bitch"" frfr tf",0
376,""" Twitter is not a source of news broadcast you fucking retards"" it is when nbc, abc, cnn, Fox, etc are all keeping quiet.",0
377,""" Got a couple bitches saying they know me But Ima let the money talk for me "" AND I'M LIKE... ",0
378,""" Grudges are for weirdos""and bitches",0
379,""" I told Mariam to but cigarettes for her birthday""

You also called me trash rn",0
380,"""  brownies tonight"" what kind??",0
381,""" No text back? I don't give a fuck, I'll text another bitch"" damn someone is hurt lol",0
382,""""" you got hoes from left to right  do yah thang",0
383,""" using y=mx+b to find the slope of that ass""",0
384,""""" these scally lads n trainers would get it",0
385,""""" fuck yeah sexy scally lad in hot gear",0
386,""""" I love scally play. Fuck yeah",0
387,""""" fuck yeah. I love scally lad action. Hot trainers too.",0
388,""" Next year bitches is gonna be like you gotta promise you won't expose me """,0
389,""""" fuck yeah. Eat that trainer u dirty fucker",0
390,""" Y'all think celebrity pussy different from the locals?  yeah Meghan goods is""",0
391,""" ""I saw an ajumma walk out in the beginning saying, 'Wow, this is so trash that I can't even listen to it..'"" "" lmaoo",0
392,""""" fuck yeah. I love a kinky scally lad w/ rank sox and sneaks",0
393,""" I don't ever expose females like that.. That's childish.."" bitch nigga shiiii.....",0
394,"""  yasss""

*trys new things with bestfriend*""

*bitch who do you love*",0
395,""""" OMG WHERE DID YOU FIND THAT",0
396,""""" Damn his man pussy is getting a workout.",0
397,""""" sexy scally woof woof",0
398,""" Nothin in life is free.. Some of you bitches need to write that on ya panties""",0
399,"""  if one of you bitches want some of my burrito u can catch me at potosino"" huh? Haha",0
400,""" Niggas whole hoes out here cuz"" Couldn't had said it better..",0
401,""" Hardcore way to eat Mac and cheese
1. Boil water 
2. Snort cheese powder
3. Drink boiling water 
4. Fuck bitches""",0
402,"""  if my fade is perpetually fresher than yours."" That's a real ass bitch rite there",0
403,""""" JUDYANN'S SO PRETTY",0
404,"""""

Lmao bitch got on some huggies",0
405,""" Hi bitch 
No bitch
Bye bitch"" http:",0
406,""" does he look like a bitch?"" ",0
407,""" Chase money  not  hoes  """,0
408,""" can't stand a ""I don't know what I want"" ass nigga "" bitch*",0
409,""""" love a ""hot"" sexy scally fucker.",0
410,""" These newly gay bitches don't kno how shit works""",0
411,""" When a bitch don't want a real job they just become strippers lol"" lol.",0
412,""" Awww Meat Meat In His Feelins""i ainn n my feelings bitch",0
413,""" I Want Snake Bites , MY Industrial Piercin &amp; A Tattoo""Dem hoe accessories dea ",0
414,""""" ",0
415,""" these hoes ain't loyal.""",0
416,""" YASSSSSS, ORDERED CHINESE "" bitch you just ate tacos you fat fuck",0
417,""" I made that bitch lunch. "" Bitches love lunch.",0
418,"""A NO BRAINER""
But as soon as this bitch gets rich in political power, her views will change
POLITICAL WHORES http:",0
419,"""A pussy a day keeps the devil away"" -",0
420,"""Ain't that about a bitch""... What does that mean?",0
421,"""All these bitches want a baby, I don't want no children.""",0
422,"""And bitch you must be lost"" ",0
423,"""Baby I like being on your left side"" no bitch you can't be there Cuz the street on that side and Twitter said I ain't real if you do",0
424,"""Bae"" sounds like such a ghetto word. Use something else",0
425,"""Batter the wee cunt Jewis"" y cos he fucked my ex? Emma isnt battering the girls I've nailed?Ive moved on,stop being a pussy n do it urself.",0
426,"""Bleed out hoe"" -Alexa",0
427,"""Boolin' in the bando wit a few bitches""",0
428,"""Brownies for my brownie"" I love this movie. ",0
429,"""But I need a bad bitch that's hotter than me"" might be the realist shit PartyNextDoor ever said. That's how I be feelin everyday",0
430,"""By the way we do punch bitches.""",0
431,"""Caesar is home""  ""theres so much this bitch looks like. Lets start with ape shit""",0
432,"""Chinese Maverick: We were communicating Comrade , u know giving the imperialist Yanks the Birdie"" https:",0
433,"""Dad say hi to my snapchat"" 
Dad "" duces bitch"" ",0
434,"""Do you believe these hoes are not in fact loyal?"" ""I disagree with that, I do believe they are in fact the loyalest bunch,these hoes""",0
435,"""Don't know no ugly bitches Don't know no broke niggas""--",0
436,"""Don't make me make you fall in live with a nigga like meee..."" The birds 1&amp;2 are my favorite songs by Weeknd",0
437,"""Don't worry about the nigga you see, worry about the nigga you DON'T see... Dat's da nigga fuckin yo bitch.""",1
438,"""Don't you ever give my pussy away. You keep it tight, alright?""",0
439,"""Dropped a stack cause bitch I'm ON"".
- 
Song called ""Dope"".
Download the mixtape here: http:",0
440,"""Dumb bitches do dumb things""",0
441,"""Eat the pussy like a real nigga hungry""",0
442,"""Eff it. Let's go after the cripple."" http:",0
443,"""Everything look better with a bitch next to it""",0
444,"""Facto """,0
445,"""For every bad bitch there is a nigga tired of fucking her""",0
446,"""Foreign chick, no lie.. Man that bitch Beautiful""",0
447,"""Fresh nigga so you kno I need a clean bitch... Who kno I'm working cuz I wanna see my team rich."" http:",0
448,"""Fuck 5/0 I make my own rules. Suck my dragon balls bitch call me goku""",0
449,"""Generate ASCII boxes with NodeJS"" all I see is the ability to bring flappy-bird in node via ASCII tubes and bird ^_^ http:",0
450,"""Get me that shit bitch you is fine bear""",0
451,"""Get your ass back to Detroit ya fuckin' wigger""",0
452,"""Girls that I dated, its okay I ain't mad yo, unless you stabbed me in the heart, no love hoe""",0
453,"""HOW DO YOU KNOW MY TWITTER PASSWORD"" bitch please",0
454,"""Have you seen my shows? Have you seen my hoes? If I wasn't hot would they be so thick?""",0
