,sentence,label
140,"No, this time it's different.",0
141,"When I looked into that little baby's eyes,something changed.",0
142,I want to spend my dayswatching that little boy grow.,0
143,"Theresa does not want your ass sittingat home, getting fat and breaking shit.",0
144,"Mike, we got more timebehind us than in front.",0
145,"It's time to make some changes,for real.",0
146,You can miss me with that.,0
147,I'm living my best life.,0
148,"You're dyeing your goatee, Mike.",0
149,- What?,0
150,- You're dyeing your goatee.,0
151,I am not dyeing my goatee.,0
152,That's Midnight Cocoa Bean.,0
153,I recognize that shit.,0
154,- Go ahead with that shit.,0
155,- That ain't Midnight Cocoa...?,1
156,- Go ahead somewhere.,0
157,- Let me ask you something.,0
158,You want your legacy to bemuscle shirts and a body count?,0
159,Don't you know family isall that matters?,0
160,"Hey, granddaddy!",0
161,- Rita.,0
162,"- Oh, no. Pop-pop.",0
163,He's going with Pop-pop.,0
164,- Pop-pop?,0
165,- Yeah.,0
166,"Got pics, Pop-pop?",0
167,"- Oh, you know I do, right? There you go.",0
168,- Let's see.,0
169,"Oh, my God, the ears!",0
170,"Yeah, my grandbaby.",0
171,That's my grandbaby.,0
172,I love him.,0
173,"Yeah. And congrats to you,lieutenant.",0
174,I hear Howard tapped youto head up AMMO.,0
175,Congrats.,0
176,What's AMMO?,0
177,Advanced Miami Metro Operations.,0
178,A small team trained in new tacticsand investigative methods.,0
179,Gonna replace us old dogs.,0
180,Or teach them some new tricks.,0
181,"For real, Marcus.",0
182,So happy for you.,0
183,Thank you.,0
184,"Hey, guys!",0
185,Hey! Everyone's here.,0
186,How are you?,0
187,Dumbass.,0
188,- What?,0
189,- She is perfect for you.,0
190,Smart as hell.,0
191,Confident. Ambitious.,0
192,She just wasn't the one for me.,0
193,- All right?,0
194,- What is for you?,0
195,Dying all alone and sad as shit?,0
196,You just jealous.,0
197,- How long you been married? Twenty years?,0
198,- Twenty-six.,0
199,Tell the truth.,0
200,When's the last time you had sex?,0
201,- That ain't none of your damn business.,0
202,- Exactly.,0
203,How many great womenare you gonna let go?,0
204,"You get a lot of loving,but have you ever really been in love?",0
205,"Of course. I mean, yeah,",0
206,I was... I was in love.,0
207,One time.,0
208,"A long, long time ago.",0
209,You never told me.,0
210,"Nigga, I don't tell youall my business.",0
211,"Look, all you need to know is that",0
212,I'll be running down criminals till I'm 100.,1
213,You the last brother that needs to be talkingabout running down anyone after the hospital.,0
214,The hospital? What you talking about?,0
215,What happened at the hospital?,0
216,Running to see baby Marcus.,0
217,I dusted your ass.,0
218,"You spent that run staringat my one good ass-cheek, Mike.",0
219,You're saying that you actually outran me?,0
220,You beat me in a footrace?,0
221,It's been said.,0
222,"Oh, hell, no.",0
223,Nothing sadder than old menrevisiting the past.,0
224,"Hey, no stretching.",0
225,Stretching is cheating.,0
226,"Hey, who you got, Cap?",0
227,I got 50 on a torn ACL.,0
228,I ain't running for free.,0
229,What's the bet?,0
230,"I win, we lay it down.",0
231,We turn in our papers and we retire.,0
232,"All right, when I win, you stop all thisfoolish retirement talk.",0
233,We ride this thing tillthe wheels fall off. Bad boys for life.,1
234,Bad boys ain't really boys anymore.,1
235,"Hey, Cap, just have the ambo on standby.",0
236,Old boy gonna need fluids and oxygen.,1
237,"- That's him, Cap. That's him.",0
238,- Okay.,0
239,"On your mark, get set, go!",0
240,"- Go, Marcus! You got this!",0
241,- Where you at?,0
242,"- You got this, baby! Breathe!",0
243,- Where you at?,0
244,"Come on, baby!",0
245,"Breathe, baby, breathe!",0
246,Go!,0
247,"Where you at, baby?!",0
248,Mike!,0
249,"- Mike. Mike! Oh, shit! Get some help!",0
250,- Captain Howard.,0
251,I got an officer down.,0
252,"We're on Ocean Drive, 700 block.",0
253,- Hold on.,0
254,- Gunshot wound.,0
255,"- Oh, shit.",0
256,- What happened?,0
257,- Just get... Get some help!,0
258,- Who did this?!,0
259,- Who the fuck did this?!,0
260,- The shooter's driving a black motorcycle...,1
261,Come on. Don't do this.,0
262,Don't do this.,0
263,"- Mike, stay with us.",0
264,- Come on.,0
265,Get an ambulance!,0
266,"- Come on, Mike. Come on.",0
267,"- Hey, hey, hey.",0
268,Phone... I got him on the phone.,0
269,You gonna be all right. You gonna make it through this.,0
270,"Come on, man. Stay with us, man.",0
271,"Come on, Mike. I'm right here.",0
272,"Dear God...it's me, Marcus.",0
273,You blessed mewith a lot of stuff lately.,0
274,<i>I know I haven't beento church in a while.</i>,0
275,<i>Probably Easter.</i>,0
276,"<i>But I ain't gonna lie,</i>",0
277,<i>I wasn't paying attention.</i>,0
278,I haven't lost faith.,0
279,It's just...,0
280,I was ashamed at some ofthe stuff we had to do.,0
281,"<i>I know ""thou shall not kill,""</i>",0
282,"<i>but they were bad guys,all of them.</i>",0
283,"<i>You know, Mike hardly hada life yet.</i>",0
284,"<i>No wife, no kids.</i>",0
285,"<i>If you could just please findit in your heart</i>to give him one more chance, man.",0
286,"<i>Straight up,he's my best friend.</i>",0
287,<i>My brother.</i>,0
288,"If you just spare him,",0
289,"I swear to you,",0
290,I will put no more violencein this world.,0
291,<i>A drive-by shooting has a famed Miami Dadepolice officer fighting for his life.</i>,0
292,<i>Witnesses report hearing shotsand a blacked-out bike fleeing the scene.</i>,0
293,<i>Detective Mike Lowrey remainsin critical condition.</i>,0
294,Let's run Cap through what we got on the case.,0
295,"Kelly, run us through ballistics.",0
296,So the slugs in Officer Lowreywere SS190.,1
297,"P90 fires that caliber,the Herstal.",1
298,"But these were subsonic 5.7-by-28s,custom rounds.",1
299,I wanna know who made those bullets.,0
300,We are watching 4chan and cross-referencingthe players in the market with the feds' red lines.,0
301,Mike's like a son to me.,0
302,I want this asshole.,1
303,This is personal for me too.,0
304,"- Let's bring every single thing we got, all right?",0
305,- You got it.,0
306,"I made it clear,",0
307,Lowrey dies last.,0
308,I'm the one up here.,0
309,"I've learned how to handle things,all right?",0
310,<i>You've had metraining my whole life.</i>,0
311,The cop was a threat.,0
312,The others are nothing!,1
313,<i>Do you listen to me or not?</i>,0
314,I wanted him to see the others die.,0
315,<i>Just finish it.</i>,0
316,<i>Never disobey me again!</i>,0
317,<i>Retired DA Rodrigo Vargas wasgunned down this afternoon.</i>,0
318,"<i>The DEA is mourning Dr. Jack Weber this evening,a 20-year forensic investigator for the agency in Miami.</i>",0
319,There you are.,0
320,"<i>In yet anotherexecution-style homicide,</i>",0
321,<i>Judge Leon Sorenson was shot outsidehis courthouse late Wednesday.</i>,0
322,<i>The war on law enforcement continues.</i>,0
323,Three other law enforcement personnelhave been killed that could be linked to our case.,0
324,- It's a war on the goddamn law.,0
325,- All the same shooter as Mike.,0
326,- Connected how?,0
327,"- Traffic cams, witnesses, tire treads,all put the same blacked-out bikeat the scene.",1
328,We want to thank you allfor joining us today.,0
329,It means a lot to the family.,0
330,And I now pronounce you man and wife.,0
331,You may kiss the bride.,0
332,I really gotta stop cryinglike this.,0
333,"Hey, you guys are great.",0
334,"Ladies and gentlemen,it's time for our first toast.",0
335,I'm going to bring up,0
336,"Officer Mike Lowrey,affectionately known as Uncle Mike.",0
337,All right. Let's do this.,0
338,"First off, Reggie,",0
339,I am shocked that you are even still here.,0
340,"I remember your first date with Megan,and trust me, me and Marcus did everythingwe could possibly do to make sure you never came back.",0
341,"But I'm telling you,love is hard.",0
342,And your relationshipwill be tested.,0
343,And your father and I have weatheredstorm after storm.,0
344,"And we have a mantra thatwe say to each otherin our darkest days,and it always seemsto bring us back together.",0
345,"And, Reggie, Megan,",0
346,I would like to share it with you.,0
347,"We ride together,",0
348,- we die together.,0
349,- We die together.,0
350,Bad boys for life!,0
351,No.,0
352,"- No, what?",0
353,- You know what.,0
354,"From the minute I heard you were still breathing,",0
355,I've been waiting for the shit to hit the fan.,0
356,"Look at me, Mike. No.",0
357,- You don't even know what I'm gonna say.,0
358,- I know you. I know what you're gonna say.,0
359,AMMO's got this.,1
360,AMMO?,0
361,"Come on, Cap.",0
362,AMMO?,0
363,"With all due respect,",0
364,AMMO is a high school musical...boy band with guns.,1
365,They don't even have shit.,0
366,How do you know what they haveor don't have? They have!,1
367,- What do they have? What?,0
368,- They have.,0
369,"The bullets they carved out of you,they were custom rounds for the P90 Herstal.",0
370,AMMO's gonna find the dealer,1
371,- that supplied your shooter.,0
372,- How?,0
373,"- State-of-the-art police work, that's how.",0
374,"- Cap, look... All right.",0
375,- Sir.,0
376,- Sir?,0
377,You are desperate.,0
378,But I can't.,0
379,"Mike, I can't let youinvestigate your own case.",0
380,- All right. Let me investigate the Vargas case.,0
381,- No.,0
382,The last thing I need is having IAD shovinga Hubble telescope up my assfor a full-on colonoscopy.,1
383,- You know the rules.,0
384,"- Fuck the rules, Cap.",0
385,Come on. Put me and Marcuson this shit.,0
386,Have you talked to your partner?,0
387,You retired?,0
388,"It's my daughter's wedding, Mike.",0
389,Do we have to do this right now?,0
390,Yeah.,0
391,- I told you I was retiring.,0
392,- Wha...? What?,0
393,"Wait, nah, hold up.",0
394,"We raced, you lost.",0
395,Now you reneging? What happenedto bad boys for life?,0
396,"Yeah, for life. It's off.",0
397,You died.,0
398,What? What the hell are youtalking about?,0
399,"You coded out, Mike,three times.",0
400,"Marcus, look,this motherfucker stole somethingfrom me and I need it back.",0
401,"What did he takefrom you, Mike?",0
402,You're still here.,0
403,"All he took from you was the legend,",0
404,"""Bulletproof Mike.""",1
405,But I saw youon the ground bleeding.,0
406,"You're human, just likethe rest of us.",0
407,"Yeah, his ass bleeds too.",0
408,"I'm telling you, Mike.",0
409,"You go out there for vengeance,you gonna get someone killed.",0
410,"Oh, we definitely bringingsome smoke.",1
411,That fool put holes in me!,0
412,"And you're filling themwith hate, Mike.",0
413,"Look, you need to start thinkingabout your karma, man.",0
414,This was a sign.,0
415,"A sign, yeah.",1
416,A sign to turn up.,0
417,So I'm supposed to bow down now?,0
418,Give this bitch a pass?,0
419,"""Turn up""?",0
420,"What are you, 20?",0
421,You need to turn that shit off.,0
422,"You know, Mike...",0
423,Rita called me every day you werein the hospital.,0
424,"There's something still there,a future.",0
425,My future is huntingthis motherfucker.,1
426,"Well, it's not mine.",0
427,All right.,0
428,So let me get this straight.,0
429,So somebody get to dump my ass outin the streetand you ain't gonna do shit?,0
430,You just gonna quit?,0
431,"How dare you, man?",0
432,I sat by your bedside.,0
433,"I wiped the drooloff your chin, Mike.",0
434,- Don't disrespect me like that because you don't know.,0
435,"- All right. All right, man.",0
436,"Look, Marcus,",0
437,I'm asking you.,0
438,"I'm begging you, man.",0
439,I need this.,0
440,Bad boys...one last time.,0
441,"No, Mike.",0
442,No.,0
443,"Everything for you, Papa.",0
444,Mama.,0
445,<i>He didn't die.</i>,0
446,<i>Isn't that what you wanted?</i>,0
447,Santa Muerte wouldn't let him diebefore he suffered as we have.,0
448,<i>Don't kill himuntil I tell you.</i>,0
449,He will suffer.,0
450,A little somethingfor your fans...,0
451,"<i>Video of a shooting ofa Miami detective has surfaced online,</i>",0
452,<i>going viral in a matterof hours.</i>,0
453,<i>The video first appeared on the darknetand soon spread to mainstream social media.</i>,0
454,<i>Authorities believe the shooter uploadedthe video himself.</i>,0
455,Too slow.,0
456,You're slipping.,0
457,Still had the key.,0
458,What's up?,0
459,Howard told me you wanted back in.,0
460,"Obviously, that can't happen.",0
461,Says who?,0
462,"Michael, you got shot.",0
463,"- Yeah, people keep reminding me of that.",0
464,"- Well, why do you think that is?",0
465,"- Oh, you shrinking me now.",0
466,- You always say that when you don't wanna get real.,0
467,"No, I always say thatwhen you start shrinking me.",0
468,"Hey, this is the type of casethat AMMO was built for.",1
469,"- You just have to trust me, that's all.",0
470,"- Oh, come on. What?",0
471,Why you always go there?,0
472,This don't have nothing to dowith me trusting you or not.,0
473,"- Oh, no?",0
474,- No.,0
475,Are you even healed?,0
476,"- Yeah, I'm fine. Yeah.",0
477,- Yeah?,0
478,- You sure you're fine?,0
479,"- Oh, shit. Rita.",0
480,- You sure you're fine?,0
481,- Rita. Stop.,0
482,- Hey. This is me you're trying to bullshit.,0
483,- Rita...,0
484,"If you get involved, you're gonnamake mistakes you can't take back.",0
485,What does that mean?,0
486,Where'd you get that?,0
487,Until you burn?,0
488,Until you die?,0
489,You know me well enoughto know not to ask me to quit.,0
490,"It's because I know you,",0
491,I'm asking.,0
492,Because I care about you.,0
493,As a friend.,0
494,Let us handle this.,0
495,"Shit. Alexa, turn downthe volume.",0
496,Marcus! You need to get outof the house!,0
497,"Sorry, baby.",0
498,So sorry.,0
499,How about a spa day?,0
500,- Is that Manny's car?,0
501,- Yeah.,0
502,- Where's Manny?,0
503,- In the back.,0
504,"Oh, shit. Mike Lowrey.",0
505,"What are you doing here, man?",0
506,"You look like a ghost, man.",0
507,"You know they say you're dead, fuckboy.",0
508,I got to show you something.,0
509,The streets is talking.,0
510,That cop shit ain't working for you.,0
511,Come work for meat Manny's Prime Rib.,1
512,"See, look,you get dropped right here.",0
513,And guess what.,0
514,You're trending worldwide.,0
515,"My fucking hand, man!",0
516,"Yo, this ain'tno fucking cop shit, man!",0
517,What happened about reading my rights?,0
518,This is not how it's supposed to go.,0
519,"You're supposed to ask me questions,and then I tell you, ""Go fuck yourself!""",0
520,"What the fuck, man?",0
521,Fuck!,0
522,"- My fucking hand, man.",0
523,"- P90 Herstals, custom, who's making them?",0
524,"Mike, I'm notin the game no more.",0
525,"Oh, nah?",0
526,Okay. My bad.,0
527,"- Mike, Mike, fucking chill, man.",0
528,"- So all these vegans in Miami,and you want me to believe that that hot rodyou got outside comes from selling pork chops?",1
529,"I work at Manny's. I'm a family man,and I'm a hardworking man.",0
530,I got you...,0
531,"Oh, shit. Oh, man.",0
532,- Did you just get pig fat on my suit?,0
533,"- Oh, shit.",0
534,"Sorry, Mike.",0
535,Sorry.,0
536,No! Booker Grassie!,0
537,That's the name! Booker Grassie!,0
538,"That's the name, man!",0
539,"Yo, Mike! Mike! Yo, Mike!",0
540,"The handcuffs, man!",0
541,Booker Grassie.,0
542,Only arms dealer in Miami customizingfor the P90 Herstal.,1
543,What'd I tell you?,0
544,I know. I'm not supposed to investigatemy own case. I know the rules.,0
545,But this fool posted a videoof him trying to kill me.,0
546,I saw it.,0
547,"- I can go after him vigilante style, or you can bring me in.",0
548,- Or I could shoot you myself.,0
549,Fuck me!,0
550,"Fuck, fuck, fuck!",0
551,If...,0
552,"I bring you in, to consult,and you go cowboy on me,",0
553,I need you to comprehendthe level-five shitstorm I will be drowning in.,0
554,No gold-plated watch.,0
555,No cop retirement village.,0
556,I'm sticking myself out on a skinny limb!,0
557,Scratch that.,0
558,A twig in an ice storm!,0
559,"Me, on the edge, ""tithering.""",0
560,"You mean, teetering?",0
561,That's what I said!,0
562,And picture me very fat!,0
563,"- Think I got the image, Cap.",0
564,<i>- What is he doing here?</i>,0
565,He's gonna be helping out.,0
566,- I don't want him.,0
567,- I'm not working with her.,0
568,He's not. You're not.,0
569,He's consulting. It's your show.,0
570,"- Captain, come on.",0
571,- Wait.,0
572,"I know you guys got history together,so let's not make it personal.",0
573,- Personal? I'm the only one being a professional here.,0
574,- This is not détente. I'm informing you of my decision.,0
575,- This is a bad idea.,0
576,"- He's gonna investigate this case, no matter what!",0
577,"So this way, we keep himon a short leash, we control him.",0
578,"I'm standing right here, Cap.",0
579,Mike will consult.,0
580,He'll observe.,0
581,That's it.,0
582,"Now, what do you got?",0
583,"Picked up chatter. The dealer we think customedthose Herstal rounds, he's making another sale.",0
584,Booker Grassie.,0
585,Did you share any otherconfidential information?,0
586,What? Not me.,0
587,He's the one that told me.,0
588,Guess my old tricks still worka little bit.,0
589,You're a distraction.,0
590,You see that?,0
591,"That's what I like, teamwork.",0
592,Already a beautiful relationship.,0
593,"<i>- The video, presumed to be posted by the shooter...</i>",0
594,- Guys.,0
595,This is Detective Michael Lowrey.,0
596,He'll be joining us as an adviser only.,0
597,<i>Police have no suspects.</i>,0
598,<i>And the shooter isstill at lar...</i>,1
599,Nice to meet you all as well.,0
600,- Thrilled to see you've had a...,0
601,- Sweet.,0
602,- I am much better now. Thank you.,0
603,- I am so sorry about that.,0
604,"You look good, Michael.",0
605,"Look, she calls me by my whole government name,but everybody... You can just do Mike.",0
606,"- For sure, Mike.",0
607,"- Got it, Mike.",0
608,"Yeah, sure thing, Michael.",0
609,"Oh, so you're that guy.",0
610,"- Hey, there's always one.",0
611,- Yeah. Right up till there's not.,1
612,- What's that supposed to mean?,0
613,"- It's Mike Lowrey, okay?",0
614,- Be cool. For once.,0
615,- Let's load up!,0
616,Think I might be able to hang outwith you guys after all.,0
617,"Nah, nah, that ain't the one.",0
618,We're taking The Crawdaddy.,0
619,Wait until you see the inside.,0
620,"- You need any help, Gramps?",0
621,"- Go ahead somewhere, boy.",0
622,Look at you tryingto be all cool and shit.,0
623,"Okay, everybody is way too serious.",0
624,Raids are supposed to be fun.,0
625,They're like field trips with guns.,0
626,This is not a raid.,0
627,It's surveillance.,0
628,Surveillance? Right.,0
629,Meaning we're just gonna watch the crime.,0
630,We'll record him in the dealand bring him in facing serious time.,0
631,Then we'll get him to talk and he's gonnatell us everything that we need to know.,0
632,"Or since he's gonna be thereand we're gonna be there,",1
633,"I mean, we could just grab him.",0
634,Thank you for your input.,0
635,Okay.,0
636,Listen up. Booker Grassie is the guythat sold the bullets we took out of Michael.,0
637,"Hey, look, you think you could stopcalling me Michael in front of everybody?",0
638,It's your name.,0
639,Okay.,0
640,<i>Relax and clear your mind.</i>,0
641,<i>Use God's inspiration to bringpeople peace and tranquility</i>,0
642,<i>by penetrating their soulswith your heart.</i>,0
643,We're here.,0
644,"Excuse me, Mr. Lowrey.",0
645,"- Just need to get past you, please. Thanks.",0
646,"- Sure thing, buddy.",0
647,"You're the tech, huh?",0
648,They just leave you in the van?,0
649,"Yeah, I'm more comfortablein here.",0
650,Got it.,0
651,Sending in Big Barry.,0
652,You're not Big Barry?,0
653,He's our surveillance drone.,0
654,So you send the drone in.,0
655,Let's fly.,0
656,I guess Barry getsto have all the fun.,0
657,There. Black pickup truck.,1
658,That's our H-77 Boyz.,1
659,Who are they?,0
660,These guys are definitelyfrom out of town. Trying to step up.,0
661,"I need wide angle, whole deal.",0
662,Zoom in.,0
663,Booker's hooking them upwith a crate of 5.7-by-28s.,0
664,- That's Booker Grassie.,0
665,- There's our deal.,0
666,Audio.,0
667,<i>Here it is.</i>,0
668,These will put a hole through anyoneand anything you point your gun at.,0
669,<i>I guarantee my product.</i>,0
670,"- He's right there, Rita. We can grab him.",0
671,- No.,0
672,I'm not risking the collateral damage.,0
673,- Let's move.,0
674,- Let's wait.,0
675,- You're the boss.,0
676,"- Yeah, I know.",0
677,- That's what I just said. Okay.,0
678,"- Yeah, I just confirmed it.",0
679,"You two used to date, right?",0
680,- Sort of.,0
681,- Not really.,0
682,<i>Need to see the cash.</i>,0
683,<i>- See the cash.</i>,0
684,- Wait.,0
685,- Back. Go back. Right there. That guy.,0
686,- What?,0
687,<i>- I need to see it.</i>,0
688,- The bag is empty.,0
689,- There's no money in the bag. It's a rip.,0
690,"<i>- If you see mine, I need to see yours.</i>",0
691,- They're gonna kill... It's a rip.,1
692,- Michael.,0
693,- We need Booker alive!,0
694,"- Michael, get back here!",0
695,"Shit. Kelly, go. Go!",0
696,Get me body cams.,0
697,"<i>Michael, do not engage until we havethe rest of the team in position.</i>",0
698,"Can we count the cash,or what?",0
699,This is a nice song.,0
700,Put it louder.,0
701,Now!,0
702,Move!,0
703,Put it down! Put it down!,0
704,Can you hear me?,0
705,I'm gonna need you to lay medown some cover. We're coming to you.,0
706,"All right. You wanna live, you stay with me.",0
707,Fuck with me and I'm gonna kill you.,0
708,Coming at you on three.,0
709,Bring the truck! Grab the merch!,1
710,"One, two, three.",1
711,Shit.,0
712,Shit.,0
713,Shit. Hey. Hey. Booker.,0
714,"Booker, look at me.",0
715,Hey. Hey. Don't die.,0
716,"P90 Herstals. P90 Herstals,who's the buyer?",0
717,"Oh, shit.",0
718,"- Hey, hey. Booker. Booker.",0
719,- Michael?,0
720,"Hey, get an ambulance in here now.",0
721,Get the paramedics.,0
722,- Booker. Booker.,0
723,- Michael.,0
724,- Don't worry about clearance. Bring them in.,0
725,- Calm down.,0
726,"- Hey, just do what I ask you for once, please!",0
727,- He's dead!,0
728,Is that Diego or his twin?,0
729,"Yeah, yeah, his twin.",0
730,"Carmelita, no, no, no.",0
731,- Who this?,0
732,"<i>- Yo, Marcus. It's Carver Remy.</i>",0
733,"Look here, I'm busy, all right?",0
734,"Don't waste my time, Carver. Leave me alone.",0
735,"<i>Come on, man.",0
736,It's important.</i>,0
737,Keep an eye on my baby.,0
738,<i>- Marcus.</i>,0
739,- I'm retired.,0
740,Only rats I talk to arein my basement.,1
741,- Carmelita shot the wrong twin!,0
742,"- Oh, shit.",0
743,"The guy who shot Mike,he's trying to kill me.",0
744,- What?,0
745,<i>- I'm serious.</i>,0
746,<i>A guy on a black bike's been tracking me.,0
747,The one on the news. It's him.</i>,0
748,- Bullshit.,0
749,"<i>- Marcus, would I lie to you?</i>",0
750,- Yes. That's why we stopped using your ass as a CI.,0
751,"- I'm telling you, it's him.",0
752,- What do you want from me?,0
753,<i>- Protective custody. To not die.</i>,0
754,"<i>Please, man. Use me as bait,whatever.</i>",0
755,You want this guy?,0
756,He's coming for me.,0
757,- You talk to Mike?,0
758,<i>- I called you. Nineteenth and Miami.</i>,0
759,<i>Third floor.,0
760,I'll be waiting.</i>,0
761,"What did I say? No, no.",0
762,What did I say?,0
763,I said consult.,1
764,I said observe. I...,0
765,Look at this mess. It's carnage!,0
766,"I didn't do all this shit, Cap.",0
767,They did this to each other.,0
768,"Wait, wait, wait.",0
769,You didn't shoot anybody?,0
770,"- You know I shot some people, but...",0
771,- Yeah.,0
772,"- Look, they had already started.",0
773,"- What...? Jesus. Mike, you promised.",0
774,"- No, no, I didn't promise.",0
775,- You promised.,0
776,"- I said I could picture you on a limb, fat as hell...",1
777,- Yeah?,0
778,- ...with sharks and some shit.,0
779,- Right. That's a promise.,0
780,- You were here to watch.,0
781,"- What? Yeah, and I saw.",0
782,"All right, Cap, look.",0
783,"The bag is empty, all right? No cash.",0
784,The guy reached up and scratched his nose.,0
785,I saw it had no weight to it.,0
786,"- That's very impressive, sir.",0
787,"- Yeah. See, I like that one.",0
788,"If I hadn't come in,",0
789,Grassie was a dead man for sure.,0
790,That's a relief because your guy'sin a body bag and he sure looks dead.,0
791,- Cap.,0
792,"- Good job, Mikey.",0
793,"Hey, look.",0
794,"Young boy, seriously.",1
795,"Let me tell you something. You need to stayin a child's place, all right?",0
796,"Spare me the street knowledge, grandpa.",0
797,Nobody asked you.,0
798,"Look, just because I fucked your motherdon't make me your grandpa, all right?",0
799,"- That's enough. That's enough. Stop, all right?",0
800,- You got me fucked up.,0
801,- Old ass.,1
802,- Stand down! Let's go.,0
803,- You better go on.,0
804,- Let's go.,0
805,- I will knock your ass clean the fuck out.,0
806,- Knock me out. Hit me.,0
807,"What am I, a nursery school teacher? Come on, let's go!",0
808,- Shit. I got time today.,0
809,- Cool down. Cool down. Keep walking.,0
810,"- Excuse me, sir.",0
811,"- Go ahead, man.",0
812,- Do you guys want a...?,0
813,"- No, go. Just go ahead somewhere.",0
814,What?,0
815,"What, quitter?",0
816,This is some sad shit.,0
817,- Where the hell is your ride?,0
818,- Girls took it to the spa.,0
819,You all right?,0
820,I'm fine. You all right?,0
821,Never felt better.,0
