,sentence,label
266,Tarzan. I'm gonna be honest.,0
267,"When I was a boy, I used to go to the Saturday matinees and watch Tarzan all the time.",0
268, Okay.,0
269," Yeah, yeah.",0
270,And white Tarzan used to beat up the black natives.,0
271,"And I would sit there, yelling, ""Kill the beasts!",1
272,"""Kill the savages.",1
273,"""Kill them.",1
274,"""Kill them! Kill them!",1
275,"Kill them!"" But what I was saying was, ""Kill me."" That's right.",1
276,It was as if a young Jewish boy saw Nazis taking Jews off to concentration camps and cheered them on.,0
277,"Today, I want those chiefs to beat the hell out of Tarzan and send his lily-white ass on back to the caves of Europe.",0
278,Boom-shaka-laka!,0
279, Right on.,0
280,Right on.,0
281,But it takes time.,0
282,It takes time to become free of the lies and their shaming effects on the black mind.,0
283, Okay.,0
284," It takes time to reject the most important lie, that black people can't do the same things  that white people do.",0
285, That's a lie.,0
286,.unless a white person helps them.,0
287,Talk about it.,0
288,Black Power also means that we must unite.,0
289,"We must unite, and we must organize to form a base to fight racism.",0
290, Okay!,0
291, Yes. Yes.,0
292,To fight our oppressors.,0
293,"The vast majority of Negroes around this country, they live in captive communities.",1
294,"And they must endure their oppression and their conditions, because and only because  they are black and powerless.",0
295, Educate. Educate.,0
296,And now.,0
297,Now we are being shot down like dogs in the streets by white racist cops.,1
298,Speak the truth.,0
299,I said we are being shot down in the streets by white racist cops!,1
300,Fuck the police.,0
301,We can no longer endure this kind of oppression without retribution.,0
302,Hell no!,0
303,No more.,0
304,"That war in Vietnam, it is not only illegal, it is immoral.",0
305, That's right.,0
306, Talk about it.,0
307,And you know what I tell them?,0
308,"Hell no, we won't go!",0
309,"Hell no, we won't go!",0
310,"Hell no, we won't go!",0
311,We ain't going!,0
312,I'd rather see a brother kill a white racist cop than kill a Vietnamese.,1
313,"Me, too.",0
314,"Because at least, if he kills a racist cop he is doing it for a reason, because they are shooting black people.",1
315, That's right.,0
316," .in the backs, in these streets, right here in this very country.",0
317, They're killing us like dogs!,1
318, Boom-shaka-laka!,0
319,Right here!,0
320,Right here!,0
321,"I just want to leave you, uh, in closing 'cause I know it's getting late and y'all gotta go party.",0
322,"I'm sorry, study.",0
323,We love you!,0
324,"I just want to leave you, sisters and brothers, with these last words.",0
325,"If I am not for myself, who will be?",0
326,"If I am for myself alone, who am I?",0
327, Right.,0
328," Hear, hear.",0
329," If not now, when?",0
330, When?,0
331,"And if not you, who?",0
332,Who? Who?,0
333,Who? Who?,0
334,"We need an undying love for black people, wherever we may be.",0
335,All power to all the people.,0
336,All power to all the people!,0
337,All power to all the people!,0
338,All power to all the people!,0
339,"""All power to all the people."" Pretty powerful stuff.",0
340,"Incredible words, Brother Kwame.",0
341, Thank you so much.,0
342, Thank you.,0
343,"Thank you, brother.",0
344,Appreciate it.,0
345,Brother.,0
346,I gotta ask you something.,0
347,Do you really think war between the black race and the white race is inevitable?,0
348,Let me tell you.,0
349,"Arm yourself, brother.",0
350,"Get ready, 'cause the revolution is coming.",0
351,"Pick up a gun and arm yourself, because trust me, it's coming.",0
352, Thank you for coming tonight.,0
353, God bless you.,0
354,You looked great on that stage tonight.,0
355," Thank you, my brother.",0
356, All right.,0
357,"I don't know what you have planned now, but maybe I can buy you a drink?",0
358,"Uh. I, uh.",0
359,I gotta make sure Brother Kwame is all squared away.,0
360, What?,0
361, .and he gets to his hotel safely.,0
362,I can dig it.,0
363,"But, you know, um, if it's not too late, maybe I can meet you at the Red Lantern?",0
364,You know where that is?,0
365,Mmm-hmm.,0
366,So I'll see you then.,0
367,Damn right. Yes. Cool.,0
368,All power to all the people.,0
369,Hey. How you doing?,0
370, Sorry I'm late.,0
371, Hey.,0
372,You won't believe what happened.,0
373,What are you having?,0
374,"Bro Pope, 7 and 7, please.",0
375,Pigs pulled us over.,0
376,Say what?,0
377,I don't want to see nothing but black asses and black elbows.,0
378,Spread 'em!,1
379,"You that so-called big-shot Panther nigger, aren't you?",0
380,"I heard you was in town, Stokely.",0
381,My name is Kwame Ture.,0
382,I don't give two shits what your nigger name is!,1
383,"Black bitch, you get this Black Panther out of Colorado Springs before sunrise, you hear me?",0
384, Or you'll all go to jail.,0
385, We were born in jail.,0
386,Ooh.,0
387,Don't touch me!,0
388, Don't touch her!,0
389, Get your fucking hands off of me!,0
390, Get your hands off of her!,0
391, Get your white hands off!,1
392,Keep your hands off of her!,0
393,"Come on, get your hands off of her!",0
394,Get off of me!,0
395,Get off of me!,0
396, Wait!,0
397," Let her go, man!",0
398,You see the officers' names?,0
399,"I know I should have, but.",0
400,"The whole thing was so frightening, I didn't.",0
401,Come on.,0
402, Let's dance. Follow me.,0
403, Mmm.,0
404,"Come on. Come on, come on, come on.",0
405,What?,0
406,No.,0
407," Come on, you know it, you know it.",0
408, Uh-huh.,0
409,What was the room like?,0
410,Folks were hanging on every word.,0
411,Like a Baptist church on Christmas Sunday morning.,0
412, Huh.,0
413, Mmm-hmm.,0
414,Sounds like he had them pretty riled up.,0
415,"But I don't think that means black folks were ready to start the revolution, Chief.",0
416,What makes you say that?,0
417,Nobody in there was talking about that.,0
418,That wasn't the vibe.,0
419,Everybody was cool.,0
420,Let me get this straight.,0
421,He told a room of black folk to get ready for a race war.,1
422,That they were going to have to arm themselves and kill cops.,0
423,"I mean, what about that?",0
424,"Yeah, he said that, but, Chief, I think it was just talk, you know?",0
425,Rhetoric.,0
426,"That's what I thought, too.",0
427, Jimmy?,0
428, Like my partner said.,0
429,"All right, well, thank goodness Carmichael has left Colorado Springs.",0
430, Kwame Ture.,0
431, What?,0
432,He changed his name from Stokely Carmichael to Kwame Ture.,0
433,"I don't care if he changed his name to that draft dodger, Muhammad Ali.",0
434,All right? He's still dangerous.,0
435, Did you hear the story Patrice told me?,0
436," No, I didn't.",0
437,About how the CSPD pulled over her and Ture?,0
438,"Patrice, she's the one from the Black Student Union, the group that brought in Ture?",0
439,"Kwame Ture. Correct, sir.",0
440,"Getting pretty chummy with her, huh?",0
441,"No, just doing my job, Chief. Undercover.",0
442,Let's just make sure it ain't under the cover of the sheets.,0
443,"I would never jeopardize a case, sir.",0
444,He doesn't know what he'd do.,0
445,You're new.,0
446,You guys sit tight.,0
447,"Ron, come with me.",0
448,"Ron, I'm transferring you to Intelligence.",0
449,What will I be doing there?,0
450,Intelligence.,0
451,Against my better judgment.,0
452,"Five, four, three, two, one.",0
453,Swish!,0
454,Police department.,0
455,He is at lunch.,0
456,"Excuse me? Yes, yes.",0
457,You have reached the Colorado Springs chapter of the Ku Klux Klan.,1
458,Please leave a message.,0
459,And God bless white America.,0
460,Hello. This is Ron Stallworth calling.,0
461,I saw your advertisement in the Colorado Springs Gazette.,0
462,I'm interested in receiving some reading materials from you.,0
463,My phone number is 103-9994.,0
464,I'm very much looking forward to you returning my call.,0
465," Yeah, who's this?",0
466, Ron Stallworth here.,0
467,This is Walter returning your call.,0
468,From the Organization.,0
469,The Organization?,0
470,That's right.,0
471,We appreciate your interest.,0
472,What's your story?,0
473,"Well, since you asked.",0
474,"Since you asked, I hate niggers.",1
475, I hate Jews.,1
476, Huh?,0
477,Spics and Micks.,0
478,Dagos and Chinks.,1
479,"But my mouth to God's ears, I really hate those nigger rats.",1
480,"And anyone else, really, that doesn't have pure white Aryan blood running through their veins.",1
481,"My sister, Pamela, she was just recently accosted by one of those black coons.",1
482,Is that so?,0
483,Yeah.,0
484,Every time I think about that black baboon putting his filthy black hands on her pure-as-white-driven-snow body.,1
485,"I mean pure, Walter.",0
486,She's a saint. She's an angel.,0
487,It makes me want to puke.,0
488,You are just the kind of guy that we are looking for.,0
489,"Listen, uh, when can you meet?",0
490,How about Friday night after I get off work?,0
491,"That's a deal, buddy boy.",0
492,We'll get right back to you with the details.,0
493,"Take care, now.",0
494,God bless white America.,0
495,Did I just hear you use your real name?,0
496,"Oh, motherfucker.",0
497,"Yeah, motherfucker amateur hour.",0
498,"That's your real name, right? Isn't.",0
499,Isn't it Ron Stallworth?,0
500,"Right, isn't that his real name?",0
501,Can't believe he just said that.,0
502,"Well, good luck, Ron, with your new redneck friends.",0
503,They want you to join the Klan?,0
504,They want to meet me first.,0
505, They want to meet you?,0
506, Mmm-hmm.,0
507,"Yeah, well, you probably shouldn't go to that meeting.",0
508,"Good call, Sarge.",0
509,"So you're a crazy son of a bitch, huh?",0
510,"We'd have to go to Narcotics, meaning we'd have to deal with Chief Bridges.",0
511,"Yeah, I can't spare the men.",0
512,"Well, I've looked over the logs, Chief, and it seems you can spare them.",0
513,"Sergeant Trapp, Ron spoke to the man on the phone.",0
514,"All right, when they hear the voice of one of my guys, they're gonna know the difference.",0
515,"How so, Chief?",0
516,You want me to spell it out for you?,0
517,They're going to know the difference between how a white man talks and a Negro.,0
518,How exactly does a black man talk?,0
519,"Okay, Ron, what I think the Chief is trying to say.",0
520,"If you don't mind, I'd like to speak for myself.",0
521," Thank you, Sarge.",0
522, Sure.,0
523,You know what I'm trying to say.,0
524,"Chief, some of us can speak King's English.",0
525,Others speak jive.,0
526,Ron Stallworth here happens to be fluent in both.,0
527,"Okay, Ron, how do you propose to make this investigation?",0
528,"Well, I've established contact and created some familiarity with the Klansman over the phone.",0
529,"I'll continue in that role, but I'll need another officer, surprise, surprise, a white officer, to play me when they meet face-to-face.",0
530,"See, that's my point exactly.",0
531,"Chief, black Ron Stallworth over the phone, white Ron Stallworth face-to-face, so there becomes a combined Ron Stallworth.",0
532, Can you do that?,0
533, I believe we can.,0
534,"With the right white man, we can do anything.",0
535,"Anything happens to one of my men, there won't be two Ron Stallworths.",0
536,There'll be none.,0
537,You're late.,0
538,Sorry. It'll never happen again.,0
539,Seems like I heard that one before.,0
540,"Jimmy, when's the last time they let a rookie lead an investigation?",0
541,"Oh, that's right. Never.",0
542,"Okay, all right, let's move on.",0
543,"Let's, uh.",0
544,Let's go to our bio.,0
545,Okay. Ron Stallworth.,0
546,I do wholesale manufacturing.,0
547, Whereabout?,0
548, Pueblo.,0
549, What's that commute like?,0
550," Jimmy, I'm glad you asked.",0
551,It's a straight shot down I-25.,0
552," Hour, tops.",0
553, It's a long ride.,0
554,What do we listen to?,0
555,"KWYD, Christian talk in the morning, although the signal starts to cut out near Pueblo.",0
556,"On the way back, I like to turn it to 102.7 to get my Allman Brothers fix.",0
557,"Only I have to change it every time that British fag, David Bowie, pipes on.",0
558,Whoa! I love Bowie.,0
559,"I mean, who doesn't, right?",0
560,"Remember, you have to retain all the information you share with these guys so I can be white Ron Stallworth.",0
561,"Jimmy, I always wanted to be black.",0
562,All my heroes were black guys.,0
563,Willie Mays.,0
564, Basket catch.,0
565, Wilt the Stilt.,0
566,Record 100 points in one game.,0
567,But you know my absolute favorite?,0
568,O.J.,1
569,Heisman pose!,0
570, The Juice!,0
571, I love fucking O.J.,0
572,Orenthal James Simpson.,0
573, Bet you didn't know that.,0
574, Of course I did.,0
575,"We as a Negro people appreciate your love, but don't share that love with these guys.",0
576,"For you, it's the fucking Osmonds, right?",0
577,"Hey, I love Marie Osmond.",0
578,"I get to play you, but you don't get to play me?",0
579," Jimmy, does that sound fair?",0
580, Fair?,0
581, Not to me.,0
582," Now, what else?",0
583, Who are you meeting with?,0
584, Walter Breachway.,0
585,Become his friend.,0
586,Let's get invited back.,0
587,"Well, look at you.",0
588,"Okay. Anything else, sir?",0
589,I'm on the phone with the Klan.,0
590,You meet with them in person.,0
591,And?,0
592,And you need to try and sound like my voice.,0
593,"Oh, boy.",0
594,All right. Here.,0
595," Me, too?",0
596," Yeah. You, too, Jimmy.",0
597, Godfather.,0
598, That's right.,0
599,"You wanted to be black, here's your chance.",1
600,Lookie here.,0
601,Some people say we've got a lot of malice.,0
602,Some say it's a lot of nerve.,0
603,Lookie here.,0
604,Some people say we got a lot of malice.,0
605, Some.,0
606," Come on, come on.",0
607,This is life and death here.,0
608,Come on.,0
609," Oh, is it?",0
610, Come on.,0
611,Some say it's a lot of nerve. Nerve!,0
612, You want me to do this now?,0
613," Please, now.",0
614,"For all our sakes, do it now, please.",0
615,Some say it's a lot of nerve.,0
616,"Let it flow, though.",0
617,Let it flow.,0
618, I'm flowing.,0
619, Okay.,0
620,I say we won't quit moving till we get what we deserve.,0
621,I say we won't quit moving until we get what we deserve.,0
622,"We've been buked, and we've been scorned.",0
623, We've been buke.,0
624," ""Buked."" Say that.",0
625," What does ""buked"" mean?",0
626, Disrespected.,0
627,"You've been disrespected, Flip.",0
628, You.,0
629, Why doesn't he just say that?,0
630,"We've been buked, and we've been scorned.",0
631,"This has got to flow, from the.",0
632,"We've been treated bad, talked about.",0
633,We've been buked.,0
634,We've been scorned.,0
635," All right, get that shit out.",0
636," We've been treated bad, talked about.",0
637,"Just as sure as you're born, but just as sure as it take.",0
638,Two eyes to make a pair. Huh!,0
639, Two eyes to make a pair.,0
640, Huh!,0
641,Hah!,0
642, Hah!,0
643, Hah!,0
644, Hah!,0
645, Huh!,0
646, Hah!,0
647," Brother, we can't quit till we get our share.",0
648,"Brother, we can't quit till we get our share.",0
649,"Doesn't make grammatical sense, but okay.",0
650,"Say it loud. I'm black, and I'm proud.",0
651,"Say it for O.J., Jimmy.",0
652,"You, too.",0
653,Say it loud.,0
654,"I'm black, and I'm proud.",0
655,Say it loud.,0
656,"I'm black, and I'm proud.",0
657,That's right. There it is.,0
658,I believed you.,0
659,Lose that Jewish necklace around your neck.,0
660,"Jimmy, it's not a Jewish necklace.",0
661,It's a Star of David.,0
662,Okay.,0
663,"Flip, you're Jewish?",0
664,I don't know. Am I?,0
665,Ron Stallworth?,0
666,That's me.,0
667, You must be Walter.,0
668, Name's Felix.,0
669,"Well, I was told I'd be meeting a Walter Breachway.",0
670,"Change of plans, Mac.",0
671,I'm gonna need you to hop in the truck.,0
672,"Okay, well, how about I just follow you in my.",0
673,No can do.,0
674,You come with me.,0
675,Security.,0
676,I'll drive you back.,0
677,"Come on, let's roll.",0
678,"You for the white race, Ron?",0
679,"Oh, hell yeah.",0
680,Been having trouble lately with these local niggers.,1
681,"Ugh. Since the Civil War, it's always trouble with niggers.",0
682,Uh-huh.,0
683,Walter said something about your sister.,0
684,Makes me sick.,1
685,What are they saying?,0
686,They saying where they're going?,0
687,"But it's also, you know, camaraderie, I'm looking for with the Klan.",0
688,What the fuck did you say?,0
689, Camaraderie?,0
690," No, the other word.",0
691, The Klan?,0
692," Not ""the Klan."" It's ""the Organization."" The Invisible Empire has managed to stay invisible for a reason.",0
693,Do not ever use that word.,0
694,You understand?,0
695,"Hey, I over-stand.",0
696,Right. You got it.,0
697,The Organization.,0
698,Check this shit out.,0
699,You're never gonna believe this.,0
700,What?,0
701,A fucking jig on our bumper.,0
702," Ron, he sees us. Back off.",0
703, Damn!,0
704,Let's get ready.,0
705,Look under your seat.,0
706, Yeah.,0
707, What?,0
708,Pull it out.,0
709,Load 'er up.,0
710,Put two in the chamber.,0
711,"Come on, load it up.",0
712,"Come on, load it.",0
713,Don't be messing with us.,0
714,The Organization.,0
715,"Not so fast, buddy boy.",0
716,Hold your horses.,0
717,Mmm!,0
718,"Ron, glad you could make it.",0
719,"Walter Breachway, chapter president.",0
720,Ron Stallworth.,0
721,I appreciate you inviting me out.,0
722,Absolutely. I've been impressed with our conversations over the phone.,0
723,I think you have a lot of fine ideas that could really help the cause.,0
724,"Well, I meant every word I said.",0
725,"You know, I've had my own share of run-ins with niggers.",0
726,"Matter of fact, it's what led me to the Organization.",0
727, Is that right?,0
728, It's become my salvation.,0
729,"See, I was, uh, shot and wounded by a couple niggers.",1
730,Then my wife was savagely raped by a whole pack of 'em.,1
731, God.,0
732," That's right,  and not a one of them went to jail.",0
733, Huh.,0
734,Tell you what.,0
735,They're taking over.,0
736,"Hell, it's all you see on TV anymore.",0
737,Niggers selling soap.,1
738,Niggers selling toothpaste.,1
739,Niggers selling automobiles.,1
740,"Everywhere you look, it's niggers, niggers, niggers.",1
741,"Yeah, wasn't long ago them sum bitches wasn't on no TV.",0
742,You're forgetting about Uncle Ben and Aunt Jemima.,0
743,Oh! Dang.,0
744,I kind of like them niggers.,1
745,Rice and pancakes.,0
746,"Hey, uh, my name's Ivanhoe, by the way.",0
747,Hey. Ron.,0
748,"Hey, all you get now is how we gotta cater to them.",0
749,"Now, watch your mouth. Yeah.",0
750,Don't say this.,0
751,Don't say that.,0
752,Be nice.,0
753,"Hell, they ain't even colored no more.",0
754,Negroes. Blacks.,1
755, Afro-Americans now.,1
756," Yeah, fuck it.",0
757,Just call them fucking niggers.,1
758,Make it fucking simple.,0
759, Niggers.,1
760, Niggers.,1
761,That's the right idea.,0
762,I've been saying this stuff for years.,0
763,"Well, you ain't the only one.",0
764,It's good to know someone else gets it.,0
765,"So, what kind of stuff you guys do?",0
766,What kind of stuff we do?,0
767,"We, uh. Cross burnings and marches and stuff so people don't fuck with us.",0
768,I'm tired of niggers fucking with me.,1
769,"Well, then you come to the right place.",0
770,Nobody fucks with us.,0
771,"Now, how much you know about the history?",0
772,Some. I could know more.,0
773,We will teach you.,0
774,"Yeah, this is fixing to be a big year for us.",0
775,How so?,0
776, Boom!,0
777, All right.,0
778,"We're gonna make fireworks, aren't we?",0
779,"All right, all right, Ivanhoe, shut your dumb mouth.",0
780,"Ivan, shut the fuck up.",0
781, Burnt ends.,0
782," All right, all right.",0
783,That's enough.,0
784,Shut your dumb mouth.,0
785,Sorry about him.,0
786,He drinks too much.,0
787,Doesn't know what he's saying.,0
788,"Just to be clear, the, uh.",0
789,The Organization is strictly nonviolent.,0
790,"Oh, nonviolent like that nigger, that dead nigger, Martin Luther Coon.",1
791," Yeah, gotcha.",0
792, Ron? You mind coming with me?,0
793,"Yeah, where to?",0
794,You undercover or something?,0
795, You ask too many questions.,0
796, All right.,0
797,"Be friendly, now.",0
798,This is family.,0
799,All right?,0
800,Let's go.,1
801,Congrats. You passed the mustard.,0
802,How about we go and get that membership process started?,0
803, That's it?,0
804, That's it.,0
805,"Uh, have a seat.",0
806,"Go ahead and, uh, fill these out.",0
807,Send 'em to the national headquarters.,0
808,"Now, once they send you your membership card, you'll be able to participate in all our programs.",0
809,Alcoa can't wait.,0
810,I love those commercials.,0
811,"Imperial tax to become a member, $10 for the year, $15 chapter fee.",0
812,Robes and hoods are not included. That's extra.,0
813,Fucking inflation.,0
814,I can't thank you brothers enough.,0
815,This means a lot to me.,0
816,Pleasure's all ours.,0
817,"You're not a Jew, right?",1
818,Jews killed Christ.,1
819,Are you trying to offend me?,0
