,utterance,annotation_algo
129,"Jump, jump, jump, jump, jump.",
130,Honey. What are you looking for?,
131,I'd be careful. That pony had a lot of water.,
132,Party's over.,
133," She called you and you bust the birthday party. Great  Don't you dare make me out to be the monster here, Daniel!",
134,You have all the fun and I get whatever's left over.,
135, You chose the career.,
136, I have no choices here. I have no choices!,
137,"Even when I try to do something fun, you do it ten times bigger!",
138,I bring home a cake and gifts.,
139,You bring the goddamn San Diego Zoo!,
140, And I have to clean up!,
141," It's not toxic waste, just a few party plates!",
142,Why am I the only one that feels there has to be rules?,
143,Why do you always make me out to be the heavy?,
144,I don't. You do it yourself quite naturally.,
145, You set me up every time to be the bad guy.,
146," Oh, lighten up, will ya?",
147,You spend too much time with those corporate clones you used to despise.,
148,"I spend too much time with you, Daniel.",
149,It's over!,
150,It's over.,
151,"Come on, Miranda. We've got problems, but who doesn't? We could work 'em out.",
152,We've been trying to work them out for 14 years.,
153,"Come on, please. Listen.",
154,"Maybe we need some help, OK?",
155,Maybe a family therapist will help us do this together.,
156,It's too late for that.,
157,"Well, let's take a vacation with the kids, as a family. Get you away from work.",
158,You're a different person.,
159,You really are. You're great.,
160,Our problems would be waiting for us when we got back.,
161,"We'll move, and hopefully our problems won't follow us.",
162,"Daniel, please don't joke.",
163,OK.,
164,Yeah. We've just grown apart. We're different.,
165, We have nothing in common.,
166," Oh, sure we do. We love each other.",
167,"Come on, Miranda. We love each other.",
168,Don't we?,
169,I want a divorce.,
170,No.,
171,We can't. We're a family. You know?,
172,I'm so sorry.,
173,"Yeah, Ma, he told me all about it.",
174,"Yeah, Ma. I heard, I heard.",
175," Well, yeah, he's here.",
176, No.,
177,"Ma, he's not really in the mood to talk.",
178,"Yeah, depressed.",
179,"I mean, his marriage is ending.",
180,My marriage is not ending. It's just on hiatus.,
181,"Ma, I think he's in a little bit of denial.",
182,"No, we're taking good care of your little boy.",
183,"Don't worry, Mom.",
184," Hi, Evelyn. Thanks for the jam.",
185, She says you're welcome.,
186,That beige concealer.,
187,When are we gettin' more of it?,
188, Next week.,
189," You hear that, Ma? Next week.",
190,"Wait, hang on.",
191, Enough already. It's a man.,
192, How would you know?,
193,Bitch.,
194,"No, Ma, not you. I was talkin' about the dog.",
195,"Ma, listen. We got people waitin' for us on the set.",
196,"Oh, yeah. It's a busy life, Ma.",
197,"Places to go, faces to paint.",
198,"Yeah, I'll tell him, Ma.",
199,"Don't worry, I'll tell him.",
200,"Yeah. Hold on, Ma.",
201,She wants to know if you want to come stay with her.,
202, No way.,
203," He says he'll think about it, Ma.",
204,"I will. All right. I love you, too.",
205,"Bye, Ma.",
206,"Hey, listen, you know you can always stay with us just as long as you want.",
207,"Thank you, but I'm OK, really.",
208,"I mean, this is just a temporary thing.",
209,I know Miranda. It's gonna blow over.,
210,"Mr and Mrs Hillard, although these custody proceedings tend to favour the mother,.",
211,".we also realise, perhaps now more than ever, that it is not in a child's best interest.",
212,.to deprive him or her of an obviously loving father.,
213,"However, since at the present time Mr Hillard has no place to live and no employment,.",
214,.it is the court's ruling to award sole custody to Mrs Hillard.,
215,  Congratulations.,
216, No.,
217,Mr Hillard will have visitation rights every Saturday.,
218, Can't you do something?,
219, He's made his decision.,
220,"Isn't it traditional to say ""I object"" or something?",
221,"Your Honour, please.",
222,Every Saturday? That's one day a week.,
223,That's not enough.,
224,"I have to be with my children. It's not a question. I have to be with them, sir. Please.",
225,"I know it seems like a lot, but for me it's not enough. Really.",
226,I haven't been away from 'em for more than one day since the day they were born.,
227," Mr Hillard, this ruling is only temporary.",
228," Oh, good.",
229,I will assign a court liaison to oversee your case.,
230,There will be a continuance of these proceedings in 90 days.,
231," I'm giving you three months, Mr Hillard.",
232, Thank you.,
233,"Three months in which to get ajob, keep it and create a suitable home.",
234,"If this proves to be a possibility for you,.",
235,.I will consider ajoint-custody arrangement when we reconvene. We're adjourned.,
236,"Well, it looks like there is a little light at the end of our tunnel.",
237, That's all my stuff.,
238, This is all my fault.,
239,"God, no. Why would you think that?",
240,"I should have never had a birthday, Dad.",
241, This never would have happened.,
242," Yes, it would.",
243,"It was an accident waiting to happen, OK?",
244,You did nothing wrong. You got that?,
245,"OK, gimme five.",
246,You're the man of the house now.,
247,Don't be messy.,
248, You can't go now.,
249," Honey, I have to.",
250,We're in the middle of 'Charlotte's Web'.,
251,Who's gonna finish it?,
252,"Well, Grandma will finish it for you.",
253,"She's not as good. She always skips parts, and she never does the voices.",
254,"She smells funny, too.",
255,That's the formaldehyde.,
256,That's why Granny's so well preserved.,
257,"Hey, come here.",
258,Hey! It's the same as always.,
259,"We just have a really big backyard, OK?",
260,  I love you.,
261,  I love you.,
262,I'll miss you. Saturday comes real quick.,
263, I'll miss you.,
264, Ditto.,
265,"Oh, Dad.",
266, Take care of her.,
267, OK.,
268,Goodbye.,
269,"Thanks for the time, warden.",
270,"Bye, Dad.",
271,"As your court liaison, I will be looking at two things.",
272, Your living environment.,
273," It's more like a habitat, really.",
274,And I will be coming by on Monday and Friday evenings to inspect it.,
275,"Well, I'll put on a chicken.",
276,And there's always the job issue.,
277,This is the nearest employment office. I took the liberty of making an appointment for you.,
278, Thank you.,
279," By the way, do you have any special skills?",
280,"Oh, yes. I do.",
281,I do voices.,
282,"What do you mean, you do voices?",
283,"Vell, I do voices.",
284,Yes!,
285, We're looking for intelligent life.,
286,"Oops, mistake!",
287, Happy to be in America.,
288,Don't ask for a green card.,
289,I want you in the worst way.,
290, This meeting is certainly not going well for me.,
291," Hey, boss, give her a chance.",
292,She's gonna loosen up any moment.,
293," Moneypenny, I want to undo that bow and get to know you.",
294,I'm crazy to make a deal with you!,
295, Nancy and I are looking for the other half of my head.,
296, They're doin' it!,
297,I'm sittin' on a gold mine!,
298,"Don't make me smack you, sweetheart.",
299,Figaro!,
300,I do a great impression of a hot dog.,
301,"Mr Hillard, do you consider yourself humorous?",
302,I used to.,
303,There was a time when I found myself funny.,
304,But today you have proven me wrong.,
305,Thank you.,
306,"Listen, bottom line.",
307,"I need to be with my children, and I'll do anything to do that.",
308,You just tell me what to do.,
309, Excuse me. You Tony?,
310, That's me.,
311,"Hi. I'm Daniel Hillard, the actor.",
312,Follow me.,
313,"Oh, films! Will I be introducing these movies on air?",
314, Not exactly.,
315, What do I do?,
316,You take all these cans.,
317,You box 'em and you ship 'em.,
318,Then you box those cans over there.,
319,Ship them. Then more will come in.,
320,"You box those, you ship those.",
321,Any questions?,
322,After you box 'em.?,
323,You ship 'em.,
324,"Lots of luck, smartass.",
325,I think I made a friend.,
326, Miranda.,
327, Stu!,
328,"Hello, Miranda.",
329, It's been a long time.,
330, Yes.,
331,Mr Dunmeyer's come by to look over your sketches.,
332,Um.,
333,Let me show you to the conference room.,
334,"As you probably know, the estate was built in 1876.",
335,These sketches are meant to reflect your desire to have it completely restored.,
336,You look better than ever.,
337,The lobby will resemble a music salon with inspiration from the French Second Empire.,
338,I was thinking a 17th-century grand piano.,
339,I've been following your career these past couple of years.,
340,"A tufted sofa, a Flemish tapestry, a brass-bound Regency-style table.",
341,I'd love to get reacquainted. Catch up.,
342,"Mantel clocks,.",
343,".fringed, upholstered chairs, heavy drapes.",
344,"Can we talk? Over dinner, maybe?",
345,"Stuart, thank you. I. I.",
346,I. I'm at the beginning of a divorce.,
347,It just didn't work out.,
348," Oh, Miranda, I'm sorry.",
349, You don't have to say that.,
350,"No, really. I mean, I never held any grudges or anything. I just.",
351,"Well, I always hoped you'd find happiness.",
352,"Oh, God, that's so nice.",
353,I was just worried my coming in here might scare you off the project.,
354,"No, no. Of course not. l.",
355,I'm a professional. I'm.,
356,I was flattered that you thought of me after all these years and everything.,
357,"Yeah, everything.",
358,Well. Ancient history.,
359,Yeah.,
360,Yeah.,
361, I'm late. I've got a meeting at the bank.,
362, Oh.,
363,Can we talk maybe later in the week?,
364, Sure.,
365, Good.,
366,It's good to see you again.,
367,"Mmm, good, huh?",
368,"I know the place doesn't look like much now, but.",
369,.it'll be OK. How do you like it?,
370, Nice.,
371, It's OK.,
372,Detestable.,
373,"Hey, just give me some time.",
374,I'm not too comfortable with this new lifestyle.,
375,Neither are we.,
376,"I know it's hard, sweetie.",
377,Can't you just tell Mom you're sorry?,
378,Wish I could.,
379,"You know, grown-up problems.",
380,"They're a little more complicated, Nattie.",
381,How is the old battle-axe?,
382, Your mom.,
383, She's fine.,
384,Oh. I'm glad to hear that.,
385,I'd hate to think that she came down with amoebic dysentery or piles.,
386,What's amoebic dysentery?,
387,It's an infection in your tummy where you get diarrhoea for ever.,
388, Diarrhoea for ever?,
389, And your body dries up and you die.,
390, You die?,
391, You don't have to be so graphic with her.,
392, I read about it in a science book.,
393, Why would you want Mommy to die?,
394,"Oh, honey, I don't want Mommy to die.",
395,Then why did you say that?,
396,"Look, Dad, you're not trying very hard.",
397,We only get to come here once a week.,
398,That's not very much.,
399,You're right. I'm sorry. I'll try harder.,
400,"Nattie, I'll think good thoughts, OK?",
401, About Mommy?,
402, I'll try. I really will.,
403, And call her a princess.,
404," Oh. Oh, yes.",
405,And right now I feel like a toad.  Daddy's a toad.,
406, That's Mom.,
407, Can't be. She's an hour early.,
408,"Come on, Nattie, we gotta go.",
409,"No, no! Come on, sit down, sit down.",
410,Sit down!,
411,You don't have to run off when she honks the horn.,
412,"Come on, you're on my time now.",
413,"You're my goddamn kids, too!",
414,Come on. Hey.,
415,Hi.,
416,"Oh, Daniel. Charming.",
417,"Thank you, Miranda.",
418,I was going for a refugee motif.,
419,Fleeing-my-homeland kind of thing.,
420,But look at you!,
421,This lovely 'Dances with Wolves' motif.,
422,What's your lndian name: Shops With A Fist?,
423, Are my children ready yet?,
424," No, our children are not ready yet.",
425,.because you are an hour early and you were late dropping them off.,
426,"Daniel, I don't have time for this. I have to drop something off at the newspaper office.",
427,Newspaper? Are you taking out one of those personal ads?,
428,"""DWF seeks WWWM with BMW, into light B&D""?",
429,I'm placing an ad for a housekeeper.,
430,Housekeeper?,
431,Why do you need a housekeeper?,
432,"I need someone to be there when the children get home from school, to clean, start dinner.",
433, How much are you gonna pay?,
434, $300 a week. Is that all right?,
435,300.,
436, May I see the ad?,
437, I have a right as their father. Please?,
438, All right. Anything else you wanna see?,
439, Are you offering?,
440, Not any more.,
441,What's the change?,
442, Are you guys all right?,
443," Yeah, Mommy. We're fine.",
444,Ugh!,
445,"Miranda, why not let me take care of the kids?",
446,"I'll pick 'em up after school, be with them, then drop them off at your house after work.",
447, That'd be great!,
448, Please!,
449, Look. The kids love it.,
450," Mommy, please!",
451,I'll think about it.,
452,"We're his goddamn kids, too.",
453,Kids say the darndest things.,
454,"Thank you. Any other choice phrases you'd like to teach our five-year-old, Daniel?",
455,"Oh.! Come on, everybody get their coats. Come on.",
456, Put them on and let's get out of here.,
457," OK, Mom.",
458,"I would say go to the bathroom before we go, but I don't think that's a good idea.",
459,Don't forget anything.,
460,I don't wanna come back.,
461,"Come on, let's go.",
462, See you Saturday.,
463, Say goodbye to your father.,
464,"Goodbye, Daddy.",
465, Here's your ad.,
466, I'll get my purse.,
467,"Yeah, you'd better.",
468, Hello. Are you calling in response to the ad?,
469,Uh-huh.,
470, Who was your previous employer?,
471, I was in a band. Severe Tyre Damage.,
472, In a band?,
473, I just wanna know one thing.,
474,"Are your kids well-behaved, or do they need, like, a few light slams every now and then?",
475, Um. I'll have to get back to you.,
476,Wow!,
477,My name is Ilsa Himmelman.,
478,How many children do you have?,
479, I have two girls and a boy.,
480," Oh, a boy!",
481, I don't work with the males cos I used to be one.,
482,Yikes.,
483, Hello.,
484," Leyla, get back in your cell! Don't make me get the hose!",
485,Hello?,
486,I. am. job.,
487, Do you speak English?,
488, I. am. job.,
489,I'm sorry. The position has been filled.,
490,"Oh, what a nightmare!",
491,Let's go in for the kill.,
492, Hello?,
493,  Hello.,
494,I'm calling in regards to the ad I read in the paper.,
495,"Yes. Well, would you tell me a little bit about yourself?",
496,"Oh, certainly, dear.",
497,"For the past 15 years I've worked for the Smythe family of Elbourne, England.",
498,"That's Smythe, not Smith, dear.",
499,"And for them, I did housecleaning, cooking, and took care of their four glorious children.",
500,"Oh, I grew quite attached to them after 15 years, but they grew up, as children tend to.",
501,"Oh, but listen to me. I am going on when you should be telling me about your little ones.",
502," Well, I have two girls.",
503," Oh, two precious gems.",
504,No doubt the jewel of your eye.,
505, And one boy.,
506," Oh, the little prince. How wonderful.",
507,"I must tell you, a little light cooking is required.",
508,"Oh, I don't mind that, dear.",
509,I'd love some heavy cooking.,
510,"But I do have one rule: they'll only eat good, nutritious food with me.",
511,"And if there's any dispute, it's either good, wholesome food or empty tummies.",
512,That's my rule.,
513,"I hope it's not too harsh for you, dear.",
514,No! Um.,
515,Would you mind coming on an interview?,
516,"Say, Monday night at 7.30?",
517," Oh, I'd love to, dear.",
518, Wonderful.,
519,I'm at 2640 Steiner Street.,
520,"Steiner. Oh, how lovely.",
521, Could you tell me your name?,
522, My name?,
523,"I thought I gave it to you, dear.",
524, No.,
525, Oh!,
526, Doubtfire.,
527, I beg your pardon?,
528,"Doubtfire, dear. Mrs Doubtfire.",
529," Well, I look forward to meeting you.",
530," Oh, lovely, dear. Me, too.",
531, Bye-bye.,
532, Ta-ta.,
533,Showtime.,
534," Daniel, hi.",
535, Could you make me a woman?,
536,"Honey, I'm so happy!",
537," Oh, come here.",
538, I knew you'd understand.,
539, Is this gonna hurt?,
540, Don't whine. Just relax.,
541, Are you sure?,
542," Just remember, pain is beauty.",
543," OK, take a deep breath. lnstant eye lift.",
544, Whoa.,
545,And the strings are under the wig.,
546, The man has five-o'clock shadow at 8.30am.,
547," All right, we'll start with make-up.",
548, I'm not gonna wax.,
549, Don't worry. We'll just lightly spackle.,
550, I feel like Gloria Swanson.,
551, You look like her mother.,
552,"I'm ready for my close-up, Mr DeMille.",
553,"OK, everyone. Let's pray.",
554, I hope you are using Jungle Red. That is the colour I love.,
555, Matches your lips.,
556, God bless you.,
557,I'm feeling fabulous because I met this beautiful Cuban.,
558,Every night is like the Bay of Pigs.,
559,I can't lie to you. It's beautiful with him.,
560,I don't know. This would scare the children.,
561,Maybe this is too much for them.,
562,I think we have to go to the next level.,
563,Latex.,
564,"Oy, it was such a shandeh.",
565,I should never buy gribbenes from a mohel.,
566,It's so chewy.,
567," No, I feel like Bubbee. This is not working.",
568, Don't worry.,
569,It's a work in progress and you're my brother.,
570,I will never let you be embarrassed.,
571, God bless you.,
572, We'll have to do the entire face.,
573,But look at this nice thing we have here.,
574,"Matchmaker, matchmaker, make me a match Find me a find, catch me a catch Don't tell me not to live, just sit and putter Life's candy and the sun's a ball of butter Don't bring around a cloud to rain on my parade It's not working. I need to go older.",
575,Older? Like Shelley Winters older or Shirley MacLaine older?,
576, What's the difference?,
577, Some Scotch tape and red hair dye.,
578, What about Joan Collins?,
579," Oh, I don't think I have the strength.",
580,But I have some plaster.,
581,"( ""Luck Be a Lady Tonight"" by Frank Sinatra) Luck, be a lady tonight Luck, be a lady tonight Luck, if you've ever been a lady to begin with Luck, be a lady tonight Luck, let a gentleman see How nice a dame you can be I know the way you've treated other guys you've been with Luck, be a lady with me Luck, be a lady  Are we close?",
582, Any closer.,
583,.and you'd be Mom.,
584,Tonight!,
585,That's disgusting!,
586, The most revolting thing I've ever seen.,
587,  Awesome.,
588,"What is this? Turn it off, will you?",
589,Come on. I want you to meet this lady with me.,
590,"I want you to be polite to her, then.",
591,tell me what you think.,
592,Everybody stand over here and help me decide what to do.,
593,"Hello. Mrs Hillard, I presume.",
594,Yes. I'm Miranda Hillard.,
595,Euphegenia Doubtfire.,
596,Yes. Won't you please come in?,
597,"Thank you, dear.",
598, And these must be the cherubs.,
599, Yes.,
600, This is Natalie.,
601," Oh, hello, Natalie.",
602, Are you wearing bug spray?,
603, Nattie!,
604,"It's quite all right, dear. No offence taken.",
605,I was a little liberal with the atomiser.,
606,"And at my age, it's like a good Stilton.",
607,Everything has its own aroma.,
608,"I admire that honesty, Nattie.",
609,"That's a noble quality. Never lose that,.",
610,.because it often disappears with age or entering politics.,
611,Look at that face.,
612,"You remind me of Stuart Little,.",
613,.one of the most honourable creatures in all of literature.,
614," Do you know that book, 'Stuart Little'?",
615, Yeah! It's one of my favourites.,
616,"Mine, too! Maybe I could read it to you - if I get the position.",
617, That would be wonderful.,
618, And who is this strapping young lad?,
619, This is Chris.,
620," Hello, Christopher.",
621,Hello.,
622,"Jeez, you're big for a lady.",
623,You could play for the 49ers.,
624,"Well, I was a fullback.",
625,"But that's European football, dear.",
626, Soccer?,
627," Yes. You play soccer, too?",
628, Yeah!,
629," Oh, isn't that amazing?",
630,"Yes, I was captain of the women's team.",
631,We won three university championships.,
632,"Oh, but that was decades ago!",
633,But I was more disciplined then. I always put my studies ahead of my athletics.,
634,I'm sure you're the same and you've done all your homework already.,
635," Well, not exactly.",
636, Really? Oh. That's a pity.,
637,Young men who don't do their studies often miss out on more amusing activities.,
638, And who is this young lady?,
639, This is Lydia.,
640,"Hello, Lydia.",
641,"This isn't fair, Mom.",
642,Why do we need a housekeeper anyway?,
643, This is all I need.,
644, Why can't Dad do it?,
645,"Dear, I don't think it's appropriate to argue with your mother in front of a stranger.",
646,I just don't see why we can't spend the extra time with Dad.,
647,"Maybe she's right, dear. Maybe their father would be a more appropriate person.",
648,"No, I don't think so.",
649,"It's not my fault, honey. If he would get ajob and a decent apartment.",
650," You see, he's the kind.",
651," Excuse me, dear.",
652,I'm sure you'd want the children to step out of the room.,
653,.before you verbally bash their father. Hm?,
654,"If I did that, I might never see them again.",
655, I'm sorry. You're right.,
656, No harm done.,
657, You're absolutely right.,
658, I'm not a therapist. I just see what I see.,
659,Why don't you guys go on upstairs?,
660,I'll be up in a minute.,
661, It's lovely to meet you.,
662," Yeah, nice to meet you.",
663,"You too, Lydie.",
664," Oh, they're a spirited bunch.",
665, Yes.,
666, Especially Lydie. She's got daggers for you.,
667, I know.,
668, They're very upset with me right now.,
669, Probably the divorce.,
670,How did you know?,
671,"You can sense it, dear - the way she talks about her father.",
672,"I don't think he's in the Navy, the way she's saying she misses him. It's like he's nearby.",
673, Yes.,
674," Oh, that's so sad.",
675, Would you care to have a cup of tea?,
676, I'd love that.,
677, It's right in here.,
678, What a lovely home you have.,
679, Did you decorate this yourself?,
680," Yes, I did.",
681,"Oh, it reeks of taste! Isn't this lovely, dear!",
682, Here's my ré'sumé'.,
683, Oh. Thank you.,
684, Let me start this tea.,
685," Oh, no, dear. Let me get that for you.",
686,You've had a hard day. You just sit yourself down on that stool and leave the tea to me.,
687,Thank you. That's very nice of you.,
688,"Oh, not at all, dear.",
689, Oh. What a wonderful ré'sumé'.,
690," Thank you, dear.",
691,"""Expert in first aid and CPR."" And Heimlich manoeuvre, dear.",
692,You can never be too prepared when little ones are around.,
693,They'll swallow anything.,
694,You've got to be ready to pop it out.,
695,"Oh, let's see.",
696,Oh! What a perfectly appointed little cubby!,
697,Look at this. Everything has its place and name tag.,
698,How precise! It's lovely.,
699,My husband never appreciated it.,
700,Oh. Poor dolt.,
701,"That's not the reason you divorced him, was it?",
702,No.,
703,"It's so sad, because marriage can be such a blessing.",
704, So can divorce.,
705, Oh.,
706,Daniel is a. very difficult man to live with.,
707,But the children are crazy about him.,
708,You don't have to be a psychic to sense that.,
709,"My, you certainly do know your way around a kitchen!",
710,Oh! Uh.,
711,It's just because everything is so accessible.,
712,You designed it.,
713,"I'm amazed there isn't a little label there that says ""spoons"".",
714,You remind me of someone.,
715,Really? Who?,
716,I feel like I've known you for years.,
717,Maybe we knew each other in another life.,
718,I would love for you to come and work with us.,
719, So would l.,
720, Great!,
721,It would be an honour.,
722,To us.,
723,To us. The start of a business relationship.,
724,"Good evening, dear.",
725,"Evening, ma'am.",
726,"Cold night, isn't it?",
727,"Yes, it is.",
728,Hope you have somethin' nice and warm to go home to.,
729,My back.,
730,"Jesus! If I find the misogynistic bastard that invented heels, I'll kill him.",
731,God.!,
732,Excuse me.,
733,Mrs Sellner!,
734,Have we met?,
735,No. But Danny's told me all about you.,
736,I'm his sister.,
737,His. much older sister.,
738, You have his eyes.,
739, Only if he fills out a donor card.,
740, Is Mr Hillard in? I have an appointment.,
741," Do you? Oh, that's wonderful.",
742,Let me go up and get him and he'll be right down.,
743, I'll come with you.,
744, No.,
745, Yes.,
746, Why?,
747,Because I have an appointment on Monday and Friday evenings to check the apartment.,
748,I remember him saying something about that.,
749,"Are you sure, dear?",
750,"It's three floors, hoofin' it all the way.",
751," If you can do it, I can.",
752, I'll bet so!,
753, Is your ticker all right?,
754, Topnotch.,
755,"Oh, good! Cos I don't want to jump-start ya.  Damn door.",
756,"Come in, please, dear. Sorry about that.",
757,Here we are. Daniel's abode.,
758,"Oh, that's mine, dear.",
759,I'm a messy house guest.,
760,"Well, just make yourself at home.",
761,I'll be right back.,
762,He'll be back. I'll go get him.,
763,Don't be afraid. I'll be right there. Danny!,
764,"Danny boy, where are you?",
765,"Oh, here he is, dear. I found him.",
766,"Danny, there's a Mrs Sellner here to see you!",
767," Oh, is she here?",
768," Yes, she is.",
769," Mrs Sellner, I just got out of the shower!",
770,I think you'll be very pleased with me!,
771,I've been through some really interesting changes!,
772,And I'm becoming a new man and a model father!,
773,"He'll be right there. He's just changing, dear.",
774, I want to keep you abreast of the changes in my career!,
775,There have been two big developments!,
776,I'm finally starting to come into my own!,
777,"Things are really starting to take shape, and I'm blossoming! Really, I am!",
778,"Things were hairy for a while,.",
779,.but oh! I'm in great shape now!,
780,"I'm my own man now! Oh, yes!",
781,A job I could really sink my teeth into!,
782,"I'll be right there, Mrs Sellner!",
783,"So nice I don't have to save face any more, Mrs Sellner!",
784,   Mrs Sellner! How are you? Always ajoy!,
785,"If you wanted some cheese, why didn't you just say so?",
786,"Well, you'll be happy to know that I now am holding down two jobs.",
787,One for an educational film and TV company heavy responsibility.,
788, And the other?,
789, Cleaning houses. Not mine.,
790, Big girl!,
791, Your sister is English?,
792,"She's half-English, half-American.",
793,"Half-sister, really. That makes her an eighth English? I've never done the math.",
794,"Let me see, my father was American.",
795,He. flew for the English during the war.,
796,He was in London and.,
797,he met this lovely Englishwoman.,
798,"Well, my sister was the fruit of their passions.",
799,"   Sorry. My sister's, not yours.",
800,"You see, she's not a very good housekeeper.",
801,But she makes a fabulous cup of English tea.,
802,"Really? Well, I would adore a good cup of English tea.",
803,Oh! Wouldn't we all! I'll go get her.,
804,"Sis! Oh, sis!",
805,"Sis, are you in here?",
806,Tea? Cup of TNT.,
807,Sick. Mom!,
808,Whoa!,
809,My face!,
