,utterance,annotation_algo
62,"Yes, I would.",
63,"Son, the mayor, the Chief and I think you might be the man to open things up around here.",
64,Chief Bridges will be your Branch Rickey.,
65,I'll have your back.,
66,But I can only do so much.,
67,The weight of this is going to be on you and you alone.,
68,"Thank you for the opportunity, gentlemen.",
69, Wow. Cybill Shepherd.,
70, Yeah.,
71,I loved her in The Last Picture Show.,
72,Never saw it.,
73,I don't like black-and-white movies.,
74,"So, what do you think?",
75,I think she's a really good actress.,
76,"Oh, come on. You know you want some of that.",
77,Looking for a toad here.,
78,You're up.,
79,"Give me the record for that toad, Maurice Smalls.",
80,"While you're at it, grab another toad, Tippy Birdsong.",
81,T-I-P-P-Y.,
82,Can I help you?,
83,"May I have a minute, please?",
84,Sit.,
85,"Sergeant Trapp, Chief Bridges, I'll get right to it.",
86,I'd like to be an undercover detective.,
87,"What, like Narcotics?",
88,"Whichever department works, sir.",
89,"You just joined the force, rookie.",
90,I think I can do some real good there.,
91, Is that right?,
92, I'm young.,
93,There's a real niche for me.,
94,Get in where I fit in.,
95,"You think a lot of yourself, don't you?",
96,I'll do whatever it takes.,
97,And I hate the records room.,
98,Well.,
99,"I think records is a good place for you to start, rookie.",
100,"Chief, do you want me clean-shaven?",
101,I can even chop down the natural.,
102,"No, no, no. You keep it.",
103,I like the look.,
104,I need a file on a toad.,
105,You deaf?,
106,I said I need a file on a toad.,
107, No toads here.,
108, Excuse me?,
109,I said I don't have any toads.,
110,I do have human beings.,
111,"You give me their names, I'll get you the file.",
112,"I heard you think you're hot shit, but you ain't nothing but a cold fart.",
113,The name is Steven Wilson.,
114,"Was that respectful enough for you, Officer Toad?",
115, Hello.,
116, It's Bridges.,
117,You sleeping?,
118,"Uh, yeah, Chief.",
119,Um.,
120,Worked an all-night shift.,
121,I've changed my mind.,
122,You're coming in a little early today.,
123,I got an assignment for you.,
124,12:00 noon sharp.,
125,Narcotics division.,
126," Yes, sir.",
127, Wear street clothes.,
128,Thank you.,
129,CP time?,
130,"Jimmy, the rookie's late.",
131," You're late, rookie.",
132, Sorry. Won't happen again.,
133,"We have limited time, so I'll be quick.",
134,"The black radical, Stokely Carmichael, is giving a speech tonight at Bell's Nightingale.",
135, Yep.,
136, Carmichael is a former high-muckety-muck with the Black Panthers.,
137,"And as far as I'm concerned, FBI Director J. Edgar Hoover was dead right when he said the Black Panthers are the greatest internal threat to the security of these United States.",
138,"This Carmichael joker, former Panther or not, well, they say he is a damn good speaker, and so we don't want this Carmichael getting into the minds of the good black people here in Colorado Springs and stirring them up.",
139,"Ron, your assignment is to go to this speech tonight, infiltrate this bunch of subversives and just monitor the audience reaction to Carmichael's speech.",
140, You ready?,
141, Born ready.,
142,I'm not ready.,
143,Any chance this thing fucks up?,
144,"Oh, fuck yeah.",
145,Then what?,
146, Just stick to the game plan.,
147, Which is?,
148,"Eh, improvise.",
149, Like jazz.,
150, Like bebop.,
151,This isn't some big bust.,
152,We just want some intel.,
153,That's it.,
154,And what if someone offers you a marijuana cigarette?,
155, You mean a joint?,
156, Yeah.,
157,Mary Jane.,
158,Excuse me.,
159,"Soul brother, I'm already high on life. Can you dig it?",
160, It's dug.,
161, My man.,
162,And if someone pulls a gun on you?,
163,Will that happen?,
164, Barrel of a.45 in your face.,
165, Shit.,
166,Finger on the trigger.,
167,Now what?,
168,"Blood, get that gun out of my face.",
169,"Peace, love and soul.",
170,Gun is still in your face.,
171,"I de-escalate, talk calmly, firmly.",
172,Find a way out of there ASAP.,
173,Relax. We'll be outside listening in.,
174, Okay.,
175, Got it?,
176,I got it. I'm gone.,
177,Here we go.,
178, We need to take action.,
179, I can't believe he's here.,
180,I just have so many questions to ask him.,
181,"But, um.",
182,"How are you, uh.",
183,"How are you doing this evening, my sister?",
184,Can we help you?,
185,"I'm doing fine, my brother.",
186,What? We don't know him.,
187,"What? Hakeem, why you dragging me?",
188,It's going to be an amazing night.,
189,"Indeed, it is.",
190,Have you heard Brother Kwame speak before?,
191,Who?,
192,Kwame Ture.,
193,"Oh! Well, actually, I haven't, but.",
194, Okay.,
195, I didn't realize he changed his name.,
196,"Yes, after he moved to Africa.",
197,"He took the names of Kwame Nkrumah of Ghana and his mentor, Sékou Touré of Guinea, to honor the great leaders.",
198," Well, that is heavy.",
199, Mmm-hmm.,
200,You know how he got to Colorado Springs?,
201,"Yeah, yeah.",
202,The Colorado College Black Student Union invited him.,
203," Oh, I can dig it. I can dig it.",
204, Mmm-hmm.,
205,Are you.,
206,Are you part of the Union?,
207,I'm the president.,
208,Really? I'm talking to the president right now?,
209,"Yes, you are.",
210,"Right on, sister.",
211,"Well, I bought a ticket.",
212,May I skip the line since I'm talking to the president?,
213,There's no cutting in line.,
214,To the back.,
215,See you inside?,
216,"I'll see you inside, my brother.",
217, Mrs. President.,
218, Right on.,
219,"Ungawa, Black Power!",
220,The Black Student Union of Colorado College is honored to bring the vanguard of revolutionaries fighting for the rights of black people all over the world.,
221,"Let's show some black love to the one and only, the brother man with a plan  who is sticking it to the man.",
222," Right on, right on.",
223,"Put your hands together, my people, for our Kwame Ture.",
224,"Thank you, Sister Patrice.",
225, Thank you.,
226, And the Black Student Union.,
227,"I want to thank all of you, my beloved sisters and brothers, for coming out tonight.",
228,Okay!,
229,But I'm here tonight to tell you that it is time for you to stop running away from being black.,
230,Boom-shaka-laka!,
231,It is time for you to stop running away from being black.,
232,"You're college students, right?",
233, Right on.,
234, That's right.,
235,You should think.,
236,"It is time for you to understand that you, as the growing intellectuals of this country, that you must define beauty for black people.",
237, Okay!,
238," Now, that's Black Power.",
239,Let me ask you something.,
240,Is beauty defined as someone with a narrow nose?,
241, No!,
242, Thin lips?,
243,No!,
244,White skin?,
245,Hell no!,
246, Hell no.,
247, Hell no!,
248,'Cause you ain't got none of that.,
249,No. Okay.,
250,Our lips are thick.,
251, Yes.,
252," Yes, they are!",
253,Our noses broad.,
254, Our hair is nappy.,
255, Yes!,
256,"We are black, and we are beautiful!",
257, Yes!,
258, Boom-shaka-laka!,
259,"You see, we want to be so much like the white people who oppress us in this country.",
260, Nope!,
261," And because they hate us, and because we are ashamed of our African heritage, we then hate ourselves.",
262,Preach.,
263,Y'all don't hear me tonight.,
264,We hear you.,
265,Y'all dig Tarzan?,
266,Tarzan. I'm gonna be honest.,
267,"When I was a boy, I used to go to the Saturday matinees and watch Tarzan all the time.",
268, Okay.,
269," Yeah, yeah.",
270,And white Tarzan used to beat up the black natives.,
271,"And I would sit there, yelling, ""Kill the beasts!",
272,"""Kill the savages.",
273,"""Kill them.",
274,"""Kill them! Kill them!",
275,"Kill them!"" But what I was saying was, ""Kill me."" That's right.",
276,It was as if a young Jewish boy saw Nazis taking Jews off to concentration camps and cheered them on.,
277,"Today, I want those chiefs to beat the hell out of Tarzan and send his lily-white ass on back to the caves of Europe.",
278,Boom-shaka-laka!,
279, Right on.,
280,Right on.,
281,But it takes time.,
282,It takes time to become free of the lies and their shaming effects on the black mind.,
283, Okay.,
284," It takes time to reject the most important lie, that black people can't do the same things  that white people do.",
285, That's a lie.,
286,.unless a white person helps them.,
287,Talk about it.,
288,Black Power also means that we must unite.,
289,"We must unite, and we must organize to form a base to fight racism.",
290, Okay!,
291, Yes. Yes.,
292,To fight our oppressors.,
293,"The vast majority of Negroes around this country, they live in captive communities.",
294,"And they must endure their oppression and their conditions, because and only because  they are black and powerless.",
295, Educate. Educate.,
296,And now.,
297,Now we are being shot down like dogs in the streets by white racist cops.,
298,Speak the truth.,
299,I said we are being shot down in the streets by white racist cops!,
300,Fuck the police.,
301,We can no longer endure this kind of oppression without retribution.,
302,Hell no!,
303,No more.,
304,"That war in Vietnam, it is not only illegal, it is immoral.",
305, That's right.,
306, Talk about it.,
307,And you know what I tell them?,
308,"Hell no, we won't go!",
309,"Hell no, we won't go!",
310,"Hell no, we won't go!",
311,We ain't going!,
312,I'd rather see a brother kill a white racist cop than kill a Vietnamese.,
313,"Me, too.",
314,"Because at least, if he kills a racist cop he is doing it for a reason, because they are shooting black people.",
315, That's right.,
316," .in the backs, in these streets, right here in this very country.",
317, They're killing us like dogs!,
318, Boom-shaka-laka!,
319,Right here!,
320,Right here!,
321,"I just want to leave you, uh, in closing 'cause I know it's getting late and y'all gotta go party.",
322,"I'm sorry, study.",
323,We love you!,
324,"I just want to leave you, sisters and brothers, with these last words.",
325,"If I am not for myself, who will be?",
326,"If I am for myself alone, who am I?",
327, Right.,
328," Hear, hear.",
329," If not now, when?",
330, When?,
331,"And if not you, who?",
332,Who? Who?,
333,Who? Who?,
334,"We need an undying love for black people, wherever we may be.",
335,All power to all the people.,
336,All power to all the people!,
337,All power to all the people!,
338,All power to all the people!,
339,"""All power to all the people."" Pretty powerful stuff.",
340,"Incredible words, Brother Kwame.",
341, Thank you so much.,
342, Thank you.,
343,"Thank you, brother.",
344,Appreciate it.,
345,Brother.,
346,I gotta ask you something.,
347,Do you really think war between the black race and the white race is inevitable?,
348,Let me tell you.,
349,"Arm yourself, brother.",
350,"Get ready, 'cause the revolution is coming.",
351,"Pick up a gun and arm yourself, because trust me, it's coming.",
352, Thank you for coming tonight.,
353, God bless you.,
354,You looked great on that stage tonight.,
355," Thank you, my brother.",
356, All right.,
357,"I don't know what you have planned now, but maybe I can buy you a drink?",
358,"Uh. I, uh.",
359,I gotta make sure Brother Kwame is all squared away.,
360, What?,
361, .and he gets to his hotel safely.,
362,I can dig it.,
363,"But, you know, um, if it's not too late, maybe I can meet you at the Red Lantern?",
364,You know where that is?,
365,Mmm-hmm.,
366,So I'll see you then.,
367,Damn right. Yes. Cool.,
368,All power to all the people.,
369,Hey. How you doing?,
370, Sorry I'm late.,
371, Hey.,
372,You won't believe what happened.,
373,What are you having?,
374,"Bro Pope, 7 and 7, please.",
375,Pigs pulled us over.,
376,Say what?,
377,I don't want to see nothing but black asses and black elbows.,
378,Spread 'em!,
379,"You that so-called big-shot Panther nigger, aren't you?",
380,"I heard you was in town, Stokely.",
381,My name is Kwame Ture.,
382,I don't give two shits what your nigger name is!,
383,"Black bitch, you get this Black Panther out of Colorado Springs before sunrise, you hear me?",
384, Or you'll all go to jail.,
385, We were born in jail.,
386,Ooh.,
387,Don't touch me!,
388, Don't touch her!,
389, Get your fucking hands off of me!,
390, Get your hands off of her!,
391, Get your white hands off!,
392,Keep your hands off of her!,
393,"Come on, get your hands off of her!",
394,Get off of me!,
395,Get off of me!,
396, Wait!,
397," Let her go, man!",
398,You see the officers' names?,
399,"I know I should have, but.",
400,"The whole thing was so frightening, I didn't.",
401,Come on.,
402, Let's dance. Follow me.,
403, Mmm.,
404,"Come on. Come on, come on, come on.",
405,What?,
406,No.,
407," Come on, you know it, you know it.",
408, Uh-huh.,
409,What was the room like?,
410,Folks were hanging on every word.,
411,Like a Baptist church on Christmas Sunday morning.,
412, Huh.,
413, Mmm-hmm.,
414,Sounds like he had them pretty riled up.,
415,"But I don't think that means black folks were ready to start the revolution, Chief.",
416,What makes you say that?,
417,Nobody in there was talking about that.,
418,That wasn't the vibe.,
419,Everybody was cool.,
420,Let me get this straight.,
421,He told a room of black folk to get ready for a race war.,
422,That they were going to have to arm themselves and kill cops.,
423,"I mean, what about that?",
424,"Yeah, he said that, but, Chief, I think it was just talk, you know?",
425,Rhetoric.,
426,"That's what I thought, too.",
427, Jimmy?,
428, Like my partner said.,
429,"All right, well, thank goodness Carmichael has left Colorado Springs.",
430, Kwame Ture.,
431, What?,
432,He changed his name from Stokely Carmichael to Kwame Ture.,
433,"I don't care if he changed his name to that draft dodger, Muhammad Ali.",
434,All right? He's still dangerous.,
435, Did you hear the story Patrice told me?,
436," No, I didn't.",
437,About how the CSPD pulled over her and Ture?,
438,"Patrice, she's the one from the Black Student Union, the group that brought in Ture?",
439,"Kwame Ture. Correct, sir.",
440,"Getting pretty chummy with her, huh?",
441,"No, just doing my job, Chief. Undercover.",
442,Let's just make sure it ain't under the cover of the sheets.,
443,"I would never jeopardize a case, sir.",
444,He doesn't know what he'd do.,
445,You're new.,
446,You guys sit tight.,
447,"Ron, come with me.",
448,"Ron, I'm transferring you to Intelligence.",
449,What will I be doing there?,
450,Intelligence.,
451,Against my better judgment.,
452,"Five, four, three, two, one.",
453,Swish!,
454,Police department.,
455,He is at lunch.,
456,"Excuse me? Yes, yes.",
457,You have reached the Colorado Springs chapter of the Ku Klux Klan.,
458,Please leave a message.,
459,And God bless white America.,
460,Hello. This is Ron Stallworth calling.,
461,I saw your advertisement in the Colorado Springs Gazette.,
462,I'm interested in receiving some reading materials from you.,
463,My phone number is 103-9994.,
464,I'm very much looking forward to you returning my call.,
465," Yeah, who's this?",
466, Ron Stallworth here.,
467,This is Walter returning your call.,
468,From the Organization.,
469,The Organization?,
470,That's right.,
471,We appreciate your interest.,
472,What's your story?,
473,"Well, since you asked.",
474,"Since you asked, I hate niggers.",
475, I hate Jews.,
476, Huh?,
477,Spics and Micks.,
478,Dagos and Chinks.,
479,"But my mouth to God's ears, I really hate those nigger rats.",
480,"And anyone else, really, that doesn't have pure white Aryan blood running through their veins.",
481,"My sister, Pamela, she was just recently accosted by one of those black coons.",
482,Is that so?,
483,Yeah.,
484,Every time I think about that black baboon putting his filthy black hands on her pure-as-white-driven-snow body.,
485,"I mean pure, Walter.",
486,She's a saint. She's an angel.,
487,It makes me want to puke.,
488,You are just the kind of guy that we are looking for.,
489,"Listen, uh, when can you meet?",
490,How about Friday night after I get off work?,
491,"That's a deal, buddy boy.",
492,We'll get right back to you with the details.,
493,"Take care, now.",
494,God bless white America.,
495,Did I just hear you use your real name?,
496,"Oh, motherfucker.",
497,"Yeah, motherfucker amateur hour.",
498,"That's your real name, right? Isn't.",
499,Isn't it Ron Stallworth?,
500,"Right, isn't that his real name?",
501,Can't believe he just said that.,
502,"Well, good luck, Ron, with your new redneck friends.",
503,They want you to join the Klan?,
504,They want to meet me first.,
505, They want to meet you?,
506, Mmm-hmm.,
507,"Yeah, well, you probably shouldn't go to that meeting.",
508,"Good call, Sarge.",
509,"So you're a crazy son of a bitch, huh?",
510,"We'd have to go to Narcotics, meaning we'd have to deal with Chief Bridges.",
511,"Yeah, I can't spare the men.",
512,"Well, I've looked over the logs, Chief, and it seems you can spare them.",
513,"Sergeant Trapp, Ron spoke to the man on the phone.",
514,"All right, when they hear the voice of one of my guys, they're gonna know the difference.",
515,"How so, Chief?",
516,You want me to spell it out for you?,
517,They're going to know the difference between how a white man talks and a Negro.,
518,How exactly does a black man talk?,
519,"Okay, Ron, what I think the Chief is trying to say.",
520,"If you don't mind, I'd like to speak for myself.",
521," Thank you, Sarge.",
522, Sure.,
523,You know what I'm trying to say.,
524,"Chief, some of us can speak King's English.",
525,Others speak jive.,
526,Ron Stallworth here happens to be fluent in both.,
527,"Okay, Ron, how do you propose to make this investigation?",
528,"Well, I've established contact and created some familiarity with the Klansman over the phone.",
529,"I'll continue in that role, but I'll need another officer, surprise, surprise, a white officer, to play me when they meet face-to-face.",
530,"See, that's my point exactly.",
531,"Chief, black Ron Stallworth over the phone, white Ron Stallworth face-to-face, so there becomes a combined Ron Stallworth.",
532, Can you do that?,
533, I believe we can.,
534,"With the right white man, we can do anything.",
535,"Anything happens to one of my men, there won't be two Ron Stallworths.",
536,There'll be none.,
537,You're late.,
538,Sorry. It'll never happen again.,
539,Seems like I heard that one before.,
540,"Jimmy, when's the last time they let a rookie lead an investigation?",
541,"Oh, that's right. Never.",
542,"Okay, all right, let's move on.",
543,"Let's, uh.",
544,Let's go to our bio.,
545,Okay. Ron Stallworth.,
546,I do wholesale manufacturing.,
547, Whereabout?,
548, Pueblo.,
549, What's that commute like?,
550," Jimmy, I'm glad you asked.",
551,It's a straight shot down I-25.,
552," Hour, tops.",
553, It's a long ride.,
554,What do we listen to?,
555,"KWYD, Christian talk in the morning, although the signal starts to cut out near Pueblo.",
556,"On the way back, I like to turn it to 102.7 to get my Allman Brothers fix.",
557,"Only I have to change it every time that British fag, David Bowie, pipes on.",
558,Whoa! I love Bowie.,
559,"I mean, who doesn't, right?",
560,"Remember, you have to retain all the information you share with these guys so I can be white Ron Stallworth.",
561,"Jimmy, I always wanted to be black.",
562,All my heroes were black guys.,
563,Willie Mays.,
564, Basket catch.,
565, Wilt the Stilt.,
566,Record 100 points in one game.,
567,But you know my absolute favorite?,
568,O.J.,
569,Heisman pose!,
570, The Juice!,
571, I love fucking O.J.,
572,Orenthal James Simpson.,
573, Bet you didn't know that.,
574, Of course I did.,
575,"We as a Negro people appreciate your love, but don't share that love with these guys.",
576,"For you, it's the fucking Osmonds, right?",
577,"Hey, I love Marie Osmond.",
578,"I get to play you, but you don't get to play me?",
579," Jimmy, does that sound fair?",
580, Fair?,
581, Not to me.,
582," Now, what else?",
583, Who are you meeting with?,
584, Walter Breachway.,
585,Become his friend.,
586,Let's get invited back.,
587,"Well, look at you.",
588,"Okay. Anything else, sir?",
589,I'm on the phone with the Klan.,
590,You meet with them in person.,
591,And?,
592,And you need to try and sound like my voice.,
593,"Oh, boy.",
594,All right. Here.,
595," Me, too?",
596," Yeah. You, too, Jimmy.",
597, Godfather.,
598, That's right.,
599,"You wanted to be black, here's your chance.",
600,Lookie here.,
601,Some people say we've got a lot of malice.,
602,Some say it's a lot of nerve.,
603,Lookie here.,
604,Some people say we got a lot of malice.,
605, Some.,
606," Come on, come on.",
607,This is life and death here.,
608,Come on.,
609," Oh, is it?",
610, Come on.,
611,Some say it's a lot of nerve. Nerve!,
612, You want me to do this now?,
613," Please, now.",
614,"For all our sakes, do it now, please.",
615,Some say it's a lot of nerve.,
616,"Let it flow, though.",
617,Let it flow.,
618, I'm flowing.,
619, Okay.,
620,I say we won't quit moving till we get what we deserve.,
621,I say we won't quit moving until we get what we deserve.,
622,"We've been buked, and we've been scorned.",
623, We've been buke.,
624," ""Buked."" Say that.",
625," What does ""buked"" mean?",
626, Disrespected.,
627,"You've been disrespected, Flip.",
628, You.,
629, Why doesn't he just say that?,
630,"We've been buked, and we've been scorned.",
631,"This has got to flow, from the.",
632,"We've been treated bad, talked about.",
633,We've been buked.,
634,We've been scorned.,
635," All right, get that shit out.",
636," We've been treated bad, talked about.",
637,"Just as sure as you're born, but just as sure as it take.",
638,Two eyes to make a pair. Huh!,
639, Two eyes to make a pair.,
640, Huh!,
641,Hah!,
642, Hah!,
643, Hah!,
644, Hah!,
645, Huh!,
646, Hah!,
647," Brother, we can't quit till we get our share.",
648,"Brother, we can't quit till we get our share.",
649,"Doesn't make grammatical sense, but okay.",
650,"Say it loud. I'm black, and I'm proud.",
651,"Say it for O.J., Jimmy.",
652,"You, too.",
653,Say it loud.,
654,"I'm black, and I'm proud.",
655,Say it loud.,
656,"I'm black, and I'm proud.",
657,That's right. There it is.,
658,I believed you.,
659,Lose that Jewish necklace around your neck.,
660,"Jimmy, it's not a Jewish necklace.",
661,It's a Star of David.,
662,Okay.,
663,"Flip, you're Jewish?",
664,I don't know. Am I?,
665,Ron Stallworth?,
666,That's me.,
667, You must be Walter.,
668, Name's Felix.,
669,"Well, I was told I'd be meeting a Walter Breachway.",
670,"Change of plans, Mac.",
671,I'm gonna need you to hop in the truck.,
672,"Okay, well, how about I just follow you in my.",
673,No can do.,
674,You come with me.,
675,Security.,
676,I'll drive you back.,
677,"Come on, let's roll.",
678,"You for the white race, Ron?",
679,"Oh, hell yeah.",
680,Been having trouble lately with these local niggers.,
681,"Ugh. Since the Civil War, it's always trouble with niggers.",
682,Uh-huh.,
683,Walter said something about your sister.,
684,Makes me sick.,
685,What are they saying?,
686,They saying where they're going?,
687,"But it's also, you know, camaraderie, I'm looking for with the Klan.",
688,What the fuck did you say?,
689, Camaraderie?,
690," No, the other word.",
691, The Klan?,
692," Not ""the Klan."" It's ""the Organization."" The Invisible Empire has managed to stay invisible for a reason.",
693,Do not ever use that word.,
694,You understand?,
695,"Hey, I over-stand.",
696,Right. You got it.,
697,The Organization.,
698,Check this shit out.,
699,You're never gonna believe this.,
700,What?,
701,A fucking jig on our bumper.,
702," Ron, he sees us. Back off.",
703, Damn!,
704,Let's get ready.,
705,Look under your seat.,
706, Yeah.,
707, What?,
708,Pull it out.,
709,Load 'er up.,
710,Put two in the chamber.,
711,"Come on, load it up.",
712,"Come on, load it.",
713,Don't be messing with us.,
714,The Organization.,
715,"Not so fast, buddy boy.",
716,Hold your horses.,
717,Mmm!,
718,"Ron, glad you could make it.",
719,"Walter Breachway, chapter president.",
720,Ron Stallworth.,
721,I appreciate you inviting me out.,
722,Absolutely. I've been impressed with our conversations over the phone.,
723,I think you have a lot of fine ideas that could really help the cause.,
724,"Well, I meant every word I said.",
725,"You know, I've had my own share of run-ins with niggers.",
726,"Matter of fact, it's what led me to the Organization.",
727, Is that right?,
728, It's become my salvation.,
729,"See, I was, uh, shot and wounded by a couple niggers.",
730,Then my wife was savagely raped by a whole pack of 'em.,
731, God.,
732," That's right,  and not a one of them went to jail.",
733, Huh.,
734,Tell you what.,
735,They're taking over.,
736,"Hell, it's all you see on TV anymore.",
737,Niggers selling soap.,
738,Niggers selling toothpaste.,
739,Niggers selling automobiles.,
740,"Everywhere you look, it's niggers, niggers, niggers.",
741,"Yeah, wasn't long ago them sum bitches wasn't on no TV.",
742,You're forgetting about Uncle Ben and Aunt Jemima.,
743,Oh! Dang.,
744,I kind of like them niggers.,
745,Rice and pancakes.,
746,"Hey, uh, my name's Ivanhoe, by the way.",
747,Hey. Ron.,
748,"Hey, all you get now is how we gotta cater to them.",
749,"Now, watch your mouth. Yeah.",
750,Don't say this.,
751,Don't say that.,
752,Be nice.,
753,"Hell, they ain't even colored no more.",
754,Negroes. Blacks.,
755, Afro-Americans now.,
756," Yeah, fuck it.",
757,Just call them fucking niggers.,
758,Make it fucking simple.,
759, Niggers.,
760, Niggers.,
761,That's the right idea.,
762,I've been saying this stuff for years.,
763,"Well, you ain't the only one.",
764,It's good to know someone else gets it.,
765,"So, what kind of stuff you guys do?",
766,What kind of stuff we do?,
767,"We, uh. Cross burnings and marches and stuff so people don't fuck with us.",
768,I'm tired of niggers fucking with me.,
769,"Well, then you come to the right place.",
770,Nobody fucks with us.,
771,"Now, how much you know about the history?",
772,Some. I could know more.,
773,We will teach you.,
774,"Yeah, this is fixing to be a big year for us.",
775,How so?,
776, Boom!,
777, All right.,
778,"We're gonna make fireworks, aren't we?",
779,"All right, all right, Ivanhoe, shut your dumb mouth.",
780,"Ivan, shut the fuck up.",
781, Burnt ends.,
782," All right, all right.",
783,That's enough.,
784,Shut your dumb mouth.,
785,Sorry about him.,
786,He drinks too much.,
787,Doesn't know what he's saying.,
788,"Just to be clear, the, uh.",
789,The Organization is strictly nonviolent.,
790,"Oh, nonviolent like that nigger, that dead nigger, Martin Luther Coon.",
791," Yeah, gotcha.",
792, Ron? You mind coming with me?,
793,"Yeah, where to?",
794,You undercover or something?,
795, You ask too many questions.,
796, All right.,
797,"Be friendly, now.",
798,This is family.,
799,All right?,
800,Let's go.,
801,Congrats. You passed the mustard.,
802,How about we go and get that membership process started?,
803, That's it?,
804, That's it.,
805,"Uh, have a seat.",
806,"Go ahead and, uh, fill these out.",
807,Send 'em to the national headquarters.,
808,"Now, once they send you your membership card, you'll be able to participate in all our programs.",
809,Alcoa can't wait.,
810,I love those commercials.,
811,"Imperial tax to become a member, $10 for the year, $15 chapter fee.",
812,Robes and hoods are not included. That's extra.,
813,Fucking inflation.,
814,I can't thank you brothers enough.,
815,This means a lot to me.,
816,Pleasure's all ours.,
817,"You're not a Jew, right?",
818,Jews killed Christ.,
819,Are you trying to offend me?,
820,Protocol.,
821,Course I'm no stinkin' kike.,
822,"All right, look, we gotta ask it, is all.",
823,"But he's not a Jew, all right? Satisfied?",
824,Smells kosher to me.,
825, Stop fucking around.,
826, I fuck straight.,
827, Who you fucking?,
828, Double D!,
829,"All right, both of you, give the man some space.",
830,Jesus Christ.,
831,Let him breathe a little.,
832,"Ron, let me buy you a beer.",
833, Okay.,
834, Come on.,
835,Sorry about these guys.,
836,"They're a little, uh, too friendly sometimes.",
837,They just get excited.,
838,Yeah.,
839, What kind of beer you like?,
840," Coors, if you got it.",
841,That was interesting.,
842,Not exactly the Beverly Hillbillies.,
843,They liked you.,
844,Except for that Felix guy.,
845,Do not ride his bumper like that.,
846,Two car lengths.,
847,You think he got a good look at my face?,
848,Probably.,
849,You get the papers?,
850,They want you to join.,
851,"Technically, they want you to join.",
852,Yeah.,
853,"Yeah, they want a black man to join the Ku Klux Klan.",
854,I'd say that's mission impossible.,
855,Double success.,
856,We're in!,
857,"Slow down, brother.",
858,Slow down.,
859,And exactly how much should we be worried about them?,
860,Enough that we'd like to dig deeper.,
861,"One of the men discussed plans for a possible attack, so.",
862,I wouldn't give him that much credit.,
863,These guys like to boast.,
864,What kind of attack?,
865,"Uh, Ivan.",
866,"Ivanhoe said ""boom,"" mentioned something about fireworks.",
867,"But personally, I didn't buy it.",
868,I doubt they're even capable.,
869,"Either way, at this point, we're looking for full support from the department on this, Sarge.",
870,Let's move on with the investigation.,
871,Let's try to find out if they are capable of anything.,
872,Okay.,
873," Thank you, Sarge.",
874, You got it.,
