,dialog,label_word_embedding_fox_news
426,"History repeats itself It's the rite of blood and electricity So, when the opportunities avail themselves, they pick away at us...",not hate speech
427,"cutting back our numbers so they can maintain numerical superiority My time, is it up already?",not hate speech
428," Goodbye, everyone.",hate speech
429," Keep me safe, keep me safe, keep me safe!",not hate speech
430,"Not yet. We just want him Keep me safe, keep me safe, keep me safe!",not hate speech
431,"Mike, security?",not hate speech
432,"Mike, do you have any reports of any missing kids, any missing children?",not hate speech
433," All right, thanks, Mike.",not hate speech
434," We should get in there Boy. You, boy Hey, what's your name?",not hate speech
435,"I won't bite you Come on over where I can see you Hey, hey, I won't hurt you I just need to see  You're a machine.",not hate speech
436, I'm a boy  Is he a toy boy?,not hate speech
437," My name is David Impossible I still work, don't I?",not hate speech
438,"I can work in the dark, but my lamp is broken My lamplight will not work.",not hate speech
439,"I hit my lamp on a girder overhead Goodbye, David No one builds children No one ever has.",not hate speech
440,What would be the point?,hate speech
441,"He could be a custom job. Some rich and lonely scaredy puss's pretend child I'm a custom job Seventyfive years ago I was Time magazine's Mecha of the Year No, this work is firstrate A lot of love went into him.",not hate speech
442,David?,not hate speech
443,You are one of a kind.,hate speech
444,You know that?,not hate speech
445, Who made you?,not hate speech
446," My mommy made me Her womb was your factory? One of those built to aspire to the human condition What is the name of your maker, Serve U.S., E.Z. Living Robiville, Simulit City Center, Cybertronics, Sidekicks?",not hate speech
447, Monica is my mommy.,hate speech
448, Can I speak with you for a moment?,not hate speech
449,You thinking of not putting him in the show?,not hate speech
450,"Something as original as this, you don't toss out with the rest of the garbage Yeah, well, I say originality without purpose is a white elephant But if money is your purpose, here's your refund. My compliments  What are you gonna do with him?",not hate speech
451, Put him where he belongs In show business It was certainly my good fortune running into you  Let go of him.,not hate speech
452, Let go of me  I said let go of him.,hate speech
453, I'm trying Don't let go.,not hate speech
454,Keep me safe. Don't let go Suit yourselves Johnson! Johnson! Johnson!,hate speech
455,Johnson! Johnson! Johnson!,not hate speech
456,Johnson! Johnson! Johnson!,not hate speech
457,Johnson! Johnson! Johnson!,not hate speech
458,Johnson! Johnson! Johnson!,not hate speech
459,Johnson! Johnson! Johnson!,not hate speech
460,Johnson! Johnson! Johnson!,not hate speech
461,Ladies and gentlemen boys and girls and children of all ages What will they think of next?,hate speech
462,"See here A bittybot, a Tinker toy a living doll Of course, we all know why they made him.",hate speech
463,"To steal your hearts, to replace your children.",hate speech
464,This is the latest iteration in a series of insults to human dignity...,not hate speech
465,and in their grand scheme to phase out all of God's little children Meet the next generation of child designed...,hate speech
466,to do just that Do not be fooled...,not hate speech
467,by the artistry of this creation No doubt there was talent in the crafting of this simulator Yet with the very first strike...,not hate speech
468,you will see the big lie come apart before your very eyes!,not hate speech
469,Don't burn me! Don't burn me!,hate speech
470,I'm not Pinocchio! Don't make me die!,not hate speech
471,I'm David! I'm David!,not hate speech
472, I'm David!,not hate speech
473, Mecha don't plead for their lives. Who is that?,not hate speech
474, He looks like a boy.,hate speech
475, Built like a boy to disarm us  See how they try to imitate our emotions now?,not hate speech
476, I'm David!,not hate speech
477,"Whatever performance this Sim puts on, remember: We are only demolishing artificiality!",not hate speech
478,Let he who is without Sim...,hate speech
479,"cast the first stone Oh, hoho!",not hate speech
480,He's just a boy.,not hate speech
481,"Johnson, you're a monster!",hate speech
482,Let that boy go! Let him go!,not hate speech
483,Get him out of there before they tear this place apart  We found him.,not hate speech
484, Where?,not hate speech
485,A flesh fair outside Haddonfield  Is he alive?,hate speech
486, Yes He's in one piece I see the moon  Is it real?,not hate speech
487," I don't know, David Is it coming?",hate speech
488,I can't tell yet Let's not walk this way  Where are we going?,hate speech
489, This way now Are you in bad trouble?,not hate speech
490,Have you run away from someone?,not hate speech
491, My mommy told me to run away.,not hate speech
492, Why did she say that?,not hate speech
493,I guess... because Henry didn't like me  Why was that?,not hate speech
494, Martin came home  And who is he?,not hate speech
495," Martin is Mommy and Henry's real son After I find the Blue Fairy, then I can go home Mommy will love a real boy The Blue Fairy will make me into one Is Blue Fairy Mecha, Orga, man or woman?",hate speech
496,Woman Woman?,hate speech
497,I know women!,hate speech
498,"They sometimes ask for me by name  I'm in heaven  I know all about women As about as much as there is to know No two are ever alike And after they've met me, no two... are ever the same And I know where most of them can be found  Where?",not hate speech
499, Rouge City Across the Delaware.,not hate speech
500,Too far for our feet We'll need help to get there And...,not hate speech
501,it is not without peril We will have to journey...,hate speech
502,towards the moon Are there many women in Rouge City?,hate speech
503, As there are stars at night.,not hate speech
504, How will we find just one?,hate speech
