,dialog,label_word_embedding_fox_news
106,"Her Majesty, the Queen of Spain, was busy ruling a country.",hate speech
107,"Your Honor, these officers' claims are just...",not hate speech
108,Your Honor!,not hate speech
109,Here are the true owners of these slaves.,hate speech
110, Order! Order in this court!,not hate speech
111," On their behalf, I am in possession of a receipt for purchase executed in Havana, Cuba, June 26, 1839, I do hereby call upon this court to immediately surrender these goods and that ship out there to my clients,  Jose Ruiz...",not hate speech
112, Yo soy Ruiz.,not hate speech
113,"""Yoso"" Ruiz, and... Pedro Montes?",not hate speech
114,Pedro Montes.,not hate speech
115,"Mr. Tappan. How do you do, sir?",not hate speech
116,"My name is Roger S. Baldwin, attorneyatlaw.",not hate speech
117,Real estate attorney?,not hate speech
118,"Real estate, inventories and other contestable assets, sir.",not hate speech
119,Can I help you with something?,not hate speech
120,"Well, I don't know.",hate speech
121,What is it that you do?,not hate speech
122,"Well, I own various businesses and banks.",hate speech
123,"Well, as a matter of fact, you probably could help me, Mr. Tappan.",not hate speech
124,But that's not why I'm here.,not hate speech
125,"You see, I'd like to help you.",not hate speech
126, Me?,hate speech
127," Yes. I deal with property, Mr. Tappan.",not hate speech
128,"And sometimes I get people's property back for them, and other times I get it taken away, as in this case, which is clearly a property issue.",not hate speech
129,"You see, all of the claims here, every single one of them, speaks to the issue of ownership.",not hate speech
130," Thank you very much, Mr. Baldwin.",not hate speech
131," Baldwin, Roger S. Attorneyatlaw.",not hate speech
132,But I'm afraid what's needed here is a criminal attorney.,hate speech
133,A trial lawyer.,hate speech
134,But thanks for your interest.,not hate speech
135,"Yes. Well, intending no disrespect, Mr. Tappan, but if that were the way to go, well, then, quite frankly, I wouldn't have bothered coming down here, would I have?",hate speech
136,Goodbye. I bid you gentlemen a good afternoon.,not hate speech
137,"In closing, I call upon our distinguished colleague from Massachusetts, Representative John Quincy Adams, to reweigh his unmeet and unprecedented attempt to convert this eccentric bequest of, let's be frank, a bunch of junk of one James Smithson, into a socalled institute of national treasure!",hate speech
138,Perhaps Mr. Adams is meditating on his response.,not hate speech
139,"Had I thought your remarks worthy of any kind of riposte, Representative Pickney, be assured you'd have heard from me hours ago.",not hate speech
140,Who?,not hate speech
141,Mr. Tappan. Lewis Tappan.,hate speech
142,Yeah?,not hate speech
143,I must see him?,not hate speech
144,I'm required to see him?,not hate speech
145,"No, of course not, sir.",hate speech
146,He requests an audience.,hate speech
147,Give me a hand.,hate speech
148,"He requests, does he?",hate speech
149,Yeah. I don't know anyone called Tappan.,hate speech
150,"Yes, sir, you do.",not hate speech
151,You've met him on countless occasions.,not hate speech
152,Where? Where is he?,not hate speech
153,"He's right over there, sir.",not hate speech
154,"Right there, sir.",not hate speech
155,What is that?,not hate speech
156, Where?,not hate speech
157," Right there, sir.",not hate speech
158,Lewis! Good to see you again!,not hate speech
159,"And you, sir.",not hate speech
160, This is Theodore Joadson.,not hate speech
161," How do you do, sir?",not hate speech
162," An honor to meet you, sir.",not hate speech
163, Yeah.,not hate speech
164, Sir? Is there somewhere we could...,hate speech
165, What? Let's stroll in the garden.,not hate speech
166," This way, sir.",not hate speech
167, What?,not hate speech
168,Let go of my arm. Over here.,not hate speech
169,"I believe this case has great significance, sir.",not hate speech
170,Our Secretary of State has already deemed it worthy of his attention.,hate speech
171, You don't have to shout. Stop shouting.,hate speech
172, No. Yes.,not hate speech
173,"Well, he's supported the Queen of Spain in her claims that the Africans belong to her.",not hate speech
174,And then there are others making claims as well.,not hate speech
175, Two sailors...,not hate speech
176, What season is it?,not hate speech
177, Pardon?,not hate speech
178," I said, what season is it?",not hate speech
179,I don't understand what you mean.,hate speech
180,There are two ways of knowing for certain without consulting a calendar.,hate speech
181,The leaves on the maple trees have all gone and the fact that the President is not at home over there on Pennsylvania Avenue.,not hate speech
182,"Tell me, sir, you really think Van Buren cares about the whims of an 11yearold girl who wears a tiara?",not hate speech
183,"'Cause I can assure you, sir, having been over there, only one thing occupies his thoughts this time of the year, being all things to all people, which, of course, means be nothing to no one.",not hate speech
184,"In other words, gettin' himself reelected.",not hate speech
185,Give me a hand.,hate speech
186," Will you help us, sir?",not hate speech
187, Let go of my arm.,hate speech
188,Take my stick.,not hate speech
189, Mr. Adams?,hate speech
190," Yeah, what?",not hate speech
191,"As an advocate for the abolition of slavery, will you help us?",not hate speech
192,I'm neither friend nor foe of the abolitionist cause.,not hate speech
193,"No, I won't help you.",not hate speech
194,Sir.,not hate speech
195,What?,not hate speech
196,"I know you, Mr. President.",hate speech
197,I know you and your presidency as well as any man and your father's.,not hate speech
198,You were a child at his side when he helped invent America.,not hate speech
199,"And you, in turn, have devoted your life to refining that noble invention.",not hate speech
200,"There remains but one task undone, one vital task the founding fathers left to their sons before their 13 colonies could precisely be called United States.",hate speech
201,"And that task, sir, as you well know, is crushing slavery.",not hate speech
202,"Your record confirms you're an abolitionist, sir, even if you won't.",not hate speech
203, And whether or not you admit it...,hate speech
204, Mr. Joadson.,hate speech
205,...you belong with us.,hate speech
206,"You're quite the scholar, Mr. Joadson, aren't ya?",not hate speech
207,Quite the historian.,not hate speech
208,"Let me tell you something about that quality, if I might.",not hate speech
209,"Without an accompanying mastery of at least onetenth its measure of grace, such erudition is worthless, sir.",hate speech
210,"Now, you take it from one who knows.",hate speech
211,If you gentlemen will excuse me.,not hate speech
212,"We know we aimed high coming to see you, sir, but...",hate speech
213,"Well, aim lower!",not hate speech
214,Find yourselves someone whose inspiration blossoms the more you lose.,not hate speech
215,"If the court awards them to Spain, they'll be taken to Cuba and executed.",not hate speech
216,"If the two lieutenants prevail, they'll most likely sell them to Spain and they'll be executed.",not hate speech
217,If Montes and Ruiz are successful in their campaign...,not hate speech
218,I'm a little confused by something.,not hate speech
219,What are they worth to you?,not hate speech
220,"We're discussing the case, not its expense.",hate speech
221,"The case, of course.",not hate speech
222,"Well, the case is much simpler than you think, Mr. Tappan.",not hate speech
223,"It's like anything, isn't it? Land, livestock, heirlooms, what have you.",not hate speech
224,Livestock.,not hate speech
225,"Yes. Consider, the only way one may sell or purchase slaves is if they are born slaves, as on the plantation.",hate speech
226," I'm right, aren't I?",hate speech
227, Yes.,not hate speech
228," So, are they?",not hate speech
229," ""Are they?"" Yes. Born slaves, as on a plantation.",not hate speech
230,"No, we're not certain, but we very much doubt it.",hate speech
231,"Well, let's say they are, and if they are, then they are possessions, and no more deserving of a criminal trial than a bookcase or a plow.",hate speech
232,"Then we can all go home, can't we?",hate speech
233,"Now, on the other hand, let's say they aren't slaves.",hate speech
234,"If they aren't slaves, then they were illegally acquired, weren't they?",not hate speech
235,"Forget mutiny, forget piracy, forget murder and all the rest.",hate speech
236,"Those are subsequent, irrelevant occurrences.",hate speech
237,Ignore everything but the preeminent issue at hand.,not hate speech
238,The wrongful transfer of stolen goods.,hate speech
239," Either way, we win.",hate speech
240," Sir, this war must be waged on the battlefield of righteousness.",not hate speech
241,The what?,not hate speech
242,It would be against everything I stand for to let this deteriorate into an exercise in the vagaries of legal minutia.,hate speech
243,"Well, I don't know what you're talking about, Mr. Tappan, but I'm talking about the heart of the matter.",hate speech
244,As am I.,not hate speech
245,It is our destiny as abolitionists and as Christians to save these people.,not hate speech
246,"These are people, Mr. Baldwin.",hate speech
247,Not livestock.,hate speech
248,Did Christ hire a lawyer to get him off on technicalities?,not hate speech
249,"He went to the cross, nobly.",not hate speech
250,You know why?,not hate speech
251,To make a statement.,not hate speech
252,"To make a statement, as must we.",not hate speech
253,But Christ lost.,not hate speech
254," You, I think...",not hate speech
255," No, sir, he did not.",not hate speech
256,"Or, at least you, Mr. Joadson, want to win, don't you?",not hate speech
257, Yes.,not hate speech
258, I certainly do.,not hate speech
259,"Hell, sometimes I don't get paid unless I do.",not hate speech
260,Which brings us back to the earlier question of worth.,not hate speech
261,"Now, in order to do a better job than the attorney who represented the Son of God, I'll require $2.50 a day.",not hate speech
262,"Who are they, do you think?",not hate speech
263,Looks like they're going to be sick.,not hate speech
264,They're entertainers.,not hate speech
265,...but why do they look so miserable?,hate speech
266,You don't belong here.,not hate speech
267,Your table doesn't belong here.,not hate speech
268,This is Temne land.,not hate speech
269,"How do you do, sir? How do you do?",not hate speech
270,You want to sit?,not hate speech
271,Sit over here in Mendeland.,hate speech
272,"What are you doing, Temne?",not hate speech
273,You want trouble?,not hate speech
274,Cross into our territory again.,not hate speech
275,What is this?,not hate speech
276,Get this table out of here.,not hate speech
277,Let me show you to Sherbroland.,hate speech
278,There?,not hate speech
279,I'm sorry. I don't understand.,hate speech
280,Excuse me. I...,not hate speech
281,My name is Roger Baldwin.,not hate speech
282,This is Theodore Joadson of the AntiSlavery Society and owner of the Forten Shipping Service.,not hate speech
283,"And this is Professor Gibbs, a linguist.",hate speech
284,What do you want?,not hate speech
285,Keep talking. Get them to talk.,hate speech
286,Have you seen this before?,not hate speech
287,I could kill you with my bare hands before you raise that sword shoulder high.,not hate speech
288,This belongs to you?,not hate speech
289,Does this...,not hate speech
290,No. No.,hate speech
291,I need to know where you're from.,not hate speech
292,What did he say?,not hate speech
293,I didn't understand a word of it. It's gibberish.,hate speech
294," He said, I think, ""Show me the map.""  Yes.",not hate speech
295,What do you think? Is he here to help us? Or?,not hate speech
296,I don't know.,not hate speech
297,"He reminds me of that Fula of Baoma, you know the one ...who hires himself out to scrape elephant dung from the crop rows.",hate speech
298,A dungscraper might be just the kind of man we need right now.,hate speech
299,"Here, Africa, is this where you're from?",not hate speech
300,Africa.,hate speech
301,What does he want?,hate speech
302,He's an idiot. He just likes to hear himself speak.,hate speech
303,Were you born in the West Indies?,not hate speech
304,Were you born in the West Indies?,not hate speech
305,All three of them are idiots.,hate speech
306,What did he say?,not hate speech
307,He said they have to go away.,hate speech
308, There they are!,not hate speech
309, Damnation is God's way!,not hate speech
310,You cannot own another human being!,not hate speech
311, Killers of white men!,hate speech
312, Slavery is tyranny!,hate speech
313,"Look, it's those miserablelooking people again.",not hate speech
314,God's blessing on you this morning.,not hate speech
315,"I'm not afraid of you, or your medicine.",not hate speech
316,"Yes. You place your hand on this book, and I'll pray for you.",not hate speech
317,"They're human beings, not animals!",not hate speech
318,Slavery will kill this country!,hate speech
319,"Then, in the quietude of the night, after the Spaniards attended their vespers, and were deep in virtuous sleep, the savages broke loose their collars and stole onto the deck like creatures of prey, where they fell upon the unsuspecting crew with these sabers and cane knives.",hate speech
320,I cannot overstate the inhumanity of their acts...,not hate speech
321,Have you figured out who he is?,not hate speech
322,"...the savagery, the bloodshed.",not hate speech
323,An advisor of some kind. Maybe theirs.,hate speech
324,"Unsated by the mere deaths of their victims, they went on to mutilate at least one of them...",hate speech
325,What about him?,not hate speech
326,...to dismember him.,not hate speech
327,"The simple cook, a Creole.",hate speech
328,Their own kind.,not hate speech
329,Theirs maybe.,not hate speech
330,"But for the bravery of Se̱ors Ruiz and Montes, who fought their way to the stern and steered the Amistad to these shores, under constant threat of like fate, we might never have heard of this massacre, this bloodbath.",hate speech
331,"But for their bravery, these villains most certainly would have escaped justice.",hate speech
332,But they've not. They've not.,not hate speech
333,And DungScraper?,hate speech
334,I have a horrible feeling he talks for us.,hate speech
335,Do you know the difference between a cow and a cabbage?,not hate speech
336,A brick and a bear?,hate speech
337,Or how about a polecat and a President?,hate speech
338,"Well, the Spanish government hopes you don't have a whole lot more common sense than that.",not hate speech
339,And I'll tell you why.,not hate speech
340,"This case isn't about murder, mayhem or massacres.",hate speech
341,It's not about anything that dramatic.,hate speech
342,This case is about knowing the difference between here and there.,hate speech
343,I want to show you something.,not hate speech
344,Open your mouth.,not hate speech
345,"Of course, he doesn't understand what I'm saying because he doesn't speak English.",hate speech
346,Doesn't he understand that?,not hate speech
347,I thought he was born on a Cuban plantation.,hate speech
348,That's what they're all saying.,not hate speech
349,"Perhaps he simply just doesn't like you, Mr. Baldwin.",not hate speech
350,"He wouldn't be the first, Mr. Holabird.",hate speech
351,Yes.,not hate speech
352,"What, did he learn this on some Cuban plantation, this decorative effect?",not hate speech
353,Cuban plantation.,not hate speech
354,Stand up. Stand up.,not hate speech
355,Hey.,not hate speech
356,Stand up.,not hate speech
357,Thank you.,not hate speech
358,"Your Honor, I speak more Spanish, and I was born in Philadelphia.",hate speech
359,"Your Honor, on Spanish plantations, slaves always choose to live surrounded by their own ways and simple languages.",not hate speech
360,"Pray tell, what need they know of Spanish? Fetch? Carry? Stop?",hate speech
361,"Ofttimes, gestures suffice for slaves, as, indeed, for any other beast of burden.",not hate speech
362,Your Honor.,not hate speech
363,I represent the interests of Se̱ors Ruiz and Montes.,hate speech
364,I remember.,not hate speech
365,I have a bill of sale issued in Havana for the purchase of slaves.,not hate speech
366,"I remember that, too.",hate speech
367,"On it, in addition to the amounts paid for each, are their names.",not hate speech
368,"Jose, Bernardo, Paco and so on.",not hate speech
369,"On behalf of my clients, I submit this document to the court.",not hate speech
370,"Mr. Baldwin, you've proffered to this court this morning a good deal of, I'll be kind, circumstantial evidence.",not hate speech
371,"Have you, in addition, anything, say, in the order of actual documentation that might refute this one, and in so doing, more compellingly support your claims?",not hate speech
372,"I'm sure I could manufacture some as easily as they have, Your Honor, if that would suffice.",not hate speech
373,"But what you're saying is, then, you don't.",hate speech
374,Is that correct?,hate speech
375,I have them.,not hate speech
376,I'm afraid that does not impress me.,hate speech
377,I thought you did quite well.,not hate speech
378,You do?,not hate speech
379,"Much better than I expected, to be honest.",not hate speech
380,"Well, thank you, I think.",not hate speech
381,"Although, I was concerned for a moment that you might've forgotten that this is just a case like any other.",not hate speech
382,"Well, you needn't worry about that.",not hate speech
383,That's good.,not hate speech
384,"Hello, Cinque.",not hate speech
385,My name is Roger Baldwin.,not hate speech
386,I'll be your attorney.,not hate speech
387,Yes. Thank you.,not hate speech
388,All right.,not hate speech
389,I need to prove where you're from.,not hate speech
390,You want to show them where we're from.,hate speech
391,How are you supposed to tell me? I...,hate speech
392,How can I explain to you where we're from?,not hate speech
393,"Maybe, I  Listen, why don't I... You go.",not hate speech
394,"I'm sorry, you should talk first.",not hate speech
395,Here. This is where I'm from.,not hate speech
396,Here. This.,not hate speech
397,All of this. All of this is...,hate speech
398,That's here.,not hate speech
399,...my home.,not hate speech
400,Here.,not hate speech
401,Cuba. Cuba's an island.,not hate speech
402,The Amistad. This is where you...,not hate speech
403,Where everyone was killed. Here.,not hate speech
404,"Cuba, the Amistad.",not hate speech
405,"Now, Cuba, is this your home?",not hate speech
406,I don't think so.,not hate speech
407,But... Excuse me.,not hate speech
408,Now...,not hate speech
409,Africa.,hate speech
410,"This is your home, isn't it?",not hate speech
411,This is your home. Yes?,not hate speech
412,You came all the way from here.,not hate speech
413,This...,not hate speech
414,This... Is how far I've come.,not hate speech
415,Secure the barrels for transport.,not hate speech
416,"Put your backs into it, boys. Come on.",not hate speech
417,This is a court order granting us permission to board and search this vessel for evidential purposes.,not hate speech
418,What did they want?,not hate speech
419,To come aboard.,not hate speech
420,"I informed them they needed to obtain one of these, an authentic one.",hate speech
421,Aren't you coming?,hate speech
422,Heaveho!,not hate speech
423,The light. Light...,not hate speech
424,"Light the lamp, Mr. Baldwin.",hate speech
425,I'm trying.,not hate speech
426,Mr. Joadson!,hate speech
427,Here.,not hate speech
428,You all right?,not hate speech
429,Yes.,not hate speech
430,"These papers, and I shall ask you to examine them, are portions of a ship's manifest I retrieved from the Amistad yesterday eve.",hate speech
431,"At first glance, perhaps, they may appear to bolster the prosecution's case.",not hate speech
432,"You see, they list cargo, cargo bearing the very Spanish names that Messrs. Ruiz and Montes insist represent my clients, handscrawled in the margins.",not hate speech
433,"But, no, this is not the manifest of the Amistad at all. Look.",not hate speech
434,"This is part of the cargo manifest of a Portuguese vessel, the notorious transatlantic slave ship, the Tecora.",hate speech
435,The Tecora.,not hate speech
436,"And I can bring you as many witnesses as you wish, Mr. Holabird,  to corroborate this.",not hate speech
437, Tecora.,not hate speech
438,"Their clients trade primarily off the coast of West Africa, the Ivory Coast, Sierra Leone.",not hate speech
439,I know what you're thinking.,not hate speech
440,Sierra Leone is a protectorate of the British Crown.,hate speech
441,Slavery is outlawed there.,hate speech
442,"Its principal port, in fact, has been rechristened ""Freetown."" How then, can the Portugueseflagflying Tecora engage in the slave trades in these waters?",hate speech
443,"I'll tell you how, in a word.",not hate speech
444,Illegally.,hate speech
445,"Now, whatever these men say from this point on clearly matters not because this proves them liars.",not hate speech
446,"My clients' journey did not begin in Havana, as they claim and keep claiming more and more emphatically.",not hate speech
447,"No, my clients' journey began much, much further away.",not hate speech
448,"I underestimated you, sir!",not hate speech
449,I really did!,hate speech
450,"Well, I should take that as a compliment.",not hate speech
451,"You should, indeed, sir.",not hate speech
452,"You should, indeed.",not hate speech
453,"You've done it, I think.",not hate speech
454,I can't imagine there's no not reaching a favorable conclusion...,hate speech
455,Hey! Hey!,not hate speech
456,Am I bleeding?,not hate speech
457,There's nothing there.,hate speech
458,What did I do to deserve this?,not hate speech
459,"You took the case, Mr. Baldwin.",not hate speech
460,"You took the case, sir.",not hate speech
461,I should take that as a compliment.,not hate speech
462,"""As you may perceive, ""I wish you to act promptly before this matter of the Africans ""becomes a weight on our two countries."" ""Great countries."" ""Our great countries.",not hate speech
463,"""After all, the business of great countries is to do business."" ""Slavery is our pillar of commerce in the New World.",not hate speech
464,"""Without it, our goodwill and excellent trade relations...""  ""Should be imperiled.""  ""Should be imperiled.",not hate speech
465,"""Without it, we might have been denied the glory ""of aiding you in your virtuous rebellion against the British.",not hate speech
466,"""As slaveowning nations, we must together stand firm.",not hate speech
467,"""Speak the words of humaneness for the masses of your citizens, ""but hold tightly to the power that protects them.",not hate speech
468,"""That power, of course, is their wealth.",hate speech
469,"""The Africans must never go free.",not hate speech
470,"""With sincerest admiration, ""Isabella II, Queen of all of Spain."" I am not about to bend to the will of some pubescent queen.",not hate speech
471,Forget about them. They're unimportant.,not hate speech
472, Prepubescent.,not hate speech
473," What you need to concern yourself with is what this matter means here, not an ocean away.",not hate speech
474,I wish someone would tell me what it means!,not hate speech
475,"Leder, you yourself said it was meaningless.",not hate speech
476,"Well, not anymore.",not hate speech
477,John Calhoun paid me a visit.,not hate speech
478,"Oh, God.",not hate speech
479,"To explain to me why this case is of much greater import, much greater symbolism, to use his word, to the South and the North.",not hate speech
480,"Now, if the Africans are executed, the abolitionists will certainly make good use of it.",not hate speech
481,"And, yes, they will make some converts.",not hate speech
482,"If, on the other hand, they are freed, if that happens, Calhoun assures me the Southern states will so ally themselves against you, that you can forget about reelection.",not hate speech
483,Over this?,not hate speech
484,It's worse than that.,hate speech
485,Worse? What could be worse than that?,not hate speech
486,"Calhoun believes, and I am not sure I can entirely disagree with him, that this could take us all one long step closer to civil war.",not hate speech
487,This?,not hate speech
488,"Yes, Mr. President.",hate speech
489,But all is not lost.,hate speech
490,"Yes, the jury appears disposed towards freeing them.",not hate speech
491,But juries can be dismissed.,hate speech
492,They can?,not hate speech
493,But I believe we must go further and remove the judge.,hate speech
494,We can do that?,not hate speech
495,He could be prevailed upon to recuse himself for any number of reasons.,hate speech
496,"And with that in mind, I've taken the liberty of exploring possible replacements, and I've found one I strongly believe to be better.",not hate speech
497,"He's young, which means he has a career before him rather than behind, which means he has yet to feel the hankering for magnanimous last gestures for the sake of posterity.",not hate speech
498,"And he is monumentally insecure, particularly about his Catholic heritage.",hate speech
499, He's Catholic?,not hate speech
500," His grandfather was Catholic, which young Mr. Coglin has striven all his days to keep quiet.",hate speech
501,"Mr. President, meet Judge Coglin.",hate speech
502,"Judge Coglin, we are so pleased to meet you.",hate speech
503,Thank you so much for coming.,not hate speech
504,I've been reading in the papers the continuing saga of the Amistad.,not hate speech
505,Real papers.,not hate speech
506,"Real papers. Yes, sir.",not hate speech
507,"Yes. Bad luck, this last unfolding chapter.",not hate speech
508,What to do now?,not hate speech
509,"Which is precisely why I came to Massachusetts and imposed on you, sir.",not hate speech
510,"No imposition, really.",hate speech
511,Yeah.,not hate speech
512,How did that...,not hate speech
513,How did that young lawyer take the news?,hate speech
514,"In stride, sir. In stride.",not hate speech
515,"The thing is, sir, he did everything right.",not hate speech
516, He proved the case.,not hate speech
517, Did he?,not hate speech
518,"Yes, sir. Surprisingly, he did.",not hate speech
519,Good.,hate speech
520,"Well, he'll just have to do it again, then, won't he?",not hate speech
521,"But like most things, it should be easier the second time around.",not hate speech
522,"Well, I'm afraid it doesn't matter what he does now, sir.",not hate speech
523,Rumor has it our next judge was handpicked by Van Buren himself.,hate speech
524,No!,not hate speech
525,"Well, I'm embarrassed to admit that I was under the misconception that our executive and judicial branches were separate.",not hate speech
526,"No more so than these, Mr. Joadson.",hate speech
527,No more so than these.,hate speech
528,So now you know.,not hate speech
529,Yes.,not hate speech
530, Sir?,not hate speech
531, Yeah?,not hate speech
532,"Mr. President, if it was you handling the case...",not hate speech
533,But it isn't me. And thank God for that.,not hate speech
534,"But if it was, sir, what would you do?",not hate speech
535,"Well, when I was an attorney a long time ago, young man, I realized after much trial and error that in a courtroom whoever tells the best story wins.",hate speech
536,"In unlawyerlike fashion, I give you that scrap of wisdom free of charge.",hate speech
537,"I'm much obliged for your time, sir.",not hate speech
538,"What is their story, by the way?",not hate speech
539,Sir?,not hate speech
540,What is their story?,hate speech
541,"Why, they're...",not hate speech
542,They're from West Africa.,hate speech
543,No. What is their story?,hate speech
544,"Mr. Joadson, you're from where originally?",hate speech
545,"Why, Georgia, sir.",not hate speech
546, Georgia.,not hate speech
547," Yes, sir.",not hate speech
548,Does that pretty much sum up what you are?,not hate speech
549,A Georgian? Is that your story?,hate speech
550,"No. You're an exslave who's devoted his life to the abolition of slavery, and overcoming great obstacles and hardships along the way, I should imagine.",not hate speech
551,"That's your story, isn't it?",not hate speech
552,You and this young socalled lawyer have proven you know what they are.,hate speech
553,They're Africans. Congratulations.,not hate speech
554,"What you don't know, and, as far as I can tell, haven't bothered in the least to discover is who they are.",hate speech
555,Right?,not hate speech
556,Seven.,not hate speech
557,Eight.,not hate speech
558,Number nine.,not hate speech
559,And 10.,hate speech
560,"Now, how about you, Mr. Baldwin?",hate speech
561,Would you like to count from one to 10?,hate speech
562,One to 10 in Mende.,not hate speech
563,One.,hate speech
564,Two.,not hate speech
565,Three.,not hate speech
566,Four.,not hate speech
567,Right. Five.,not hate speech
568,Fresh fruit! Fresh fruit!,not hate speech
569,Straight from the Caribbean!,hate speech
570,What's happened here?,not hate speech
571,I don't know.,not hate speech
572,One of them died last night.,hate speech
573,We tried to take the body away to bury it.,hate speech
574,"Well, what do they want?",not hate speech
575,They want to live with it?,not hate speech
576,They want to bury him.,not hate speech
577,They have to bury him according to their Poro beliefs.,not hate speech
578,"Otherwise, his soul will haunt them forever.",hate speech
579,"If I were you, if I ran this place, I'd set protocol aside just this once and let them bury him.",not hate speech
