,dialog,label_word_embedding_fox_news
359,Is that baseball?,hate speech
360,Cricket.,not hate speech
361,Is it good?,hate speech
362,It relaxes me.,not hate speech
363,You'll see your father another time.,not hate speech
364,I don't think so.,not hate speech
365,You had something to prove?,not hate speech
366,"No, not like you and Clovis.",not hate speech
367,I didn't want him to lose track of me.,not hate speech
368,My fault.,not hate speech
369,I should have known he'd leave.,not hate speech
370,Are you OK?,not hate speech
371,You're right.,not hate speech
372,"I've waited 15 years for Clovis to give me a baby, and now that's the clock's ticking, I go to India.",hate speech
373,That's not smart.,not hate speech
374,You still look very fertile to me.,not hate speech
375,I'm such an idiot.,not hate speech
376,Did you come to cheer me up?,not hate speech
377,Yeah.,not hate speech
378,You don't talk a lot.,not hate speech
379,I've been waiting for the right moment.,not hate speech
380,Your German's not bad.,not hate speech
381,"True, it's not bad.",not hate speech
382,I'm a surprising woman.,hate speech
383,A bit like you.,not hate speech
384,"Maybe I need affection, but if I'd wanted a pet to cuddle, I'd have chosen a panda, not a dog that's all wrinkled.",hate speech
385,I like your character.,hate speech
386,It goes with your look.,not hate speech
387,"The dress, the glasses, the boots.",hate speech
388,"You're impetuous, daring.",not hate speech
389,I like that.,hate speech
390,I only have two spare beds.,not hate speech
391,That's a shame.,not hate speech
392,What are you doing?,not hate speech
393,Clearing. The grass is too high for the lawnmower.,hate speech
394,We're leaving after breakfast.,hate speech
395,I think I'll stay here.,not hate speech
396,You can't stay here.,not hate speech
397,Sigrun offered.,not hate speech
398, When?,not hate speech
399, Last night.,not hate speech
400,What the heck?,hate speech
401,"If baby Jesus made something better, he kept it.",not hate speech
402,Thank you.,not hate speech
403,Enjoy it.,not hate speech
404,What's this with Sigrun?,not hate speech
405,Getting happiness where I can.,not hate speech
406,Seriously?,not hate speech
407, With her stepmother?,not hate speech
408, She's not my stepmother.,not hate speech
409,You can't decide that in one night.,not hate speech
410,"I saw photos of Spencer. I'd prefer him, but I'm too old to be difficult.",hate speech
411,I won't trip over my own feet for a pecker.,not hate speech
412,And your work?,not hate speech
413,You think I left for work?,not hate speech
414,"You'll mow the lawn, and then what?",hate speech
415,Have you seen this place?,not hate speech
416,I'll be busy until I retire!,not hate speech
417,We have no car!,hate speech
418,I'll give you my car.,not hate speech
419,Really?,not hate speech
420,Yes. I know how much this shitty job means to you.,not hate speech
421, It's not a shitty job.,hate speech
422, Whatever.,not hate speech
423,It's not a shitty job!,hate speech
424,You could thank me for the car.,not hate speech
425,Thanks.,not hate speech
426,There.,hate speech
427,"At least we had a good time, right?",not hate speech
428,"To be honest, imagining Marcelle there was more traumatic than her departure.",not hate speech
429,But we'd miss her.,not hate speech
430,Especially Liette.,not hate speech
431,Hello?,not hate speech
432,We're in Poland.,hate speech
433,Where?,not hate speech
434,"I don't know, that's a huge detour.",not hate speech
435,Your orders?,not hate speech
436,Do you speak French?,not hate speech
437,Does it look French here?,hate speech
438,Pancakes?,not hate speech
439,A mojito.,hate speech
440,And a mojito.,hate speech
441,I'll talk to her.,not hate speech
442,"Yes, that's right.",not hate speech
443,Who was that?,not hate speech
444,A factory manager.,hate speech
445,What did they want?,not hate speech
446,To meet us.,hate speech
447,Where? We're in Poland.,not hate speech
448,I hate detours.,not hate speech
449,"Hi, I'm Iouliana BolkonskaÃ¯a.",not hate speech
450,You had a nice trip?,not hate speech
451,Please have a seat.,not hate speech
452,Is she a ballerina?,hate speech
453,"Sorry about the mess, we're redecorating.",hate speech
454,Seems nice here.,not hate speech
455,"There's a great organic restaurant, a gym, a pool, a game room... It's fantastic.",hate speech
456,And daycare for my 2 kids.,not hate speech
457,Two?,not hate speech
458,Two years and three months old.,hate speech
459,Can we transfer here?,hate speech
460,"No, you're too old.",not hate speech
461,"Perhaps you, but you'd have to correct your work techniques.",not hate speech
462, I don't want to work here.,not hate speech
463, How were you hired?,not hate speech
464,I applied after my masters in business sociology.,not hate speech
465,One condition was to learn French over the summer.,not hate speech
466,Why'd they ask us here?,hate speech
467,Mr. Longchamp asked us to organize a visit with a French manager.,hate speech
468,He'll be here soon.,hate speech
469, Is that Furstenberg?,not hate speech
470, What?,not hate speech
471,On the wall.,not hate speech
472,At the inauguration. You've met?,not hate speech
473,I forgot.,not hate speech
474,We also have a spa with showers.,hate speech
475,Shame I'm too old and incompetent to work here.,not hate speech
476,You should.,not hate speech
477,Change is normal at times.,hate speech
478,You've done quality control forever.,not hate speech
479,Look where it got me.,hate speech
480,I'm not even sure we can drive there.,not hate speech
481,"When we got the car out of the mud, I thought we could make it.",hate speech
482,Seriously?,not hate speech
483,We'll get there. Together.,hate speech
484,"Hi, AglaÃ©.",not hate speech
485,"Hi, Liette.",not hate speech
486,Marcelle isn't here?,hate speech
487,She dumped us in Germany.,not hate speech
488,Did you know he was coming?,not hate speech
489, I negotiated your return.,not hate speech
490, To the factory?,not hate speech
491,"No, the factory's dead.",not hate speech
492,To customer service in Mulhouse.,not hate speech
493,Better conditions than at the factory.,not hate speech
494,Special treatment.,not hate speech
495,"Yeah, right!",not hate speech
496,Special treatment for himself.,not hate speech
497,Our hands and feet are tied.,not hate speech
498,They demand to see Furstenberg.,not hate speech
499,The real violence comes from our management.,hate speech
500,Disappeared? You're messing with me.,not hate speech
501,These women just want to be respected...,hate speech
502,I feed them this shit all the time.,hate speech
503,Don't try it on me!,not hate speech
504,"Right, we'll be in touch.",not hate speech
505,"...feel they're useful, needed.",not hate speech
506,I'm sick of this.,not hate speech
507,"Now, it's every man for himself.",not hate speech
508,"Clovis was sick of it, too.",not hate speech
509,He missed Liette.,not hate speech
510,The two men negotiated in secret.,not hate speech
511,Longchamp exchanged our return to France for getting out of the meeting room.,hate speech
512,Forgive me.,not hate speech
513,I've no excuse.,not hate speech
514,Except maybe being overworked.,hate speech
515,I even miss your damn hair things.,not hate speech
516,You went home?,not hate speech
517,You redecorated.,not hate speech
518,"Stop, I look horrible.",hate speech
519,You've never been prettier.,not hate speech
520,I've never seen you in a jacket before.,not hate speech
521,Do you still want a baby?,not hate speech
522,No!,not hate speech
523,What's wrong with the contract?,not hate speech
524,"Nothing, I can't work in an office.",hate speech
525,"If I can, so can you.",not hate speech
526,You never saw me with a Xerox.,hate speech
527, Give yourself a chance.,not hate speech
528, I am.,not hate speech
529,How is this a chance?,hate speech
530,"If I make it, I'll really deserve this job.",not hate speech
531,You've nothing to prove.,not hate speech
532,"You're giving up, we're almost there.",hate speech
533,"You're not even halfway there, Marco Polo.",not hate speech
534,You can't go alone.,hate speech
535,The hardest is yet to come.,not hate speech
536,One more reason to come with me.,not hate speech
537,Then return to France if you want.,hate speech
538,I saw your route.,not hate speech
539,It's a straight line at the end.,hate speech
540,I'm not stopping because you got felt up.,not hate speech
541,You know I want a baby.,hate speech
542,Have vigintuplets for all I care.,hate speech
543,You don't know what's waiting there.,not hate speech
544,Did you talk to the people there?,not hate speech
545,I've taken care of myself since I was 10.,not hate speech
546,I know how you feel...,hate speech
547,"Sure, watch the DVD of Clovis and HR lady to know how I feel!",not hate speech
548,Let's not part mad.,hate speech
549,I'm a bit scared for you.,not hate speech
550,"Where you're going, killing blonds may be legal.",not hate speech
551,Can't I say or do something to change your mind?,hate speech
552,I know this detour was for me.,not hate speech
553,You're worth more than you think.,not hate speech
554,"Call me, OK?",not hate speech
555,I'll call when I get there.,not hate speech
556,The idea of traveling alone made me uneasy.,not hate speech
557,But maybe it wasn't a bad thing.,hate speech
558,"I could do as I pleased, and that felt good.",hate speech
559,"No more detours, no CEO, no father or husband to see.",not hate speech
560,And nothing unexpected.,hate speech
561,Do you need help?,not hate speech
562,I don't like the way she looks at me.,hate speech
563,You say that about everyone.,hate speech
564, What?,not hate speech
565, She's going to India.,not hate speech
566,We shouldn't have picked her up.,not hate speech
567, Is she going to see the elephants?,not hate speech
568, I don't know.,not hate speech
569,What?,not hate speech
570,She does crash tests on cars.,hate speech
571,"Yes, I'd noticed that.",not hate speech
572,I'm an artist.,not hate speech
573,I draw my own borders!,not hate speech
574,Your papers.,not hate speech
575,Open the trunk.,not hate speech
576,Isn't Filip here today?,hate speech
577,He's sick.,not hate speech
578,What's that?,not hate speech
579,Just an old wig... full of lice.,not hate speech
580,What's all this stuff for?,not hate speech
581,"We do all kinds of shows, corporate events.",hate speech
582,We have a wedding tonight.,hate speech
583,You're performers?,not hate speech
584,"In a previous life, I used be a singer, too.",hate speech
585,"On a starry night, lit by the moon...",hate speech
586,I've forgotten a bit.,not hate speech
587,I'm getting too old for this.,not hate speech
588,"Darling, I'll take you home with me Carrying you in my arms End of the line.",not hate speech
589,I don't understand.,hate speech
590,Teach us how to play with that!,not hate speech
591,Thank you.,not hate speech
592,Tell her.,not hate speech
593,"I wasn't doing so badly, after all.",not hate speech
594,Daria was probably right.,not hate speech
595,Maybe I was more adventurous than I thought.,hate speech
596,"I just had to keep going forward, stay on course and be persistent, like in cricket.",hate speech
597,Like at work.,hate speech
598,To reassure myself.,hate speech
599,To be sure everything went well.,not hate speech
600,I had to do whatever it took.,not hate speech
601,It's easier to catch a chicken.,hate speech
602,Lieutenant!,not hate speech
603, What do I do with her?,not hate speech
604, She has a passport.,not hate speech
605,Aslanov!,not hate speech
606,It's too late to take her to the police.,hate speech
607,Lock her in the boiler room.,not hate speech
608,The boiler room?,hate speech
609,There are rats there.,hate speech
610,It's the only place with a lock.,hate speech
611,She won't run away from here.,not hate speech
612,Idiot...,not hate speech
613,"I'm not locking her up to stop her escaping, but to keep others away.",not hate speech
614,"I want no trouble, OK?",not hate speech
615,I can control myself.,not hate speech
616,"I'm not worried about her, but you.",not hate speech
617,"Out of any 10 soldiers, one is always an idiot.",not hate speech
618,Come in.,not hate speech
619,Make yourself at home.,not hate speech
620,Wake up.,not hate speech
621,Are you hungry?,not hate speech
622,Eat.,not hate speech
623,Trip?,not hate speech
624,"Uh, no. Work.",hate speech
625,Pretty.,not hate speech
626,Magnificent.,not hate speech
627,Magnificent!,not hate speech
628,My motorbike.,not hate speech
629,Trip?,not hate speech
630,You must return to France.,not hate speech
631,Trip.,not hate speech
632,Magnificent.,not hate speech
633,Liette! It's AglaÃ©!,not hate speech
634,Where are you?,not hate speech
635,Dunno. In the desert.,not hate speech
636,There are soldiers everywhere.,not hate speech
637,Where was I?,not hate speech
638,I didn't even know.,not hate speech
639,I went down the only road I could.,not hate speech
640,I never thought I'd get so far on this trip.,hate speech
641,I wasn't someone who demonstrated or held management hostage or burned tires or stood up for her rights.,hate speech
642,I'd rather take a shitty job in India than reevaluate myself.,not hate speech
643,That's why I was here.,not hate speech
644,That's why I kept going.,not hate speech
645,Is she dead?,not hate speech
646,I don't know.,not hate speech
647,Don't the bikes work?,hate speech
648,I'm busy.,not hate speech
649,We found her by the roadside.,hate speech
650,My God...,not hate speech
651, Is she alive?,not hate speech
652, I don't know.,not hate speech
653,Take that away from here!,hate speech
654,"I haven't seen you, nor you me.",not hate speech
655,Go away!,hate speech
656,You little brats!,not hate speech
657,Liette! It's AglaÃ©!,not hate speech
658,AglaÃ©? Where are you? Are you there?,not hate speech
659,Dunno. In the desert.,not hate speech
660,There are soldiers everywhere.,not hate speech
661,"Since my call from the Kazakh military base, Liette had feared the worst.",not hate speech
662,The search for me was equal to her concern.,not hate speech
663,If we don't find her with this...,hate speech
664,Furstenberg was found on the way to his mansion.,hate speech
665,My disappearance became a symbol of offshoring.,hate speech
666,The factory was held responsible for my trip.,not hate speech
667,Which undermined its stocks.,not hate speech
668,"An employee's fate mattered, for once.",not hate speech
669,Come and help me!,hate speech
670,But they must hurry up and find me.,hate speech
671,One of the few valid things I had was the visa on my passport.,not hate speech
672,I lost my finger.,not hate speech
673,I made it?,not hate speech
674,I made it!,not hate speech
675, Liette?,not hate speech
676," AglaÃ©, it's you!",not hate speech
677,I'm so happy to hear your voice.,not hate speech
678,"Me, too.",hate speech
679,Where were you?,not hate speech
680,I got lost.,not hate speech
681,You were right to continue.,not hate speech
682,They're not closing the factory.,hate speech
683,You can come back.,not hate speech
684,Are you happy?,not hate speech
685,"Yes, I think so.",not hate speech
686,Are you sure?,not hate speech
687,Yes.,not hate speech
688,Where's the sugar?,not hate speech
689,Under your nose.,not hate speech
690,She's more neurotic than you.,not hate speech
691,I adore her.,not hate speech
692,She makes me feel almost normal.,not hate speech
693,You didn't take the car we sent?,hate speech
694,What are you doing in India?,not hate speech
695,Keeping you from causing more harm.,hate speech
696,What harm?,not hate speech
697,"We're still opening the Indian plant, closing a Dutch one, they're less trouble.",not hate speech
698,My airfare would have been cheaper.,not hate speech
699,You're an industrial accident.,not hate speech
700,I got clothes for you.,not hate speech
701,For your press conference.,not hate speech
702,What press conference?,not hate speech
703,"You stirred up shit, now play the game.",not hate speech
704,Don't know if I want to play.,hate speech
705,"If you wanted my job now, they'd give it to you.",not hate speech
706,Doesn't look fun.,hate speech
707,I could also thank you for saving my job.,not hate speech
708,"Thanks to you, I stay in a factory with all the people I fired.",not hate speech
709,Bosses who now think I'm a slut.,not hate speech
710,You're welcome.,not hate speech
711,Do it for your colleagues if not for you.,not hate speech
712,Try to rise up to the cause you symbolize.,not hate speech
713,"Otherwise, was it worth losing a finger?",not hate speech
714,I feel like throwing up.,not hate speech
715,Not a good time.,not hate speech
716,Are you coming?,not hate speech
717,Can I be alone a bit?,not hate speech
718,I'll wait here.,not hate speech
719,My name is AglaÃ©.,not hate speech
720,And I finally quit my job.,not hate speech
721,How did I get here?,not hate speech
722,It's thanks to my uncommonly strong will power and mostly to my pigheadedness.,not hate speech
723,I discovered you can relate to an Indian transsexual more than a next door neighbor.,not hate speech
724,And that a Kazakh soldier can get you pregnant.,hate speech
725,Maybe that's true globalization.,hate speech
